#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,,42090  ,ALTRES TRANSFER CORRENTS ADMON GRAL DE L'ESTAT    ,0,0,0,1647.92
2018,,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,55430358.1,55430358.1,0
2018,,559    ,ALTRES CONCESSIONS I APROFITAMENTS                ,0,0,0,16512.59
2018,,39210  ,RECARREC EXECUTIU                                 ,0,0,0,204.06
2018,,82120  ,REINTEGRAMENT PRÈSTECS SECTOR PUBLIC LOCAL        ,0,0,0,315814.96
2018,,87010  ,ROMANENT TRESORERIA AFECTADA AL PATRI PÚBLIC SÒL  ,0,1250000,1250000,0
2018,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,574852,0,574852,388858.43
2018,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,543201,0,543201,528807.53
2018,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,23958,0,23958,43380.5
2018,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,182565,0,182565,216048.9
2018,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",13100,0,13100,26543.62
2018,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,8479,0,8479,0
2018,,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,33245,0,33245,27521
2018,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,100000,0,100000,103543.98
2018,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,25549.64
2018,,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,60312,377983.63,438295.63,512934.72
2018,,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,11170,11176,21160
2018,,470    ,SUBVENCIONS D'EMPRESES                            ,5000,15000,20000,20000
2018,,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,0,6,0
2018,,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2018,,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,49741,0,49741,117490.86
2018,,52     ,INTERESSOS DE DIPÓSITS                            ,200000,0,200000,66212.34
2018,,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,3600,68308.78,71908.78,94572.9
2018,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,0,6800,6800,6800
2018,,75080  ,ALTRES TRANSF. CAPITAL ADM. GRAL COMUNITAT AUT.   ,0,0,0,26515.2
2018,,32903  ,ALTRES TAXES REALITZACIO ACT. COMPETÈNCIA LOCAL   ,0,0,0,90735.8
2018,,550    ,CONCESSIONS ADMINISTRATIVES                       ,214000,0,214000,140044.6
2018,,6031   ,PATRIMONI PUBLIC DEL SÒL                          ,600000,0,600000,0
2018,,75030  ,TRANSF CAPITALGENERALITAT DE CATALUNYA-ENSENYAMENT,250000,0,250000,0
2018,,751    ,TRANSF CAPITAL D'ORG AUTÒNOMS I AGÈNCIES CCAA     ,50000,0,50000,0
2018,,761    ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,1192658,0,1192658,477187.95
2018,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1365590,1181702.09,2547292.09,4720345.62
2018,,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,21000,22000,20663.39
2018,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8578,0,8578,9538.87
2018,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,16956529,0,16956529,17492557.19
2018,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,30515716,0,30515716,30211708.4
2018,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,3000000,0,3000000,3172534.84
2018,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,2857485,0,2857485,6008158.26
2018,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7500000,0,7500000,7796221.84
2018,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,0,600000,1386487.36
