#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,574852,0,574852,0
2018,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,543201,0,543201,0
2018,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,23958,0,23958,0
2018,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,182565,0,182565,0
2018,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",13100,0,13100,0
2018,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,8479,0,8479,0
2018,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,33245,0,33245,0
2018,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,100000,0,100000,0
2018,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,0
2018,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,60312,0,60312,0
2018,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,0,6,0
2018,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,0,5000,0
2018,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,0,6,0
2018,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2018,     ,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,49741,0,49741,0
2018,     ,52     ,INTERESSOS DE DIPÓSITS                            ,200000,0,200000,3818.52
2018,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,3600,0,3600,0
2018,     ,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,0,0,0,6800
2018,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,214000,0,214000,90116.08
2018,     ,6031   ,PATRIMONI PUBLIC DEL SÒL                          ,600000,0,600000,0
2018,     ,75030  ,TRANSF CAPITALGENERALITAT DE CATALUNYA-ENSENYAMENT,250000,0,250000,0
2018,     ,751    ,TRANSF CAPITAL D'ORG AUTÒNOMS I AGÈNCIES CCAA     ,50000,0,50000,0
2018,     ,761    ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,1192658,0,1192658,0
2018,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1365590,0,1365590,0
2018,     ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,3000,4000,1300
2018,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8578,0,8578,0
2018,     ,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,16956529,0,16956529,0
2018,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,30515716,0,30515716,0
2018,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,3000000,0,3000000,762.91
