#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2024,,30901  ,VIGILÀNCIA ESPECIAL                               ,4271,0,4271,10677
2024,,311    ,RESIDÈNCIA D'AVIS                                 ,175000,0,175000,188825.12
2024,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,120000,0,120000,102538.17
2024,,312    ,ESCOLA BRESSOL                                    ,130440,0,130440,108380.97
2024,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,176000,0,176000,78676.13
2024,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,23000,0,23000,50736.93
2024,,31303  ,SERVEIS ESPORTIUS                                 ,2210000,0,2210000,1898483.09
2024,,31905  ,CONTROL SANITARI GOSSOS                           ,49500,0,49500,57145.4
2024,,321    ,TAXA LLICÈNCIES D'OBRES                           ,760000,0,760000,305411.6
2024,,323    ,TAXA PERMISOS AMBIENTALS                          ,244800,0,244800,179572.75
2024,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,22868,0,22868,17567.91
2024,,326    ,RETIRADA DE VEHICLES                              ,69120,0,69120,87089.33
2024,,32901  ,MERCAT MUNICIPAL                                  ,27779,0,27779,28833.5
2024,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1445,0,1445,1768
2024,,331    ,TAXES GUALS                                       ,660000,0,660000,666243.32
2024,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1232000,0,1232000,1928811.65
2024,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,36000,0,36000,68460.04
2024,,335    ,TAXES VETLLADORS I CADIRES                        ,104500,0,104500,196448.43
2024,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,192708,0,192708,110984.32
2024,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,91000,0,91000,76283.6
2024,,33901  ,TAXES QUIOSCOS                                    ,64000,0,64000,89840.29
2024,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,25000,0,25000,9054
2024,,34901  ,HORTS MUNICIPALS                                  ,20000,0,20000,12479.94
2024,,34902  ,SERVEIS CULTURALS                                 ,6,34061.36,34067.36,34061.36
2024,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,0,6,1077.43
2024,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,9000,0,9000,5098.66
2024,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT                   ,30000,0,30000,18130
