#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2015,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,8500,0,8500,8817.43
2015,     ,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,15500000,0,15500000,16971778.69
2015,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,29000000,0,29000000,29441523.29
2015,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2800000,0,2800000,3141248.71
2015,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,1100000,0,1100000,4134797.72
2015,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7400000,0,7400000,12810668.82
2015,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",600000,0,600000,682494.14
2015,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,60000,0,60000,70665.44
2015,     ,30901  ,VIGILANCIA ESPECIAL                               ,5000,0,5000,22305.16
2015,     ,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,182860.61
2015,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,5537.61
2015,     ,312    ,GUARDERÍA,190000,0,190000,195401.66
2015,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,180000,0,180000,259871.85
2015,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,45000,0,45000,57474.59
2015,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2000000,0,2000000,2339414.26
2015,     ,31905  ,CONTROL SANITARIO PERROS,21000,0,21000,23540
2015,     ,321    ,TASA LICENCIES DE OBRAS                           ,260000,0,260000,283590.34
2015,     ,323    ,TASA PERMISOS AMBIENTALES                          ,200000,0,200000,429877.09
2015,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,30000,0,30000,34722.79
2015,     ,326    ,RETIRADA DE VEHÍCULOS,100000,0,100000,110589.4
2015,     ,32901  ,MERCADO MUNICIPAL                                  ,33000,0,33000,32432.76
2015,     ,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1000,0,1000,830
2015,     ,32903  ,OTRAS TASAS REALIZACIÓN ACT. COMPETENCIA LOCAL   ,0,0,0,26349.01
2015,     ,331    ,TASAS VADOS                                       ,545400,0,545400,583211.5
2015,     ,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1300000,0,1300000,1306934.76
2015,     ,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,6,0,6,57526.69
2015,     ,335    ,TASAS VELADORES Y SILLAS                    ,130000,0,130000,132028.97
2015,     ,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,200000,0,200000,205326.59
2015,     ,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,200000,0,200000,66521.62
2015,     ,33901  ,TASAS QUIOSCOS                                    ,50000,0,50000,67749.19
2015,     ,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,40000,0,40000,54711.73
2015,     ,34901  ,HUERTOS LÚDICOS                                      ,10300,0,10300,15645
2015,     ,34902  ,SERVICIOS CULTURALES,2000,0,2000,4016.77
2015,     ,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,31080.98,31086.98,33860.41
2015,     ,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,1500,0,1500,4818.62
2015,     ,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,36000,0,36000,55106
2015,     ,36000  ,VENTA MATERIAL RECHAZO                         ,15000,0,15000,3008.76
