#Ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas,n
2020,012  ,932  ,12006  ,TRIENIOS,,9   ,1     ,45988,0,45988,44885.59,
2020,012  ,932  ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,81770,0,81770,78835.37,
2020,012  ,932  ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,185989,0,185989,188652.03,
2020,012  ,932  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,137190,0,137190,130907.01,
2020,012  ,934  ,12000  ,SUELDOS DEL GRUPO A1,,9   ,1     ,16007,0,16007,15855.07,
2020,012  ,934  ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10780,0,10780,10727.38,
2020,012  ,934  ,12004  ,SUELDOS DEL GRUPO C2,,9   ,1     ,18275,0,18275,17513.51,
2020,012  ,934  ,12006  ,TRIENIOS,,9   ,1     ,10903,0,10903,10598.38,
2020,012  ,934  ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,24632,0,24632,24094.46,
2020,012  ,934  ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,52364,0,52364,55119.81,
2020,012  ,934  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,35682,0,35682,34974.47,
2020,012  ,934  ,22708  ,GASTOS RECAUDACIÓN ORGT,012,934 ,22708 ,420000,0,420000,364158.1,
2020,012  ,942  ,464    ,ÁREA METROPOLITANA DE BARCELONA,012,942 ,464   ,1307515,9582,1317097,1308415,
2020,012  ,943  ,466    ,APORT. COMUNIDAD MUNICIPIOS PLANA GALET,012,943 ,466   ,20000,0,20000,0,
2020,013  ,132  ,204    ,ALQUILERES MATERIALES Y EQUIPOS,013,13  ,20    ,140800,0,140800,104606.97,
2020,013  ,132  ,212    ,CONSERV EDIFI INSTAL SEG CIUDADANA,013,13  ,21    ,53292,0,53292,34172.05,
2020,013  ,132  ,214    ,POLICÍA LOCAL-VEHÍCULOS,013,13  ,21    ,20000,0,20000,20527.82,
2020,013  ,132  ,22100  ,SUBM. ENERGÍA ELÉCTRICA SEGURIDAD CIUDADANA,013,13  ,22    ,28139,0,28139,28139,
2020,013  ,132  ,22101  ,CONSUMO AGUA SEG CIUDADANA,013,13  ,22    ,3689,0,3689,2578.99,
2020,013  ,132  ,22102  ,CONSUMO GAS SEGURIDAD CIUDADANA,013,13  ,22    ,6469,0,6469,6469,
2020,013  ,132  ,22103  ,POLICÍA LOCA-COMBUSTIBLE,013,13  ,22    ,77061,0,77061,24213.26,
2020,013  ,132  ,22104  ,VESTUARIO Y EQUIPO POLICÍA LOCAL,013,13  ,22    ,100400,278300,378700,51816.7,
2020,013  ,132  ,22199  ,"POLICÍA LOCAL, SUM. DIVERSOS",013,13  ,22    ,20000,0,20000,9354.88,
2020,013  ,132  ,224    ,POLICÍA LOCAL-SEGUROS,013,13  ,22    ,10000,0,10000,0,
2020,013  ,132  ,22602  ,PUBLICIDAD Y PROPAGANDA-SEG. CIUDADANA,013,13  ,22    ,1100,0,1100,0,
2020,013  ,132  ,22699  ,GASTOS DIVERSOS-POLICÍA LOCAL,013,13  ,22    ,19000,0,19000,2860.89,
2020,013  ,132  ,22799  ,CONTR PREST SERVICIOS SEG CIUTADANA,013,13  ,22    ,320000,0,320000,285915.78,
2020,013  ,132  ,23020  ,POLICÍA LOCAL-DIETAS,013,13  ,23    ,4228,0,4228,0,
2020,013  ,132  ,23120  ,POLICÍA LOCAL-TRASLADOS,013,13  ,23    ,4228,0,4228,1930.9,
2020,013  ,132  ,481    ,FORMACIÓN Y BECAS,013,13  ,48    ,10000,0,10000,0,
2020,013  ,1320 ,12000  ,SUELDOS DEL GRUPO A1,,1   ,1     ,16007,0,16007,15928.12,
2020,013  ,1320 ,12001  ,SUELDOS DEL GRUPO A2,,1   ,1     ,14075,0,14075,0,
2020,013  ,1320 ,12003  ,SUELDOS DEL GRUPO C1,,1   ,1     ,1093268,0,1093268,801173.79,
2020,013  ,1320 ,12004  ,SUELDOS DEL GRUPO C2,,1   ,1     ,54824,0,54824,47784.7,
2020,013  ,1320 ,12006  ,TRIENIOS,,1   ,1     ,219878,0,219878,183405.61,
2020,013  ,1320 ,12100  ,COMPLEMENTO DE DESTINO,,1   ,1     ,588802,0,588802,434855.56,
2020,013  ,1320 ,12101  ,COMPLEMENTO ESPECÍFICO,,1   ,1     ,2067415,0,2067415,1964488.89,
2020,013  ,1320 ,121031 ,OTROS COMPLEMENTOS,,1   ,1     ,280567,0,280567,279294.06,
2020,031  ,1501 ,12100  ,COMPLEMENTO DE DESTINO,,1   ,1     ,24515,0,24515,3191.86,
2020,031  ,1501 ,12101  ,COMPLEMENTO ESPECÍFICO,,1   ,1     ,86785,0,86785,12964.61,
2020,031  ,1501 ,121031 ,OTROS COMPLEMENTOS,,1   ,1     ,3262,0,3262,0,
2020,031  ,1501 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1   ,1     ,342689,0,342689,284387.49,
2020,031  ,1501 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1   ,1     ,9600,0,9600,5365.95,
2020,031  ,1501 ,13002  ,OTRAS REMUNERACIONES LABORAL FIJO,,1   ,1     ,1305,0,1305,0,
2020,031  ,1501 ,131    ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,1   ,1     ,600,0,600,0,
2020,031  ,1501 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,1   ,1     ,1500,0,1500,0,
2020,031  ,1501 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1   ,1     ,195987,0,195987,98860.18,
2020,031  ,1532 ,12001  ,SUELDOS DEL GRUPO A2,,1   ,1     ,42225,0,42225,25906.68,
2020,031  ,1532 ,12003  ,SUELDOS DEL GRUPO C1,,1   ,1     ,10780,0,10780,10727.38,
2020,031  ,1532 ,12004  ,SUELDOS DEL GRUPO C2,,1   ,1     ,100510,0,100510,84803.16,
2020,031  ,1532 ,12005  ,SUELDOS DEL GRUPO E,,1   ,1     ,25122,0,25122,24622.27,
2020,031  ,1532 ,12006  ,TRIENIOS,,1   ,1     ,11855,0,11855,9661.37,
2020,031  ,1532 ,12100  ,COMPLEMENTO DE DESTINO,,1   ,1     ,78678,0,78678,64128.28,
2020,031  ,1532 ,12101  ,COMPLEMENTO ESPECÍFICO,,1   ,1     ,264591,0,264591,246251.65,
2020,031  ,1532 ,121031 ,OTROS COMPLEMENTOS,,1   ,1     ,653,0,653,5399.33,
2020,031  ,1532 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1   ,1     ,341116,0,341116,458720.75,
2020,031  ,1532 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1   ,1     ,7920,0,7920,3574.79,
2020,031  ,1532 ,13002  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,1   ,1     ,7697,0,7697,8893.39,
2020,031  ,1532 ,131    ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,1   ,1     ,1253,0,1253,0,
2020,031  ,1532 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,1   ,1     ,6300,0,6300,4788.36,
2020,031  ,1532 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1   ,1     ,327706,0,327706,292988.91,
2020,032  ,1721 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1   ,1     ,29960,0,29960,29827.34,
2020,032  ,1721 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1   ,1     ,24476,0,24476,24462.12,
2020,032  ,1721 ,22199  ,GESTIÓN-ESPACIOS NATURALES,032,17  ,22    ,23400,0,23400,27087.46,
2020,032  ,1721 ,227991 ,PREST SERVICIOS -ESPACIOS NATURALES-PLAYA,032,17  ,22    ,88664,0,88664,77710.8,
2020,032  ,1721 ,227992 ,PREST SERVICIOS INSPECCIONES INDUSTRIALES,032,17  ,22    ,14100,0,14100,0,
2020,032  ,1722 ,22601  ,GASTOS DIVERSOS,032,17  ,22    ,500,0,500,0,
2020,032  ,1722 ,22701  ,ESTUDIOS Y TRABAJOS TÉCNICOS,032,17  ,22    ,60000,0,60000,57178.55,
2020,032  ,1722 ,227991 ,CONTR PREST CONTROL ENERGÉTICO,032,17  ,22    ,40468,0,40468,26202.75,
2020,032  ,1722 ,227992 ,DESPLIEGUE OFICINA DE ENERGIA Y CLIMA,032,17  ,22    ,80000,0,80000,29024.27,
2020,032  ,1722 ,467    ,APORT CONSORCIO ESPACIOS NATURALES DEL DELTA,032,1722,467   ,60000,0,60000,60000,
2020,032  ,1722 ,640    ,"REDACCIÓ DE PROJECTES, ESTUDIS, DIRECCIONS OBRES (",032,1722,640   ,71877,0,71877,17735.58,
2020,032  ,2311 ,4892   ,LINEA AYUDAS VULNERABILIDAD ENERGÉTICA,032,2311,4892  ,100000,0,100000,45467.87,
2020,032  ,419  ,22199  ,SUMINISTROS DIVERSOS AGRICULTURA,032,41  ,22    ,15000,0,15000,0,
2020,032  ,419  ,22602  ,PUBLICIDAD Y DIFUSIÓN AGRICULTURA,032,41  ,22    ,7704,0,7704,10950.02,
2020,032  ,419  ,22699  ,GASTOS DIVERSOS AGRICULTURA,032,41  ,22    ,500,0,500,0,
2020,032  ,419  ,22799  ,PRESTACIÓN SERVICIOS AGRICULTURA,032,41  ,22    ,24000,0,24000,19074.16,
2020,032  ,419  ,489    ,TRANSF CORRIENTE AGRICULTURA,032,41  ,48    ,17000,0,17000,0,
2020,032  ,419  ,48901  ,TRANSF CORRIENTE PARQUE AGRARIO,032,41  ,48    ,20700,0,20700,12000,
2020,032  ,419  ,48902  ,"TRANSF CORRIENTE ""ESPIGOLADORS""",032,419 ,48902 ,12000,0,12000,12000,
2020,032  ,419  ,48903  ,CUOTAS-APORTACIONES DIVERSAS,032,41  ,48    ,1000,0,1000,1000,
2020,033  ,2312 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,2   ,1     ,38581,0,38581,35029.21,
2020,033  ,2312 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,2   ,1     ,16898,0,16898,16310.64,
2020,033  ,2312 ,22100  ,ELECTRICIDAD HUERTOS LÚDICOS,033,23  ,22    ,1362,0,1362,1362,
2020,033  ,2312 ,22101  ,CONSUMO AGUA HUERTOS LÚDICOS,033,23  ,22    ,15580,0,15580,9055.13,
2020,031  ,1532 ,210    ,VIAS PÚBLICAS CONSERV-REPARACIÓN,031,15  ,21    ,550000,0,550000,250756.18,
2020,031  ,1532 ,213    ,"BRIGADA, CONSERV-REP MÁQUINAS-INSTAL",031,15  ,21    ,5000,0,5000,477.95,
