#ejercicio,Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2016,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11.,491  ,4491  ,613933,,613933.0,580000.0
2016,11.  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,   ,9    ,1     ,65001,,65001.0,65000.04
2016,11.  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,14226,,14226.0,14225.52
2016,11.  ,912  ,23000  ,ÒRGANS DE GOVERN-DIETES                           ,11 ,91   ,23    ,1900,,1900.0,1173.14
2016,11.  ,912  ,23100  ,ÒRGANS DE GOVERN-LOCOMOCIÓ                        ,11 ,91   ,23    ,7600,,7600.0,8152.8
2016,11.  ,9201 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,20526,,20526.0,20525.42
2016,11.  ,9201 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,41736,,41736.0,41735.96
2016,11.  ,9201 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,,14825.0,
2016,11.  ,9201 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,9983.82
2016,11.  ,9201 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,25388,,25388.0,25367.21
2016,11.  ,9201 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,9457,,9457.0,9452.6
2016,11.  ,9201 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,24224,,24224.0,15971.83
2016,11.  ,9201 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,56830,,56830.0,56863.23
2016,11.  ,9201 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,34628,,34628.0,34627.26
2016,11.  ,9201 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,507,,507.0,192.77
2016,11.  ,9201 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,59791,,59791.0,54827.66
2016,11.  ,9201 ,226011 ,ATENCIONS PROTOCOL·LÀRIES                         ,11 ,92   ,22    ,50000,,50000.0,42683.1
2016,11.  ,9201 ,226012 ,ATENCIONS AGERMANAMENTS                           ,11 ,92   ,22    ,15000,,15000.0,2812.71
2016,11.  ,9201 ,22699  ,DESP DIVERSES ALCALDIA                            ,11 ,92   ,22    ,11000,,11000.0,30.25
2016,11.  ,9201 ,489    ,TRANSF CORRENTS ALCALDIA                          ,11 ,92   ,48    ,3000,,3000.0,2205.28
2016,11.  ,9202 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,14825,,14825.0,25981.56
2016,11.  ,9202 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,37191,,37191.0,26033.8
2016,11.  ,9202 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,,14825.0,
2016,11.  ,9202 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,26072,,26072.0,26071.2
2016,11.  ,9202 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,9983.82
2016,11.  ,9202 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,3255,,3255.0,3254.56
2016,11.  ,9202 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,21061,,21061.0,14842.66
2016,11.  ,9202 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,42622,,42622.0,30698.22
2016,11.  ,9202 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,29255,,29255.0,29254.4
2016,11.  ,9202 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,858,,858.0,409.71
2016,11.  ,9202 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,58693,,58693.0,39037.51
2016,11.  ,9202 ,226021 ,COMUNICACIÓ SOCIAL-DIFUSIÓ                        ,11 ,92   ,22    ,140000,,140000.0,199797.12
2016,11.  ,9202 ,226023 ,COMUNICACIÓ INSTITUCIONAL                         ,11 ,92   ,22    ,170000,50000.0,220000.0,184738.91
2016,11.  ,9203 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,,29649.0,29648.44
2016,11.  ,9203 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,9983.82
2016,11.  ,9203 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,16925,,16925.0,17558.14
2016,11.  ,9203 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,16755,,16755.0,15878.22
2016,11.  ,9203 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,33610,,33610.0,33421.14
2016,11.  ,9203 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,116955,,116955.0,116990.43
2016,11.  ,9203 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,1226,,1226.0,895.52
2016,11.  ,9203 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,41019,,41019.0,42520.12
2016,12.  ,011  ,31000  ,INTERESSOS PRÉSTECS LLARG TERMINI                 ,12.,011  ,31000 ,138873,,138873.0,93277.9
2016,12.  ,011  ,31001  ,INTERESSOS ENDEUTAMENT CURT TERMINI               ,12 ,01   ,31    ,1000,,1000.0,
2016,12.  ,011  ,311    ,COMISSIONS-DESPESES OP. CRÈDIT                    ,12 ,01   ,31    ,1000,,1000.0,67.01
2016,12.  ,011  ,359    ,ALTRES DESPESES FINANCERES                        ,12 ,01   ,35    ,10000,,10000.0,8403.52
2016,12.  ,011  ,913    ,AMORT. PRESTECS ENTITATS FINANCERES               ,12.,011  ,913   ,2835573,225210.8,3060783.8,3059782.95
2016,12.  ,161  ,467    ,TRANSF CONGIAC                                    ,12.,161  ,467   ,1,9500.0,9501.0,9500.0
2016,12.  ,161  ,740    ,TRANSF CAPITAL APSA                               ,12.,161  ,740   ,350000,,350000.0,150000.0
2016,12.  ,221  ,16205  ,ASSEGURANÇA VIDA I ACCIDENTS                      ,   ,2    ,1     ,45000,,45000.0,24006.17
2016,12.  ,221  ,164    ,AJUDA FAMILIAR                                    ,   ,2    ,1     ,13767,,13767.0,15010.67
2016,12.  ,419  ,621    ,ADQUISICIÓ DE TERRENYS                            ,12.,419  ,621   ,600000,75000.0,675000.0,675000.0
2016,12.  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,   ,9    ,1     ,92315,,92315.0,109898.51
2016,12.  ,912  ,10001  ,ALTRES REMUNERACIONS ÒRGANS DE GOVERN             ,   ,9    ,1     ,95748,,95748.0,99797.71
2016,12.  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,26061,,26061.0,31978.23
2016,12.  ,912  ,489    ,TRANSF CORRENTS GRUPS MUNICIPALS                  ,12 ,91   ,48    ,175500,,175500.0,166150.0
2016,12.  ,920  ,202    ,ARRENDAMENTS VARIS                                ,12 ,92   ,20    ,155000,,155000.0,160074.1
2016,12.  ,920  ,209    ,CÀNONS VARIS                                      ,12 ,92   ,20    ,22546,42071.62,64617.62,42071.62
2016,12.  ,920  ,216    ,MANTENIMENT EQUIPS INFORMÀTICS/PROGRAMARI         ,12 ,92   ,21    ,320000,26500.0,346500.0,309609.99
2016,12.  ,920  ,22000  ,MATERIAL D'OFICINA                                ,12 ,92   ,22    ,105000,,105000.0,109266.57
2016,12.  ,920  ,22002  ,MATERIAL INFORMÀTIC NO INVENTARIABLE              ,12 ,92   ,22    ,170000,-40000.0,130000.0,59311.54
2016,12.  ,920  ,22104  ,VESTUARI                                          ,12 ,92   ,22    ,22000,,22000.0,12363.85
2016,12.  ,920  ,22200  ,SERVEIS COMUNICACIÓ TELECOMUNICACIONS             ,12 ,92   ,22    ,220000,-81780.0,138220.0,91794.82
2016,12.  ,920  ,22201  ,SERVEIS COMUNICACIÓ POSTALS                       ,12 ,92   ,22    ,162000,,162000.0,78578.97
2016,12.  ,920  ,224    ,ASSEGURANCES                                      ,12 ,92   ,22    ,192000,,192000.0,132566.02
2016,12.  ,920  ,22500  ,TRIBUTS ESTATALS (Impost producció elèctrica)     ,12 ,92   ,22    ,1400,,1400.0,1961.22
2016,12.  ,920  ,22602  ,"ANUNCIS, PÚBLICACIONS, ETC.                       ",12 ,92   ,22    ,20655,,20655.0,13680.48
2016,12.  ,920  ,22603  ,ANUNCIS DIARIS OFICIALS                           ,12 ,92   ,22    ,21870,,21870.0,36823.98
2016,12.  ,920  ,22604  ,DESP DEFENSA JURÍDICA I REGISTRAL                 ,12 ,92   ,22    ,27000,,27000.0,17201.8
2016,12.  ,920  ,227061 ,ESTUDIS I TREBALLS TÈCNICS                        ,12 ,92   ,22    ,25000,,25000.0,3811.5
2016,12.  ,920  ,227062 ,ESTUDIS I TREBALLS TÈCNICS TIC                    ,12 ,92   ,22    ,184000,,184000.0,95712.23
2016,12.  ,920  ,22799  ,CONTR PRESTACIÓ DE SERVEIS                        ,12 ,92   ,22    ,161439,,161439.0,90403.12
2016,12.  ,920  ,23010  ,DIETES PERSONAL DIRECTIU                          ,12 ,92   ,23    ,2658,,2658.0,
2016,12.  ,920  ,23020  ,DIETES PERSONAL NO DIRECTIU                       ,12 ,92   ,23    ,2658,,2658.0,4120.93
2016,12.  ,920  ,23110  ,LOCOMOCIO PERSONAL DIRECTIU                       ,12 ,92   ,23    ,3562,,3562.0,421.25
2016,12.  ,920  ,23120  ,LOCOMOCIO PERSONAL NO DIRECTIU                    ,12 ,92   ,23    ,3606,,3606.0,4362.42
2016,12.  ,920  ,233    ,ASSISTÈNCIA TRIBUNALS                             ,12 ,92   ,23    ,900,,900.0,3476.0
2016,12.  ,920  ,467    ,ECONOMIA-TRANSF.LOCALRET                          ,12.,920  ,467   ,8000,,8000.0,7420.02
2016,12.  ,920  ,489    ,BEQUES PERSONAL COL·LABORADOR                     ,12 ,92   ,48    ,32000,,32000.0,28794.32
2016,12.  ,920  ,624    ,INVERSIÓ ELEMENTS DE TRANSPORT                    ,12.,920  ,624   ,100000,65019.7,165019.7,99594.49
2016,12.  ,920  ,626    ,MATERIAL INVENTARIABLE. EQUIPS PROCESOS INFORMATIC,12.,920  ,626   ,285000,147518.09,432518.09,197469.16
2016,12.  ,920  ,629    ,MATERIAL INVENTARIABLE DIVERS                     ,12.,920  ,629   ,270000,166537.19,436537.19,391260.85
2016,12.  ,920  ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,12.,920  ,830   ,1000,28000.0,29000.0,28692.94
2016,12.  ,9204 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,21666,,21666.0,21665.66
2016,12.  ,9204 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,50018,,50018.0,50018.08
2016,12.  ,9204 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,19968,,19968.0,
2016,12.  ,9204 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,59238,,59238.0,23973.69
2016,12.  ,9204 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,2451,,2451.0,4739.59
2016,12.  ,9204 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,   ,9    ,1     ,20592,,20592.0,16423.12
2016,12.  ,9204 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,30561,,30561.0,9844.27
2016,12.  ,9204 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,77260,,77260.0,25805.19
2016,12.  ,9204 ,121031 ,ALTRES COMPLEMENTS                                ,   ,9    ,1     ,630900,,630900.0,504414.89
2016,12.  ,9204 ,121039 ,RETRIBUCIONS COMPLEMENTÀRIES SUPLÈNCIES           ,   ,9    ,1     ,37127,,37127.0,23263.36
2016,12.  ,9204 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,19686,,19686.0,
2016,12.  ,9204 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,1500,,1500.0,2850.61
2016,12.  ,9204 ,130021 ,INCENTIU PRODUCTIVITAT PERSONAL LABORAL FIX       ,   ,9    ,1     ,104573,,104573.0,236733.81
2016,12.  ,9204 ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,   ,9    ,1     ,1000,,1000.0,
2016,12.  ,9204 ,131021 ,INCENTIU PRODUCTIVITAT NO ABSENTISME LABORAL TEMP ,   ,9    ,1     ,3852,,3852.0,3809.0
2016,12.  ,9204 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,   ,9    ,1     ,24086,,24086.0,3591.8
2016,12.  ,9204 ,1432   ,INCENTIU PRODUCTIVITAT NO ABSENTISME ALTRE PERSONA,   ,9    ,1     ,3852,,3852.0,4040.4
2016,12.  ,9204 ,15001  ,INCENTIU PRODUCTIVITAT NO ABSENTISME              ,   ,9    ,1     ,277772,,277772.0,278503.24
2016,12.  ,9204 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,1500,,1500.0,6727.69
2016,12.  ,9204 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,66331,,66331.0,45015.83
2016,12.  ,9204 ,16104  ,INDEMNITZACIÓ JUBILACIONS ANTICIPADES             ,   ,9    ,1     ,90000,,90000.0,69341.67
2016,12.  ,9204 ,16200  ,FORMACIO I PERFECCIONAMENT DEL PERSONAL           ,   ,9    ,1     ,60000,,60000.0,57949.78
2016,12.  ,9205 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,,14825.0,14824.22
2016,12.  ,9205 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,13036,,13036.0,13035.6
2016,12.  ,9205 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,9983.82
2016,12.  ,9205 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,33850,,33850.0,31909.16
2016,12.  ,9205 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,22824,,22824.0,22462.99
2016,12.  ,9205 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,33841,,33841.0,32975.28
2016,12.  ,9205 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,81882,,81882.0,82114.81
2016,12.  ,9205 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,52108,,52108.0,53077.93
2016,12.  ,9206 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,44473,,44473.0,44472.66
2016,12.  ,9206 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,13036,,13036.0,13132.46
2016,12.  ,9206 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,39936,,39936.0,37529.69
2016,12.  ,9206 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,33850,,33850.0,33173.64
2016,12.  ,9206 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,40134,,40134.0,39379.67
2016,12.  ,9206 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,59653,,59653.0,58316.19
2016,12.  ,9206 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,148625,,148625.0,149040.54
2016,12.  ,9206 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,70653,,70653.0,70652.84
2016,12.  ,9206 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,2618,,2618.0,3475.81
2016,12.  ,9206 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,118186,,118186.0,118841.46
2016,12.  ,9207 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,59297,,59297.0,25564.2
2016,12.  ,9207 ,12001  ,SOUS DEL GRUP A2                                  ,   ,9    ,1     ,91250,,91250.0,75511.75
2016,12.  ,9207 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,29952,,29952.0,29951.46
2016,12.  ,9207 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,,8463.0,8462.46
2016,12.  ,9207 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,31460,,31460.0,30462.74
2016,12.  ,9207 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,92274,,92274.0,66861.53
2016,12.  ,9207 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,248423,,248423.0,171761.6
2016,12.  ,9207 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,76130,,76130.0,91051.48
2016,12.  ,9207 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,921,,921.0,668.0
2016,12.  ,9207 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,159796,,159796.0,126603.48
2016,12.  ,9208 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,29649,,29649.0,18017.1
2016,12.  ,9208 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,3173.83
2016,12.  ,9208 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,,8463.0,9206.71
2016,12.  ,9208 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,10606,,10606.0,9368.45
2016,12.  ,9208 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,20426,,20426.0,12554.55
2016,12.  ,9208 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,41907,,41907.0,36767.38
2016,12.  ,9208 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,59477,,59477.0,59476.72
2016,12.  ,9208 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,506,,506.0,580.55
2016,12.  ,9208 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,47083,,47083.0,42502.16
2016,12.  ,9209 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,,8463.0,8462.46
2016,12.  ,9209 ,12005  ,SOUS DEL GRUP E                                   ,   ,9    ,1     ,23267,,23267.0,23002.85
2016,12.  ,9209 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,7089,,7089.0,6175.13
2016,12.  ,9209 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,12330,,12330.0,12164.66
2016,12.  ,9209 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,33580,,33580.0,41583.33
2016,12.  ,9209 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,260070,,260070.0,255658.75
2016,12.  ,9209 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,9    ,1     ,3111,,3111.0,4065.4
2016,12.  ,9209 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,100661,,100661.0,97363.21
2016,12.  ,922  ,466    ,TRANSF FMC                                        ,12.,922  ,466   ,13000,,13000.0,10453.96
2016,12.  ,9231 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,,9984.0,9911.1
2016,12.  ,9231 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,8463,,8463.0,8462.46
2016,12.  ,9231 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,4724,,4724.0,4691.31
2016,12.  ,9231 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,7991,,7991.0,7955.58
2016,12.  ,9231 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,22304,,22304.0,22443.66
2016,12.  ,9231 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,14583,,14583.0,14607.6
2016,12.  ,924  ,22705  ,DESPESES ELECCIONS                                ,12 ,92   ,22    ,15000,,15000.0,7087.11
2016,12.  ,925  ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,67700,,67700.0,67057.15
2016,12.  ,925  ,12005  ,SOUS DEL GRUP E                                   ,   ,9    ,1     ,15511,,15511.0,15510.88
2016,12.  ,925  ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,15755,,15755.0,14792.1
2016,12.  ,925  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,35189,,35189.0,34773.42
2016,12.  ,925  ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,122343,,122343.0,121883.06
2016,12.  ,925  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,66994,,66994.0,66994.28
2016,12.  ,925  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,85342,,85342.0,85445.23
2016,12.  ,929  ,22699  ,"DESP DIVERSES, INDEMNITZACIONS, ETC               ",12 ,92   ,22    ,40000,,40000.0,42562.7
2016,12.  ,929  ,226991 ,ALTRES DESPESES GENERALS                          ,12 ,92   ,22    ,100000,-55400.0,44600.0,671.37
2016,12.  ,931  ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,44473,,44473.0,43500.73
2016,12.  ,931  ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,19968,,19968.0,19967.64
2016,12.  ,931  ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,33850,,33850.0,31896.25
2016,12.  ,931  ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,29175,,29175.0,25784.91
2016,12.  ,931  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,50860,,50860.0,49041.45
2016,12.  ,931  ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,155311,,155311.0,155783.73
2016,12.  ,931  ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,726,,726.0,519.49
2016,12.  ,931  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,71583,,71583.0,72608.36
2016,44   ,2312 ,12001  ,SOUS DEL GRUP A2                                  ,   ,2    ,1     ,13036,,13036.0,13035.6
2016,44   ,2312 ,12004  ,SOUS DEL GRUP C2                                  ,   ,2    ,1     ,16925,,16925.0,17818.78
2016,44   ,2312 ,12006  ,TRIENNIS                                          ,   ,2    ,1     ,1373,,1373.0,1332.43
2016,44   ,2312 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,   ,2    ,1     ,2533,,2533.0,13593.8
2016,44   ,2312 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,2    ,1     ,12620,,12620.0,12940.91
2016,44   ,2312 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,2    ,1     ,28733,,28733.0,30897.52
2016,44   ,2312 ,121031 ,ALTRES COMPLEMENTS                                ,   ,2    ,1     ,1622,,1622.0,2851.14
2016,44   ,2312 ,121039 ,RETRIBUCIONS COMPLEMENTÀRIES SUPLÈNCIES           ,   ,2    ,1     ,32652,,32652.0,22015.94
2016,44   ,2312 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,2    ,1     ,289962,,289962.0,317810.85
2016,44   ,2312 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,   ,2    ,1     ,1197,,1197.0,3194.23
2016,44   ,2312 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,   ,2    ,1     ,23221,,23221.0,22797.38
2016,44   ,2312 ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,   ,2    ,1     ,22337,,22337.0,32979.46
2016,44   ,2312 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,   ,2    ,1     ,30150,,30150.0,20850.99
2016,44   ,2312 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,2    ,1     ,897,,897.0,921.61
2016,44   ,2312 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,2    ,1     ,155752,,155752.0,157778.49
2016,44   ,2312 ,22100  ,ELECTRICITAT HORTS LÚDICS                         ,44 ,23   ,22    ,4000,,4000.0,2475.19
2016,44   ,2312 ,22101  ,CONSUM AIGUA HORTS LÚDICS                         ,44 ,23   ,22    ,12718,,12718.0,15718.0
