#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2016,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,8500,0,8500,9882.63
2016,     ,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,15500000,0,15500000,17148771.12
2016,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,29244628,0,29244628,26248775.78
2016,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2800000,0,2800000,3138778.4
2016,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,4508153,0,4508153,5836869.64
2016,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7742493,0,7742493,7373759.71
2016,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",600000,0,600000,3113963.77
2016,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,70000,0,70000,66027.13
2016,     ,30901  ,VIGILANCIA ESPECIAL                               ,15000,0,15000,15322.52
2016,     ,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,185810.91
2016,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,18280.82
2016,     ,312    ,GUARDERÍA,190000,0,190000,197725.75
2016,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,225000,0,225000,272485.57
2016,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,40000,0,40000,39626.73
2016,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2250000,0,2250000,2258237.73
2016,     ,31905  ,CONTROL SANITARIO PERROS,21000,0,21000,24664
2016,     ,321    ,TASA LICENCIES DE OBRAS                           ,260000,0,260000,1304996.05
2016,     ,323    ,TASA PERMISOS AMBIENTALES                          ,225000,0,225000,313970.93
2016,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,27000,0,27000,47204.19
2016,     ,326    ,RETIRADA DE VEHÍCULOS,77000,0,77000,225390.77
2016,     ,32901  ,MERCADO MUNICIPAL                                  ,32000,0,32000,27777
2016,     ,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,800,0,800,1270
2016,     ,32903  ,OTRAS TASAS REALIZACIÓN ACT. COMPETENCIA LOCAL   ,0,0,0,40735.8
2016,     ,331    ,TASAS VADOS                                       ,560000,0,560000,603317.98
2016,     ,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1300000,0,1300000,1013354.36
2016,     ,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,50000,0,50000,28898.18
2016,     ,335    ,TASAS VELADORES Y SILLAS                    ,130000,0,130000,145748.3
2016,     ,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,205000,0,205000,176575.08
2016,     ,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,62000,0,62000,313404.61
2016,     ,33901  ,TASAS QUIOSCOS                                    ,65000,0,65000,64322
2016,     ,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,46000,0,46000,39240
2016,     ,34901  ,HUERTOS LÚDICOS                                      ,15000,0,15000,15277.5
2016,     ,34902  ,SERVICIOS CULTURALES,1000,0,1000,0
2016,     ,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,44101.82,44107.82,49352.59
2016,     ,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,3000,0,3000,5442.52
2016,     ,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,39000,0,39000,46742
2016,     ,36000  ,VENTA MATERIAL RECHAZO                         ,3000,0,3000,795
2016,     ,36001  ,VENTA DE PUBLICACIONES                             ,100,0,100,1071.75
2016,     ,36002  ,VENTA DE ELECTRICIDAD                             ,45000,0,45000,46451.52
2016,     ,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",330000,0,330000,415990.45
2016,     ,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000,0,5000,13039.69
2016,     ,38901  ,REINTEGROS ANUNCIOS                            ,5000,0,5000,10333.68
2016,     ,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,10000,0,10000,13250
2016,     ,39120  ,MULTAS CIRCULACIÓN                                 ,500000,0,500000,1611747.82
2016,     ,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000,0,50000,193796.28
2016,     ,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,7000,0,7000,916.99
2016,     ,39211  ,RECARGO APREMIO,36000,0,36000,57049.88
2016,     ,393    ,INTERESES DE DEMORA                              ,55000,0,55000,64868.53
2016,     ,39700  ,APROVECHAMIENTO URBANÍSTICO                  ,0,0,0,8184372.91
2016,     ,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,90000,0,90000,136882.16
2016,     ,399    ,OTROS INGRESOS DIVERSOS                          ,70000,16545,86545,173923.35
2016,     ,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,13750000,0,13750000,14617651.05
2016,     ,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL            ,0,9500,9500,9500
2016,     ,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,388343,0,388343,387375.14
2016,     ,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,15000,225210.8,240210.8,321710.25
2016,     ,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,1850000,0,1850000,1814181.64
2016,     ,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,62950,0,62950,13500
2016,     ,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,896074.08,896080.08,1036457.95
2016,     ,450801 ,SUBV. GENERALITAT SANIDAD-CONSUMO                  ,12000,0,12000,108679.41
2016,     ,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,25600,0,25600,1800
2016,     ,450803 ,SUBVENCIONES GENERALITAT TURISMO,25000,0,25000,53535.21
2016,     ,45300  ,"DE SOCIEDADES, ENTES PUBLICOS Y OTROS DEPENDIENTES CCAA ",10000,0,10000,9135
2016,     ,46100  ,SUBVENCIONES DIPUTACIÓN                             ,100000,0,100000,123012.19
2016,     ,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,802457.94,802463.94,884825.8
2016,     ,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,306000,0,306000,372587.98
2016,     ,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,223512,0,223512,227839.8
2016,     ,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,3000,0,3000,24048
2016,     ,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,87000,0,87000,76068.75
2016,     ,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",6700,0,6700,8900
2016,     ,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE                      ,6,0,6,0
2016,     ,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,33985,0,33985,0
2016,     ,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,158860,0,158860,0
2016,     ,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,6,0,6,21113.63
2016,     ,464    ,TRANSFERENCIAS CORRIENTES DE AREAS METROPOLITANAS    ,295000,88164.49,383164.49,286779.91
2016,     ,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,6,0,6,0
2016,     ,470    ,SUBVENCIONES DE EMPRESAS                            ,5000,67091.15,72091.15,74000
2016,     ,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,40968.34,40974.34,40968.34
2016,     ,48001  ,TRANSF. FAMILIAS Y  INST. SIN ÁNIMO DE LUCRO     ,0,10176.81,10176.81,10176.81
2016,     ,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6,0,6,0
2016,     ,514    ,INTERESES DE SOCIEDADES MERCANTILES                ,56058,0,56058,56057.16
2016,     ,52     ,INTERESES DE DEPÓSITOS                            ,200000,0,200000,258047.21
2016,     ,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,14000,0,14000,3602.16
2016,     ,550    ,CONCESIONES ADMINISTRATIVAS                       ,135000,0,135000,340774.24
2016,     ,603    ,PATRIMONI MUNICIPAL DEL SUELO                       ,0,4699463.48,4699463.48,0
2016,     ,75080  ,OTRAS TRANSF DE CAPITAL COMUNIDAD AUTONOMA       ,0,0,0,-1359.55
2016,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226663,90759.87,1317422.87,151253.57
2016,     ,82120  ,REINTEGRO PRÉSTAMOS SECTOR PÚBLICO LOCAL        ,0,0,0,315814.96
2016,     ,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000,28000,29000,28692.94
2016,     ,87000  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,18932554.18,18932554.18,0
