#ejercicio,Org.,Prog.,Econ.,Denominación (CASTELLANO),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2016,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11.,491  ,4491  ,613933,0,613933,580000
2016,11.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,   ,9    ,1     ,65001,0,65001,65000.04
2016,11.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,14226,0,14226,14225.52
2016,11.  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,11 ,91   ,23    ,1900,0,1900,1173.14
2016,11.  ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,11 ,91   ,23    ,7600,0,7600,8152.8
2016,11.  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,   ,9    ,1     ,20526,0,20526,20525.42
2016,11.  ,9201 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,   ,9    ,1     ,41736,0,41736,41735.96
2016,11.  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,14825,0,14825,0
2016,11.  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,9984,0,9984,9983.82
2016,11.  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,25388,0,25388,25367.21
2016,11.  ,9201 ,12006  ,TRIENIOS,   ,9    ,1     ,9457,0,9457,9452.6
2016,11.  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,24224,0,24224,15971.83
2016,11.  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,56830,0,56830,56863.23
2016,11.  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,   ,9    ,1     ,34628,0,34628,34627.26
2016,11.  ,9201 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,507,0,507,192.77
2016,11.  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,59791,0,59791,54827.66
2016,11.  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,11 ,92   ,22    ,50000,0,50000,42683.1
2016,11.  ,9201 ,226012 ,ATENCIONES HERMANAMIENTOS,11 ,92   ,22    ,15000,0,15000,2812.71
2016,11.  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,11 ,92   ,22    ,11000,0,11000,30.25
2016,11.  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,11 ,92   ,48    ,3000,0,3000,2205.28
2016,11.  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,   ,9    ,1     ,14825,0,14825,25981.56
2016,11.  ,9202 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,   ,9    ,1     ,37191,0,37191,26033.8
2016,11.  ,9202 ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,14825,0,14825,0
2016,11.  ,9202 ,12001  ,SUELDOS DEL GRUPO A2,   ,9    ,1     ,26072,0,26072,26071.2
2016,11.  ,9202 ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,9984,0,9984,9983.82
2016,11.  ,9202 ,12006  ,TRIENIOS,   ,9    ,1     ,3255,0,3255,3254.56
2016,11.  ,9202 ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,21061,0,21061,14842.66
2016,11.  ,9202 ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,42622,0,42622,30698.22
2016,11.  ,9202 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,   ,9    ,1     ,29255,0,29255,29254.4
2016,11.  ,9202 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,858,0,858,409.71
2016,11.  ,9202 ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,58693,0,58693,39037.51
2016,11.  ,9202 ,226021 ,COMUNICACIÓN SOCIAL-DIFUSIÓN,11 ,92   ,22    ,140000,0,140000,199797.12
2016,11.  ,9202 ,226023 ,COMUNICACIÓN INSTITUCIONAL,11 ,92   ,22    ,170000,50000,220000,184738.91
2016,11.  ,9203 ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,29649,0,29649,29648.44
2016,11.  ,9203 ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,9984,0,9984,9983.82
2016,11.  ,9203 ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,16925,0,16925,17558.14
2016,11.  ,9203 ,12006  ,TRIENIOS,   ,9    ,1     ,16755,0,16755,15878.22
2016,11.  ,9203 ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,33610,0,33610,33421.14
2016,11.  ,9203 ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,116955,0,116955,116990.43
2016,11.  ,9203 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,1226,0,1226,895.52
2016,11.  ,9203 ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,41019,0,41019,42520.12
2016,12.  ,011  ,31000  ,INTERESES PRÉSTAMOS LARGO PLAZO,12.,011  ,31000 ,138873,0,138873,93277.9
2016,12.  ,011  ,31001  ,INTERÉSES ENDEUDAMIENTO CORTO PLAZO,12 ,01   ,31    ,1000,0,1000,0
2016,12.  ,011  ,311    ,COMISIONES-GASTOS OP. CRÉDITO,12 ,01   ,31    ,1000,0,1000,67.01
2016,12.  ,011  ,359    ,OTROS GASTOS FINANCIEROS,12 ,01   ,35    ,10000,0,10000,8403.52
2016,12.  ,011  ,913    ,AMORT. PRÉSTAMOS ENTIDADES FINANCIERAS,12.,011  ,913   ,2835573,225210.8,3060783.8,3059782.95
2016,12.  ,161  ,467    ,TRANSF CONGIAC,12.,161  ,467   ,1,9500,9501,9500
2016,12.  ,161  ,740    ,TRANS CAPITAL APSA,12.,161  ,740   ,350000,0,350000,150000
2016,12.  ,221  ,16205  ,SEGURO VIDA Y ACCIDENTES,   ,2    ,1     ,45000,0,45000,24006.17
2016,12.  ,221  ,164    ,AYUDA FAMILIAR,   ,2    ,1     ,13767,0,13767,15010.67
2016,12.  ,419  ,621    ,ADQUISICIÓN DE TERRENOS,12.,419  ,621   ,600000,75000,675000,675000
2016,12.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,   ,9    ,1     ,92315,0,92315,109898.51
2016,12.  ,912  ,10001  ,OTRAS REMUNERACIONES ÓRGANOS DE GOBIERNO,   ,9    ,1     ,95748,0,95748,99797.71
2016,12.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,26061,0,26061,31978.23
2016,12.  ,912  ,489    ,TRANSF CORRIENTES GRUPOS MUNICIPALES,12 ,91   ,48    ,175500,0,175500,166150
2016,12.  ,920  ,202    ,ALQUILERES VARIOS,12 ,92   ,20    ,155000,0,155000,160074.1
2016,12.  ,920  ,209    ,CÁNONES VARIOS,12 ,92   ,20    ,22546,42071.62,64617.62,42071.62
2016,12.  ,920  ,216    ,MANTENIMIENTO EQUIPOS INFORMÁTICOS/PROGRAMARIO,12 ,92   ,21    ,320000,26500,346500,309609.99
2016,12.  ,920  ,22000  ,MATERIAL DE OFICINA,12 ,92   ,22    ,105000,0,105000,109266.57
2016,12.  ,920  ,22002  ,MATERIAL INFORMÁTICO NO INVENTARIABLE,12 ,92   ,22    ,170000,-40000,130000,59311.54
2016,12.  ,920  ,22104  ,VESTUARIO,12 ,92   ,22    ,22000,0,22000,12363.85
2016,12.  ,920  ,22200  ,SERVICIOS COMUNICACIÓN TELECOMUNICACIONES,12 ,92   ,22    ,220000,-81780,138220,91794.82
2016,12.  ,920  ,22201  ,SERVICIOS COMUNICACIÓN POSTALES,12 ,92   ,22    ,162000,0,162000,78578.97
2016,12.  ,920  ,224    ,SEGUROS,12 ,92   ,22    ,192000,0,192000,132566.02
2016,12.  ,920  ,22500  ,TRIBUTOS ESTATALES (Impuesto producción eléctrica),12 ,92   ,22    ,1400,0,1400,1961.22
2016,12.  ,920  ,22602  ,"ANUNCIOS, PUBLICACIONES, ETC.",12 ,92   ,22    ,20655,0,20655,13680.48
2016,12.  ,920  ,22603  ,ANUNCIOS DIARIOS OFICIALES,12 ,92   ,22    ,21870,0,21870,36823.98
2016,12.  ,920  ,22604  ,GASTOS DEFENSA JURÍDICA Y REGISTRAL,12 ,92   ,22    ,27000,0,27000,17201.8
2016,12.  ,920  ,227061 ,ESTUDIOS Y TRABAJOS TÉCNICOS,12 ,92   ,22    ,25000,0,25000,3811.5
2016,12.  ,920  ,227062 ,ESTUDIOS Y TRABAJOS TÉCNICOS TIC,12 ,92   ,22    ,184000,0,184000,95712.23
2016,12.  ,920  ,22799  ,CONTR PRESTACIÓN DE SERVICIOS,12 ,92   ,22    ,161439,0,161439,90403.12
2016,12.  ,920  ,23010  ,DIETAS PERSONAL DIRECTIVO,12 ,92   ,23    ,2658,0,2658,0
2016,12.  ,920  ,23020  ,DIETAS PERSONAL NO DIRECTIVO,12 ,92   ,23    ,2658,0,2658,4120.93
2016,12.  ,920  ,23110  ,LOCOMOCIÓN PERSONAL DIRECTIVO,12 ,92   ,23    ,3562,0,3562,421.25
2016,12.  ,920  ,23120  ,LOCOMOCIÓN PERSONAL NO DIRECTIVO,12 ,92   ,23    ,3606,0,3606,4362.42
2016,12.  ,920  ,233    ,ASISTENCIA TRIBUNALES,12 ,92   ,23    ,900,0,900,3476
2016,12.  ,920  ,467    ,ECONOMIA-TRANSF. LOCALRET,12.,920  ,467   ,8000,0,8000,7420.02
2016,12.  ,920  ,489    ,BECAS PERSONAL COLABORADOR,12 ,92   ,48    ,32000,0,32000,28794.32
2016,12.  ,920  ,624    ,INVERSIÓN ELEMENTOS DE TRANSPORTE,12.,920  ,624   ,100000,65019.7,165019.7,99594.49
