#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2022,,870101 ,REMANENTE TESORERÍA AFECTADA AL PATRIMONIO MPAL SUELO,0,107345.25,107345.25,0
2022,,870100 ,REMANENTE TESORERIA GASTOS FINANCIAMIENTO AFECTADO,0,700327.93,700327.93,0
2022,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9000,0,9000,9652.29
2022,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,18700000,0,18700000,18736422.99
2022,,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,38934987,0,38934987,36784389.36
2022,,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2799745,0,2799745,2877885.63
2022,,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,1,0,1,1861495.01
2022,,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7328165,0,7328165,8034235.65
2022,,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",2000000,0,2000000,908889.32
2022,,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,60000,0,60000,70725.5
2022,,30901  ,VIGILANCIA ESPECIAL                               ,4271,0,4271,6507.5
2022,,311    ,RESIDENCIA DE ANCIANOS,166000,0,166000,177611.4
2022,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,123000,0,123000,122412.96
2022,,312    ,GUARDERÍA,156000,0,156000,160849.25
2022,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,160000,0,160000,234131.99
2022,,31302  ,INSTALACIONES DEPORTIVAS                         ,30000,0,30000,38200.37
2022,,31303  ,SERVICIOS DEPORTIVOS                              ,1750000,0,1750000,1825016.1
2022,,31905  ,CONTROL SANITARIO PERROS,37450,0,37450,46207.68
2022,,321    ,TASA LICENCIES DE OBRAS                           ,850000,0,850000,427895.69
2022,,323    ,TASA PERMISOS AMBIENTALES                          ,288809,0,288809,206492.27
2022,,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,22868,0,22868,38014.45
2022,,326    ,RETIRADA DE VEHÍCULOS,80800,0,80800,183020.4
2022,,32901  ,MERCADO MUNICIPAL                                  ,28924,0,28924,26831.52
2022,,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1220,0,1220,1332
2022,,32903  ,OTRAS TASAS REALIZACIÓN ACT COMPETENCIA LOCAL,50000,0,50000,0
2022,,331    ,TASAS VADOS                                       ,600000,0,600000,680172.94
2022,,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,833850,0,833850,2423171.31
2022,,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,16700,0,16700,167661.13
2022,,335    ,TASAS VELADORES Y SILLAS                    ,30369,0,30369,95312.66
