#a,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Fun._2,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2022.0,031  ,1500 ,214    ,REPARACIÓN VEHÍCULOS,031,15   ,21    ,114110.0,0.0,114110.0,0.0
2022.0,031  ,1500 ,221031 ,COMBUSTIBLE VEHÍCULOS,031,15   ,22    ,66550.0,0.0,66550.0,0.0
2022.0,031  ,1500 ,22104  ,VESTUARIO BRIGADA,031,15   ,22    ,66000.0,0.0,66000.0,0.0
2022.0,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÉCNICO",031,15   ,22    ,38800.0,0.0,38800.0,0.0
2022.0,031  ,1500 ,224    ,SEGUROS VEHÍCULOS,031,15   ,22    ,12640.0,0.0,12640.0,0.0
2022.0,031  ,1501 ,12005  ,SUELDOS DEL GRUPO E,,1    ,1     ,8577.0,0.0,8577.0,0.0
2022.0,031  ,1501 ,12006  ,TRIENIOS,,1    ,1     ,2150.0,0.0,2150.0,0.0
2022.0,031  ,1501 ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,3366.0,0.0,3366.0,0.0
2022.0,031  ,1501 ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,13012.0,0.0,13012.0,0.0
2022.0,031  ,1501 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,288670.0,0.0,288670.0,0.0
2022.0,031  ,1501 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1    ,1     ,100.0,0.0,100.0,0.0
2022.0,031  ,1501 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,1    ,1     ,6848.0,0.0,6848.0,0.0
2022.0,031  ,1501 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,112976.0,0.0,112976.0,0.0
2022.0,031  ,1532 ,12001  ,SUELDOS DEL GRUPO A2,,1    ,1     ,28831.0,0.0,28831.0,0.0
2022.0,031  ,1532 ,12003  ,SUELDOS DEL GRUPO C1,,1    ,1     ,11041.0,0.0,11041.0,0.0
2022.0,031  ,1532 ,12004  ,SUELDOS DEL GRUPO C2,,1    ,1     ,140370.0,0.0,140370.0,0.0
2022.0,031  ,1532 ,12005  ,SUELDOS DEL GRUPO E,,1    ,1     ,42882.0,0.0,42882.0,0.0
2022.0,031  ,1532 ,12006  ,TRIENIOS,,1    ,1     ,14234.0,0.0,14234.0,0.0
2022.0,031  ,1532 ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,98810.0,0.0,98810.0,0.0
2022.0,031  ,1532 ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,341694.0,0.0,341694.0,0.0
2022.0,031  ,1532 ,121031 ,OTROS COMPLEMENTOS,,1    ,1     ,3700.0,0.0,3700.0,0.0
2022.0,031  ,1532 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,432001.0,0.0,432001.0,0.0
2022.0,031  ,1532 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1    ,1     ,6930.0,0.0,6930.0,0.0
2022.0,031  ,1532 ,13002  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,1    ,1     ,10500.0,0.0,10500.0,0.0
