#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2014,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9500,0,9500,9054
2014,     ,113    ,IMPUESTO BIENES INMUEBLES URBANOS                       ,16000000,0,16000000,16274376.34
2014,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECI      ,27800000,0,27800000,29135816.33
2014,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2900000,0,2900000,3148733.79
2014,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,841000,0,841000,1996900.52
2014,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7400000,0,7400000,7122969.01
2014,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",590280,0,590280,696809.39
2014,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,60000,0,60000,68093.74
2014,     ,30901  ,VIGILANCIA ESPECIAL                               ,1125,0,1125,12171.83
2014,     ,311    ,RESIDENCIA DE ANCIANOS,185000,0,185000,177247.22
2014,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,11094.11
2014,     ,312    ,GUARDERÍA,230000,0,230000,205911.53
2014,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,260000,0,260000,242473.97
2014,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,57000,0,57000,49751.88
2014,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2250000,0,2250000,2361378.97
2014,     ,31905  ,CONTROL SANITARIO PERROS,21000,0,21000,21560
2014,     ,321    ,TASA LICENCIES DE OBRAS                           ,285000,0,285000,274352.78
2014,     ,323    ,TASA PERMISOS AMBIENTALES                          ,125000,0,125000,250555.54
2014,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,20000,0,20000,35211.92
2014,     ,326    ,RETIRADA DE VEHÍCULOS,140000,0,140000,139039.16
2014,     ,32901  ,MERCADO MUNICIPAL                                  ,33000,0,33000,34258.01
