#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2020,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,17388009,0,17388009,18028546.58
2020,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,35196327,0,35196327,33810057.38
2020,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9000,0,9000,9714.23
2020,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2799745,0,2799745,3016134.43
2020,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,2500000,0,2500000,4039306.34
2020,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7940274,0,7940274,7963516.53
2020,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1800000,0,1800000,1421112.01
2020,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,64000,0,64000,58411.51
2020,,30901  ,VIGILÀNCIA ESPECIAL                               ,15150,0,15150,8410.8
2020,,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,167646.96
2020,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,30000,0,30000,76824.03
2020,,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,99713.75
2020,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,227250,0,227250,119306.64
2020,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,30000,0,30000,22186.26
2020,,31303  ,SERVEIS ESPORTIUS                                 ,2295225,0,2295225,1314102.6
2020,,31905  ,CONTROL SANITARI GOSSOS                           ,28000,0,28000,36666.76
2020,,321    ,TAXA LLICÈNCIES D'OBRES                           ,520000,0,520000,567588.42
2020,,323    ,TAXA PERMISOS AMBIENTALS                          ,404000,0,404000,731888.15
2020,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27543,0,27543,44548.29
2020,,326    ,RETIRADA DE VEHICLES                              ,80800,0,80800,67280
2020,,32901  ,MERCAT MUNICIPAL                                  ,28000,0,28000,24268.26
2020,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1020,0,1020,1830
2020,,32903  ,ALTRES TAXES REALITZACIO ACT COMPETENCIA LOCAL    ,50000,0,50000,64386.79
2020,,331    ,TAXES GUALS                                       ,581457,0,581457,648146.3
2020,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1000000,0,1000000,1263600.61
2020,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,17000,0,17000,21020.37
2020,,335    ,TAXES VETLLADORS I CADIRES                        ,160000,0,160000,120989
2020,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,216537.29
2020,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,135673,0,135673,162098
2020,,33901  ,TAXES QUIOSCOS                                    ,110000,0,110000,77746.18
2020,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,44000,0,44000,20857.61
2020,,34901  ,HORTS LÚDICS                                      ,15302,0,15302,17172
2020,,34902  ,SERVEIS CULTURALS                                 ,500,0,500,0
2020,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,5938.1,5944.1,5984.1
2020,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3060,0,3060,1858.12
2020,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,38000,0,38000,6925
2020,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,28800.52,28806.52,28677.82
2020,,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,32850
2020,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,1089.24
2020,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,47338.58
2020,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",425000,0,425000,368546.78
2020,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,21204.75
2020,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2020,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,0,10000,4500
2020,,39120  ,MULTES CIRCULACIÓ                                 ,520000,0,520000,784095.41
2020,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,82331.56
2020,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,1000,0,1000,1170.48
2020,,39211  ,RECÀRREC CONSTRENYIMENT                           ,37000,0,37000,48878.24
2020,,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,129015.65
2020,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,70000,0,70000,66127.74
2020,,399    ,ALTRES INGRESOS DIVERSOS                          ,100000,0,100000,39137.27
2020,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,1893.55,1899.55,31980.58
2020,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,15015000,0,15015000,14924415.75
2020,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,1000,0,1000,14600.88
2020,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,6800,6806,6800
2020,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,389179,0,389179,450780.7
2020,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,66727,0,66727,59320
2020,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,2346296,0,2346296,2775760.06
2020,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,80790,0,80790,753475.21
2020,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1091884.96,1091890.96,1023066.44
2020,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,34000,0,34000,36100
2020,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,134000,0,134000,74463.3
2020,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",10000,0,10000,0
2020,,46100  ,SUBVENCIONS DIPUTACIO                             ,100000,0,100000,228613.08
2020,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,150083.21,150089.21,302499.12
2020,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,518368,0,518368,665262.43
2020,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,481587,0,481587,479437.57
2020,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,25528,0,25528,7727.47
2020,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,188992,0,188992,175434.38
2020,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",42852,0,42852,11417.56
2020,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,4408,0,4408,0
2020,,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,20047,0,20047,40487.99
2020,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,100000,0,100000,51911.66
2020,,481    ,SUBVENCIONS INSTITUC I FAMIL SENSE ÀNIM DE LUCRE  ,0,0,0,5190
2020,,75030  ,CONVENI IES PARC                                  ,0,0,0,1850000
2020,,600    ,VENDA DE SOLARS                                   ,0,0,0,302592.1
2020,,87010  ,ROMANENT TRESORERIA AFECTADA AL PATRIMONI MPAL SÒL,0,3389447.7,3389447.7,0
