#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2020,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,17388009,0,17388009,18027124.6
2020,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,35196327,0,35196327,33810057.38
2020,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9000,0,9000,9714.23
2020,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2799745,0,2799745,3018898.83
2020,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,2500000,0,2500000,2559018.56
2020,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7940274,0,7940274,142765.8
2020,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1800000,0,1800000,659613.85
2020,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,64000,0,64000,374.06
2020,,30901  ,VIGILÀNCIA ESPECIAL                               ,15150,0,15150,4127.7
2020,,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,86029.01
2020,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,30000,0,30000,27573.65
2020,,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,41851.5
2020,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,227250,0,227250,23209.55
2020,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,30000,0,30000,12712.02
2020,,31303  ,SERVEIS ESPORTIUS                                 ,2295225,0,2295225,465162.24
2020,,31905  ,CONTROL SANITARI GOSSOS                           ,28000,0,28000,35361.28
2020,,321    ,TAXA LLICÈNCIES D'OBRES                           ,520000,0,520000,278727.61
2020,,323    ,TAXA PERMISOS AMBIENTALS                          ,404000,0,404000,162624.28
2020,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27543,0,27543,16973.04
2020,,326    ,RETIRADA DE VEHICLES                              ,80800,0,80800,19083
2020,,32901  ,MERCAT MUNICIPAL                                  ,28000,0,28000,1858.5
2020,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1020,0,1020,732
2020,,32903  ,ALTRES TAXES REALITZACIO ACT COMPETENCIA LOCAL    ,50000,0,50000,64386.79
2020,,331    ,TAXES GUALS                                       ,581457,0,581457,603351.6
2020,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1000000,0,1000000,712252.79
2020,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,17000,0,17000,12416.63
2020,,335    ,TAXES VETLLADORS I CADIRES                        ,160000,0,160000,139692.53
2020,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,106803.67
2020,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,135673,0,135673,106143.21
2020,,33901  ,TAXES QUIOSCOS                                    ,110000,0,110000,4558.8
2020,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,44000,0,44000,2225.92
2020,,34901  ,HORTS LÚDICS                                      ,15302,0,15302,7446.5
2020,,34902  ,SERVEIS CULTURALS                                 ,500,0,500,0
2020,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,4141.1,4147.1,4355.1
2020,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3060,0,3060,463.74
2020,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,38000,0,38000,4135
2020,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,14555.02,14561.02,20201.42
2020,,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,12615
2020,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,0
2020,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,24077.5
2020,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",425000,0,425000,190890.08
2020,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,19561.7
2020,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2020,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,0,10000,4500
2020,,39120  ,MULTES CIRCULACIÓ                                 ,520000,0,520000,437960
2020,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,40096.44
2020,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,1000,0,1000,870.94
2020,,39211  ,RECÀRREC CONSTRENYIMENT                           ,37000,0,37000,17724.36
2020,,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,86712.71
2020,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,70000,0,70000,49535.61
2020,,399    ,ALTRES INGRESOS DIVERSOS                          ,100000,0,100000,19237.48
2020,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,0,6,23313.58
2020,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,15015000,0,15015000,7329125.65
2020,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,1000,0,1000,0
2020,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,6800,6806,6800
2020,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,389179,0,389179,0
2020,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,66727,0,66727,59320
2020,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,2346296,0,2346296,857977.14
2020,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,80790,0,80790,14095
2020,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,914495.46,914501.46,926502.28
2020,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,34000,0,34000,27700
2020,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,134000,0,134000,74463.3
2020,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",10000,0,10000,0
2020,,46100  ,SUBVENCIONS DIPUTACIO                             ,100000,0,100000,74094
2020,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,127433.21,127439.21,46766.22
2020,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,518368,0,518368,308653.14
2020,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,481587,0,481587,32535
