#ejercicio,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2020,012  ,932  ,12006  ,TRIENNIS                                          ,,9    ,1     ,45988,,,
2020,012  ,932  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,81770,,,
2020,012  ,932  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,185989,,,
2020,012  ,932  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,137190,,,
2020,012  ,934  ,12000  ,SOUS DEL GRUP A1                                  ,,9    ,1     ,16007,,,
2020,012  ,934  ,12003  ,SOUS DEL GRUP C1                                  ,,9    ,1     ,10780,,,
2020,012  ,934  ,12004  ,SOUS DEL GRUP C2                                  ,,9    ,1     ,18275,,,
2020,012  ,934  ,12006  ,TRIENNIS                                          ,,9    ,1     ,10903,,,
2020,012  ,934  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,24632,,,
2020,012  ,934  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,52364,,,
2020,012  ,934  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,35682,,,
2020,012  ,934  ,22708  ,DESPESES RECAPTACIÓ ORGT                          ,012,934  ,22708 ,420000,,,
2020,012  ,942  ,464    ,AREA METROPOLITANA DE BARCELONA                   ,012,942  ,464   ,1307515,,,
2020,012  ,943  ,466    ,APORT. COMUNITAT MUNICIPIS PLANA GALET            ,012,943  ,466   ,20000,,,
2020,013  ,132  ,204    ,ARRENDAMENTS MATERIALS I EQUIPS                   ,013,13   ,20    ,140800,,,
2020,013  ,132  ,212    ,CONSERV EDIFI INSTAL SEG CIUTADANA                ,013,13   ,21    ,53292,,,
2020,013  ,132  ,214    ,POLICIA LOCAL-VEHICLES                            ,013,13   ,21    ,20000,,,
2020,013  ,132  ,22100  ,SUBM. ENERGIA ELÈCTRICA SEGURETAT CIUTADANA       ,013,13   ,22    ,28139,,,
2020,013  ,132  ,22101  ,CONSUM AIGUA SEG CIUTADANA                        ,013,13   ,22    ,3689,,,
2020,013  ,132  ,22102  ,COMSUM GAS SEGURETAT CIUTADANA                    ,013,13   ,22    ,6469,,,
2020,013  ,132  ,22103  ,POLICIA LOCAL-COMBUSTIBLE                         ,013,13   ,22    ,77061,,,
2020,013  ,132  ,22104  ,VESTUARI I EQUIP POLICIA LOCAL                    ,013,13   ,22    ,100400,,,
2020,013  ,132  ,22199  ,"POLICIA LOCAL, SUBM DIVERSOS                      ",013,13   ,22    ,20000,,,
2020,013  ,132  ,224    ,POLICIA LOCAL-ASSEGURANCES                        ,013,13   ,22    ,10000,,,
2020,013  ,132  ,22602  ,PUBLICITAT I PROPAGANDA-SEG.CIUTADANA             ,013,13   ,22    ,1100,,,
2020,013  ,132  ,22699  ,DESPESES DIVERSES - POLICIA LOCAL                 ,013,13   ,22    ,19000,,,
2020,013  ,132  ,22799  ,CONTR PREST SERVEIS SEG CIUTADANA                 ,013,13   ,22    ,320000,,,
2020,013  ,132  ,23020  ,POLICIA LOCAL - DIETES                            ,013,13   ,23    ,4228,,,
2020,013  ,132  ,23120  ,POLICIA LOCAL - TRASLLATS                         ,013,13   ,23    ,4228,,,
2020,013  ,132  ,481    ,FORMACIÓ I BEQUES                                 ,013,13   ,48    ,10000,,,
2020,013  ,1320 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,16007,,,
2020,013  ,1320 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,14075,,,
2020,013  ,1320 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,1093268,,,
2020,013  ,1320 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,54824,,,
2020,013  ,1320 ,12006  ,TRIENNIS                                          ,,1    ,1     ,219878,,,
2020,013  ,1320 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,588802,,,
2020,013  ,1320 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,2067415,,,
2020,013  ,1320 ,121031 ,ALTRES COMPLEMENTS                                ,,1    ,1     ,280567,,,
2020,031  ,1501 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,24515,,,
2020,031  ,1501 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,86785,,,
2020,031  ,1501 ,121031 ,ALTRES COMPLEMENTS                                ,,1    ,1     ,3262,,,
2020,031  ,1501 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,342689,,,
2020,031  ,1501 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,9600,,,
2020,031  ,1501 ,13002  ,ALTRES REMUNERACIONS LABORAL FIX                  ,,1    ,1     ,1305,,,
2020,031  ,1501 ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,,1    ,1     ,600,,,
2020,031  ,1501 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,1500,,,
2020,031  ,1501 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,195987,,,
2020,031  ,1532 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,42225,,,
2020,031  ,1532 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,10780,,,
2020,031  ,1532 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,100510,,,
2020,031  ,1532 ,12005  ,SOUS DEL GRUP E                                   ,,1    ,1     ,25122,,,
2020,031  ,1532 ,12006  ,TRIENNIS                                          ,,1    ,1     ,11855,,,
2020,031  ,1532 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,78678,,,
2020,031  ,1532 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,264591,,,
2020,031  ,1532 ,121031 ,ALTRES COMPLEMENTS                                ,,1    ,1     ,653,,,
2020,031  ,1532 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,341116,,,
2020,031  ,1532 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,7920,,,
2020,031  ,1532 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,,1    ,1     ,7697,,,
2020,031  ,1532 ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,,1    ,1     ,1253,,,
2020,031  ,1532 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,6300,,,
2020,031  ,1532 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,327706,,,
2020,032  ,1721 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,29960,,,
2020,032  ,1721 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,24476,,,
2020,032  ,1721 ,22199  ,GESTIÓ-ESPAIS NATURALS                            ,032,17   ,22    ,23400,,,
2020,032  ,1721 ,227991 ,PREST SERVEIS -ESPAIS NATURALS-PLATJA             ,032,17   ,22    ,88664,,,
2020,032  ,1721 ,227992 ,PREST SERVEIS INSPECCIONS INDUSTRIALS             ,032,17   ,22    ,14100,,,
2020,032  ,1722 ,22601  ,DESPESES DIVERSES                                 ,032,17   ,22    ,500,,,
2020,032  ,1722 ,22701  ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,60000,,,
2020,032  ,1722 ,227991 ,CONTR PREST CONTROL ENERGÈTIC                     ,032,17   ,22    ,40468,,,
2020,032  ,1722 ,227992 ,DESPLEGAMENT OFICINA D'ENERGIA I CLIMA            ,032,17   ,22    ,80000,,,
2020,032  ,1722 ,467    ,APORT. CONSORCI ESPAIS NATURALS DEL DELTA         ,032,1722 ,467   ,60000,,,
2020,032  ,1722 ,640    ,"REDACCIÓ DE PROJECTES, ESTUDIS, DIRECCIONS OBRES",032,1722 ,640   ,71877,,,
2020,032  ,2311 ,4892   ,LÍNIA AJUTS VULNERABILITAT ENERGÈTICA             ,032,2311 ,4892  ,100000,,,
2020,032  ,419  ,22199  ,SUBMINISTRAMENTS DIVERSOS AGRICULTURA             ,032,41   ,22    ,15000,,,
2020,032  ,419  ,22602  ,PUBLICITAT I DIFUSIÓ AGRICULTURA                  ,032,41   ,22    ,7704,,,
2020,032  ,419  ,22699  ,DESPESES DIVERSES AGRICULTURA                     ,032,41   ,22    ,500,,,
2020,032  ,419  ,22799  ,PRESTACIÓ SERVEIS AGRIGULTURA                     ,032,41   ,22    ,24000,,,
2020,032  ,419  ,489    ,TRANSF CORRENT AGRICULTURA                        ,032,41   ,48    ,17000,,,
2020,032  ,419  ,48901  ,TRANSF CORRENT PARC AGRARI                        ,032,41   ,48    ,20700,,,
2020,032  ,419  ,48902  ,TRANSF CORRENT ESPIGOLADORS                       ,032,419  ,48902 ,12000,,,
2020,032  ,419  ,48903  ,QUOTES-APORTACIONS DIVERSES                       ,032,41   ,48    ,1000,,,
2020,033  ,2312 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,2    ,1     ,38581,,,
2020,033  ,2312 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,2    ,1     ,16898,,,
2020,033  ,2312 ,22100  ,ELECTRICITAT HORTS LÚDICS                         ,033,23   ,22    ,1362,,,
2020,033  ,2312 ,22101  ,CONSUM AIGUA HORTS LÚDICS                         ,033,23   ,22    ,15580,,,
2020,031  ,1532 ,210    ,VIES PÚBLIQUES CONSERV-REPARACIÓ                  ,031,15   ,21    ,550000,,,
2020,031  ,1532 ,213    ,"BRIGADA, CONSERV-REP MÀQUINES-INSTAL              ",031,15   ,21    ,5000,,,
2020,031  ,1532 ,2191   ,SUBM. MOBILIARI URBÀ                              ,031,15   ,21    ,188490,,,
2020,031  ,1532 ,22101  ,"CONSUM AIGUA VIES PÚBLIQUES, PARCS, ETC           ",031,15   ,22    ,225000,,,
2020,031  ,1532 ,223    ,DESP TRANSPORTS                                   ,031,15   ,22    ,3000,,,
2020,031  ,1532 ,22699  ,CONSERV I MANT V PÚBLICA DESP DIVERSES            ,031,15   ,22    ,3000,,,
2020,031  ,1532 ,226991 ,ALTRES DESPESES EXECUCIONS SUBSIDIÀRIES           ,031,1532 ,226991,6,,,
