#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,,42090  ,OTRAS TRANSFER CORRIENTES ADMON GRAL DEL ESTADO,0,0,0,1647.92
2018,,87000  ,REMANENTE TESORERÍA GASTOS GENERALES,0,55430358.1,55430358.1,0
2018,,559    ,OTRAS CONCESIONES Y APROVECHAMIENTOS,0,0,0,16512.59
2018,,39210  ,RECARGO EJECUTIVO,0,0,0,204.06
2018,,82120  ,REINTEGRO PRÉSTAMOS SECTOR PÚBLICO LOCAL,0,0,0,315814.96
2018,,87010  ,REMANENTE TESORERIA AFECTADA AL PATRI PÚBLICO SUELO,0,1250000,1250000,0
2018,,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES,574852,0,574852,388858.43
2018,,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,543201,0,543201,528807.53
2018,,46104  ,SUBV. DIPUTACIÓN DEPORTES,23958,0,23958,43380.5
2018,,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA,182565,0,182565,216048.9
2018,,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD",13100,0,13100,26543.62
2018,,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE,8479,0,8479,0
2018,,46108  ,SUBV. DIPUTACIÓN PROMOCIÓN DE LA MUJER,33245,0,33245,27521
2018,,46109  ,SUBV. DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE,100000,0,100000,103543.98
2018,,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS,6,0,6,25549.64
2018,,464    ,TRANSFERENCIAS CORRIENTES DE ÁREAS METROPOLITANAS,60312,377983.63,438295.63,512934.72
2018,,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES,6,11170,11176,21160
2018,,470    ,SUBVENCIONES DE EMPRESAS,5000,15000,20000,20000
2018,,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN,6,0,6,0
2018,,490    ,SUBV. FONDO SOCIAL EUROPEO,6,0,6,0
2018,,514    ,INTERESES DE SOCIEDADES MERCANTILES,49741,0,49741,117490.86
2018,,52     ,INTERESES DE DEPÓSITOS,200000,0,200000,66212.34
2018,,541    ,PRODUCTO ALQUILERES INMUEBLES,3600,68308.78,71908.78,94572.9
2018,,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL,0,6800,6800,6800
2018,,75080  ,OTRAS TRANSF. CAPITAL ADM. GRAL COMUNIDAD AUT.,0,0,0,26515.2
2018,,32903  ,OTRAS TASAS REALIZACIÓN ACT. COMPETENCIA LOCAL,0,0,0,90735.8
2018,,550    ,CONCESIONES ADMINISTRATIVAS,214000,0,214000,140044.6
2018,,6031   ,PATRIMONIO PÚBLICO DEL SUELO,600000,0,600000,0
2018,,75030  ,TRANSF CAPITAL GENERALITAT DE CATALUNYA-EDUCACIÓN,250000,0,250000,0
2018,,751    ,TRANSF CAPITAL D'ORG AUTÓNOMOS Y AGENCIAS CCAA,50000,0,50000,0
2018,,761    ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA,1192658,0,1192658,477187.95
2018,,764    ,TRANSF CAPITAL ÁREA METROPOLITANA DE BARCELONA,1365590,1181702.09,2547292.09,4720345.62
2018,,830    ,ANTICIPOS REINTEGRABLES PERSONAL,1000,21000,22000,20663.39
2018,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS,8578,0,8578,9538.87
2018,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA,16956529,0,16956529,17492557.19
2018,,114    ,IMPUESTO BIENES INMUEBLES CARACTERÍSTICAS ESPECIALES,30515716,0,30515716,30211708.4
2018,,115    ,IMPUESTO VEHÍCULOS TRACCIÓN MECÁNICA,3000000,0,3000000,3172534.84
2018,,116    ,IMPUESTO INCREMENTO VALOR DE LOS TERRENOS,2857485,0,2857485,6008158.26
2018,,130    ,IMPUESTO DE ACTIVIDADES ECONÓMICAS,7500000,0,7500000,7796221.84
2018,,290    ,"IMPUESTO CONSTRUCCIONES, INSTALACIONES Y OBRAS",600000,0,600000,1386487.36
2018,,302    ,TASA RECOGIDA BASURA COMERCIAL,70700,0,70700,67618.86
2018,,30901  ,VIGILANCIA ESPECIAL,15000,0,15000,25842.4
2018,,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,178254.4
2018,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES,5000,0,5000,34334.27
2018,,312    ,GUARDERÍA,190000,0,190000,204928.09
2018,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS,227250,0,227250,275189.19
2018,,31302  ,INSTALACIONES DEPORTIVAS,40400,0,40400,30192.59
2018,,31303  ,SERVICIOS DEPORTIVOS,2272500,0,2272500,2276870.24
2018,,31905  ,CONTROL SANITARIO PERROS,21210,0,21210,28973
2018,,321    ,TASA LICENCIA DE OBRAS,400000,0,400000,522149.02
2018,,323    ,TASA PERMISOS AMBIENTALES,400000,0,400000,214753.51
2018,,325    ,EXPEDICIÓN DE DOCUMENTOS,27270,0,27270,50660.7
2018,,326    ,RETIRADA DE VEHÍCULOS,80000,0,80000,268806.64
2018,,32901  ,MERCADO MUNICIPAL,32000,0,32000,29044.02
2018,,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS,1010,0,1010,1079
2018,,331    ,TASAS VADOS,575700,0,575700,663810.92
2018,,332    ,UTILIZACIÓN PRIVATIVA/APROVECHAMIENTO EMP. SUMINISTR,635000,0,635000,1324859.5
2018,,333    ,UTILIZACIÓN PRIVATIVA/APROVECHAMIENTO EMP. TELECOMUNICACIONES,17000,0,17000,12110.04
2018,,335    ,TASA VELADORES Y SILLAS,146450,0,146450,161498.65
2018,,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA,205000,0,205000,216061.99
2018,,339    ,OTRAS UTILIZACIONES PRIVATIVAS DEL DOMINIO PÚBLICO,134330,0,134330,136640.02
2018,,33901  ,TASAS QUIOSCOS,65650,0,65650,110019.15
2018,,33902  ,TASAS PARADAS A LA VIA PÚBLICA,46460,0,46460,41559.43
2018,,34901  ,HUERTOS LÚDICOS,15150,0,15150,16271
2018,,34902  ,SERVICIOS CULTURALES,1010,0,1010,0
2018,,34903  ,SERVICIOS CULTURALES TEATRO MODERN,6,48281.5,48287.5,48239.5
2018,,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA,3030,0,3030,8404.01
2018,,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES),39390,0,39390,38330
2018,,36000  ,VENTA DE MATERIAL DESECHABLE,3000,0,3000,3860.76
2018,,36001  ,VENTA DE PUBLICACIONES,100,0,100,1171.9
