#ejercicio,Org.,Prog.,Econ.,Denominación (CATALAN),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2014,02   ,334  ,151    ,GRATIFICACIO SERVEIS FUNCIONARIS                  ,  ,3    ,1     ,10663,0,10663,10630.01
2014,02   ,334  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,  ,3    ,1     ,172550,0,172550,173389.53
2014,02   ,334  ,227991 ,BIBLIOTECA - FOMENT DE LA LECTURA                 ,02,33   ,22    ,30000,0,30000,24213.08
2014,02   ,334  ,48901  ,TRANSF CORRENTS DINAMITZACIÓ MOV ASSOCIATIU       ,02,33   ,48    ,116100,0,116100,119100
2014,02   ,334  ,48902  ,TRANSF CORRENTS AMICS DE L'ART DEL PRAT           ,02,334  ,48902 ,90250,0,90250,90250
2014,02   ,334  ,48903  ,TRANSF CORRENTS ANIVERSARIS ENTITATS              ,02,33   ,48    ,4500,0,4500,4500
2014,02   ,334  ,48904  ,TRANSF CORRENTS ENTITATS MUSICALS                 ,02,33   ,48    ,59295,0,59295,59295
2014,02   ,334  ,625    ,INV MOBILIARI TORRE BALCELLS I ARTESA             ,02,334  ,625   ,175000,162169.32,337169.32,142186.2
2014,02   ,335  ,227991 ,ARTS ESCÈNIQUES I MÚSICA                          ,02,33   ,22    ,176000,0,176000,186164.07
2014,02   ,335  ,227992 ,DESP DIVERSES TEATRE MODERN                       ,02,335  ,227992,6,38832.42,38838.42,24620.5
2014,02   ,335  ,227993 ,CONTR PREST SERVEIS CINEMA CAPRI                  ,02,33   ,22    ,12000,0,12000,10784
2014,02   ,335  ,48902  ,TRANSF CORRENTS TEATRE KADDISH                    ,02,335  ,48902 ,14198,0,14198,14198
2014,02   ,338  ,226991 ,"CALENDARI FESTIU, DESPESES DIVERSES               ",02,33   ,22    ,16200,0,16200,19545.87
2014,02   ,338  ,22799  ,"CALENDARI FESTIU, CONTR PREST SERVEIS             ",02,33   ,22    ,250000,0,250000,237880.96
2014,02   ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,  ,9    ,1     ,52500,0,52500,52500
2014,02   ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,  ,9    ,1     ,14050,0,14050,14049.84
2014,02   ,922  ,12004  ,SOUS DEL GRUP C2                                  ,  ,9    ,1     ,7191,0,7191,6162.3
2014,02   ,922  ,12006  ,TRIENNIS                                          ,  ,9    ,1     ,430,0,430,326.38
2014,02   ,922  ,120091 ,ALTRES RETRIBUCIONS BÀSIQUES                      ,  ,9    ,1     ,1779,0,1779,1274.72
2014,02   ,922  ,12100  ,COMPLEMENT DE DESTINACIO                          ,  ,9    ,1     ,3121,0,3121,2622.03
2014,02   ,922  ,12101  ,COMPLEMENT ESPECIFIC                              ,  ,9    ,1     ,9701,0,9701,13498.31
2014,02   ,922  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,  ,9    ,1     ,5600,0,5600,2980.13
2014,03   ,3201 ,22199  ,ALTRES SUBMINISTRAMENTS                           ,03,32   ,22    ,2000,0,2000,9380.63
