#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2014,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9500,0,9500,9054
2014,     ,113    ,IMPOST BÉNS IMMOBLES URBANS                       ,16000000,0,16000000,16274376.34
2014,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECI      ,27800000,0,27800000,29135816.33
2014,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2900000,0,2900000,3148733.79
2014,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,841000,0,841000,1996900.52
2014,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7400000,0,7400000,7122969.01
2014,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",590280,0,590280,696809.39
2014,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,60000,0,60000,68093.74
2014,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,1125,0,1125,12171.83
2014,     ,311    ,RESIDÈNCIA D'AVIS                                 ,185000,0,185000,177247.22
2014,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,11094.11
2014,     ,312    ,ESCOLA BRESSOL                                    ,230000,0,230000,205911.53
2014,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,260000,0,260000,242473.97
2014,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,57000,0,57000,49751.88
2014,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,0,2250000,2361378.97
2014,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,0,21000,21560
2014,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,285000,0,285000,274352.78
2014,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,125000,0,125000,250555.54
2014,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,20000,0,20000,35211.92
2014,     ,326    ,RETIRADA DE VEHICLES                              ,140000,0,140000,139039.16
2014,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,0,33000,34258.01
2014,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,0,1000,720
2014,     ,32903  ,ALTRES TAXES REALIT.ACT. COMPETENCIA LOCAL        ,0,0,0,26349.01
2014,     ,331    ,TAXES GUALS                                       ,545400,0,545400,563296.7
2014,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1100000,0,1100000,1337626.24
2014,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,6,0,6,39885.47
2014,     ,335    ,TAXES VETLLADORS I CADIRES                        ,103000,0,103000,131100.91
2014,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,250000,0,250000,205462.71
2014,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,120000,0,120000,307550.2
2014,     ,33901  ,TAXES QUIOSCOS                                    ,80000,0,80000,46585
2014,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,40000,0,40000,53749
2014,     ,34901  ,HORTS LÚDICS                                      ,10300,0,10300,11025
2014,     ,34902  ,SERVEIS CULTURALS                                 ,1000,2078.35,3078.35,3307.77
2014,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,36754.07,36760.07,41155.16
2014,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,5000,0,5000,1627.32
2014,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,45000,0,45000,54915
2014,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,10000,0,10000,15875.24
2014,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,894.75
2014,     ,36002  ,VENDA D'ELECTRICITAT                              ,30000,0,30000,30695.1
2014,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",260000,0,260000,403687.24
2014,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,8864.61
2014,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,9409.27
2014,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,5000,0,5000,6250
2014,     ,39120  ,MULTES CIRCULACIÓ                                 ,500000,0,500000,1002402.5
2014,     ,39190  ,ALTRES MULTES I SANCIONS                          ,40000,0,40000,117134.38
2014,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,10000,0,10000,9475.37
2014,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,20000,0,20000,43253.08
2014,     ,393    ,INTERESSOS DE DEMORA                              ,50000,0,50000,738601.79
2014,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,20000,0,20000,93063.7
2014,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,50000,0,50000,78962.56
2014,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,12755248,0,12755248,12777161.36
2014,     ,441    ,TRANSFÈRENCIES D'EMPRESES ENTITAT LOCAL           ,0,10756.69,10756.69,10756.69
2014,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,378110,0,378110,55775.68
2014,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,15000,234664,249664,278485
2014,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1750000,0,1750000,2612758.95
2014,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,225312,0,225312,805020
2014,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1555307.28,1555313.28,1424589.97
2014,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,44960,0,44960,15037.14
2014,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,6,0,6,25694
2014,     ,450803 ,SUBVENCIO GENERALITAT TURISME                     ,0,49714.43,49714.43,72263.35
2014,     ,46100  ,SUBV. DIPUTACIO                                   ,0,0,0,61352.59
2014,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,181939,181945,195499
2014,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,448000,0,448000,357995.98
2014,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,278000,0,278000,42105.57
2014,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,24000,0,24000,38444
2014,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,58000,0,58000,41860
2014,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",17000,0,17000,19220.88
2014,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,6900
2014,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,31100,0,31100,0
2014,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,244105,0,244105,0
2014,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,31776
2014,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,6,369569.1,369575.1,428106.25
2014,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,0,6,22200.46
2014,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,28702.48,33702.48,31702.48
2014,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,104568.4,104574.4,104568.4
2014,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2014,     ,491    ,FEDER                                             ,0,21375,21375,40680.21
2014,     ,52     ,INTERESSOS DE DIPÓSITS                            ,600000,0,600000,739961.55
2014,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,50000,0,50000,53577.06
2014,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,135000,0,135000,232062.47
2014,     ,603    ,PATRIMONI PÚBLIC DEL SÒL                          ,0,0,0,664005.6
2014,     ,75080  ,ALTRES TRANS CAPITAL ADM GRAL GENERALITAT         ,0,0,0,33600
2014,     ,753    ,"TRANS CAPITAL SOCIET MERCANTILS,EEPP,ALTRES ORGANI",0,0,0,846893.9
2014,     ,761    ,TRANSF CAPITAL DIPUTACIO DE BARCELONA             ,125000,0,125000,1557100.59
2014,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,2843568.32
2014,     ,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,1000,165665.78,166665.78,164950.78
2014,     ,87000  ,ROMANENT TRESORIA DESPESES GENERALS               ,0,25462207.88,25462207.88,0
