#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2014,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9500,,9500.0,9054.0
2014,     ,113    ,IMPOST BÉNS IMMOBLES URBANS                       ,16000000,,16000000.0,16274376.34
2014,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECI      ,27800000,,27800000.0,29135816.33
2014,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2900000,,2900000.0,3148733.79
2014,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,841000,,841000.0,1996900.52
2014,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7400000,,7400000.0,7122969.01
2014,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",590280,,590280.0,696809.39
2014,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,60000,,60000.0,68093.74
2014,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,1125,,1125.0,12171.83
2014,     ,311    ,RESIDÈNCIA D'AVIS                                 ,185000,,185000.0,177247.22
2014,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,,5000.0,11094.11
2014,     ,312    ,ESCOLA BRESSOL                                    ,230000,,230000.0,205911.53
2014,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,260000,,260000.0,242473.97
2014,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,57000,,57000.0,49751.88
2014,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,,2250000.0,2361378.97
2014,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,,21000.0,21560.0
2014,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,285000,,285000.0,274352.78
2014,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,125000,,125000.0,250555.54
2014,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,20000,,20000.0,35211.92
2014,     ,326    ,RETIRADA DE VEHICLES                              ,140000,,140000.0,139039.16
2014,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,,33000.0,34258.01
2014,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,,1000.0,720.0
2014,     ,32903  ,ALTRES TAXES REALIT.ACT. COMPETENCIA LOCAL        ,0,,,26349.01
2014,     ,331    ,TAXES GUALS                                       ,545400,,545400.0,563296.7
2014,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1100000,,1100000.0,1337626.24
2014,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,6,,6.0,39885.47
2014,     ,335    ,TAXES VETLLADORS I CADIRES                        ,103000,,103000.0,131100.91
