#ejercicio,Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2015,02   ,338  ,48901  ,AT2 (ACC TRANSV TRANSF SOC) FESTIVAL ESPERANZHA   ,02,338  ,489   ,0,12000.0,12000.0,
2015,03   ,324  ,789    ,TRANSF CAPITAL IES RIBERA BAIXA                   ,03,324  ,789   ,0,30000.0,30000.0,30000.0
2015,16   ,172  ,609    ,JONQUERES CAL TET I TRASLLAT PONT CAL NYEPA       ,16,172  ,609   ,0,21000.0,21000.0,19355.16
2015,07   ,161  ,821201 ,PRÉSTEC LLARG TERMINI AIGÜES DEL PRAT SA          ,07,161  ,82120 ,0,3595317.81,3595317.81,3595317.81
2015,16   ,171  ,609    ,"URB ESPAI PUB FONDO PEIXO, PISTES SKATE J RIBERA  ",16,171  ,609   ,0,1284000.0,1284000.0,379030.08
2015,10   ,241  ,48901  ,SUBVENCIÓ ASSOCIACIÓ TREBALLADORS DE VALEO        ,10,241  ,48901 ,0,2000.0,2000.0,
2015,16   ,161  ,619    ,MILLORES CLAVEGUERAM PUNTS CONFLICTIUS            ,16,161  ,619   ,0,170000.0,170000.0,167870.87
2015,02   ,338  ,489    ,G.A.T.S. FESTIVAL ESPERANZHA                      ,02,338  ,489   ,0,8000.0,8000.0,
2015,09   ,2317 ,789    ,TRANSFERÈNCIES CAPITAL DISPRAT LLEURE             ,09,2317 ,789   ,0,43958.78,43958.78,27958.78
2015,14   ,231  ,464    ,AMB URGÈNCIA SOCIAL                               ,14,231  ,464   ,0,16800.0,16800.0,6503.52
2015,11   ,312  ,789    ,TRANSF CAPITAL ASSOC FAMILIARS ALZHEIMER          ,11,312  ,789   ,0,94000.0,94000.0,93936.94
2015,07   ,133  ,82120  ,PRESTEC LLARG TERMINI PRAT ESPAIS                 ,07,133  ,82120 ,0,2089351.5,2089351.5,2089351.5
2015,16   ,1531 ,609    ,ROTONDA ENTRADA PRAT DE CTRA CA L'ALAIO           ,16,1531 ,609   ,0,520000.0,520000.0,41.74
2015,16   ,133  ,609    ,PLATAFORMES BUS I MILLORA MARQUESINES             ,16,133  ,609   ,0,68000.0,68000.0,68000.0
2015,14   ,2311 ,227995 ,SERVEI PRELABORAL                                 ,14,23   ,22    ,0,52000.0,52000.0,2241.86
2015,07   ,920  ,227991 ,PRESTACIÓ  SERVEIS PROMOCIÓ DE LA CIUTAT          ,07,92   ,22    ,0,28000.0,28000.0,27999.99
2015,03   ,3232 ,13001  ,HORES EXTRAORDINARIES PERSONAL LABORAL FIX        ,  ,3    ,1     ,852,,852.0,903.48
2015,03   ,3232 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLENCIES ,  ,3    ,1     ,16169,,16169.0,31559.36
2015,03   ,3232 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,  ,3    ,1     ,101674,,101674.0,92537.13
2015,03   ,3232 ,212    ,ESCOLES-CONSERVACIÓ I REPARACIÓ                   ,03,32   ,21    ,652200,,652200.0,628049.35
2015,03   ,3232 ,221002 ,SUBM. ENERGIA ELÈCTRICA ESCOLES                   ,03,32   ,22    ,216399,,216399.0,172530.26
2015,03   ,3232 ,221012 ,CONSUM AIGUA ESCOLES                              ,03,32   ,22    ,40704,,40704.0,53329.49
2015,03   ,3232 ,221022 ,ESCOLES-SUBM. GAS                                 ,03,32   ,22    ,199500,,199500.0,135456.12
2015,03   ,3232 ,221042 ,VESTUARI EDUCACIÓ                                 ,03,32   ,22    ,12150,-5000.0,7150.0,1435.03
2015,03   ,3232 ,227002 ,NETEJA ESCOLES                                    ,03,32   ,22    ,1896303,,1896303.0,1896302.52
2015,03   ,326  ,22699  ,DESP DIVERSES                                     ,03,32   ,22    ,1932,,1932.0,
2015,03   ,326  ,226991 ,DESP DIVERSES ACT. FORMACIÓ PARES I MARES         ,03,32   ,22    ,900,,900.0,
2015,03   ,326  ,226992 ,CAMPANYA ANEM AL TEATRE                           ,03,32   ,22    ,5000,,5000.0,3494.82
2015,03   ,326  ,227991 ,PREST SERV FORMACIÓ PARES I MARES                 ,03,32   ,22    ,8910,,8910.0,8273.05
2015,03   ,326  ,227992 ,PREST SERV ESTUDIS PROJ EDUC CIUTAT               ,03,32   ,22    ,5000,,5000.0,
2015,03   ,326  ,227993 ,PREST SERV CIUTAT DELS INFANTS                    ,03,32   ,22    ,10260,,10260.0,10457.63
2015,03   ,326  ,227994 ,PREST SERVEIS-PATI OBERT                          ,03,32   ,22    ,29000,,29000.0,23926.86
2015,03   ,326  ,489    ,TRANSF CORRENTS AMPAS                             ,03,32   ,48    ,36450,,36450.0,36408.37
2015,03   ,326  ,48901  ,TRANSF CORRENTS PROJECTES PEDAGÒGICS              ,03,32   ,48    ,30000,,30000.0,29437.5
2015,03   ,326  ,48903  ,ACTIVITATS PROJECTE APRENENTATGE ANGLÈS           ,03,32   ,48    ,9900,,9900.0,7028.38
2015,03   ,326  ,48904  ,TRANSF CORRENTS INST BALDIRI GUILERA ENSENYAMENT M,03,326  ,48904 ,4000,,4000.0,4000.0
