#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2023,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,0,6,0
2023,,34907  ,CESSIÓ D'ESPAIS MPALS RODATGES I REPORT FOTOGRAFIC,1000,0,1000,0
2023,,36000  ,VENDA MATERIAL REBUTJABLE                         ,49000,0,49000,8142
2023,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,0
2023,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,10504.07
2023,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",474000,0,474000,15526.15
2023,,36004  ,VENDA ELECTRICITAT FOTOVOLTAIQUES AMB CONVENI     ,1,0,1,0
2023,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,17006.49
2023,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2023,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,63592,0,63592,500
2023,,39120  ,MULTES CIRCULACIÓ                                 ,475250,0,475250,197500
2023,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,37216.2
2023,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,6100,0,6100,0
2023,,39211  ,RECÀRREC CONSTRENYIMENT                           ,42957,0,42957,9195.63
2023,,393    ,INTERESSOS DE DEMORA                              ,62332,0,62332,-196118.95
2023,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,28092,0,28092,37755.11
2023,,399    ,ALTRES INGRESOS DIVERSOS                          ,85000,0,85000,5155.51
2023,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,13700,0,13700,94369.49
2023,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,18229688,0,18229688,4385018.97
2023,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,1000,0,1000,0
2023,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,0,6,0
2023,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,397152,0,397152,0
2023,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,203478,104053.61,307531.61,263369.98
2023,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1385681,0,1385681,484740.18
2023,,45003  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD DEPENDÈNCIA  ,1104679,0,1104679,0
2023,,45004  ,SUBV. GENERALITAT ACCIO SOCIAL - SUPORT SOCIAL    ,81259,0,81259,0
2023,,45005  ,SUBV. GENERALITAT ACCIO SOCIAL - SERVEI ATENCIO DO,70520,0,70520,70520.12
2023,,45006  ,SUBV. GENERALITAT ACCIO SOCIAL - ATENCIÓ PERS SENS,266539,0,266539,0
2023,,45007  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD SOCIAL       ,283354,0,283354,0
2023,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1473037,0,1473037,381938.03
2023,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,918143.79,918149.79,533466.41
2023,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,495928,0,495928,188712.55
2023,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,78189,0,78189,96576.75
2023,,45102  ,SUBV. DE L'AGENCIA D'HABITATGE DE CATALUNYA       ,6,0,6,0
2023,,830    ,BESTRETES REINTEGRABLES PERSONAL                  ,60000,0,60000,7893.27
2023,,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,28286972.38,28286972.38,0
2023,,870100 ,ROMANENT TRESORERIA DESPESES FINANÇAMET AFECTAT   ,0,758970.37,758970.37,0
2023,,740    ,TRANSFERÈNCIA DE CAPITAL PRAT NORD                ,3454490,4505543.7,7960033.7,0
2023,,87010  ,ROMANENT PER DESPESES AFECTADES                   ,0,2178099.62,2178099.62,0
2023,,46110  ,SUBV. DIPUTACIÓ - HABITATGE                       ,6,0,6,29896.12
2023,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",6,0,6,0
2023,,46100  ,SUBVENCIONS DIPUTACIO                             ,73717,0,73717,0
2023,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,0,6,18891.43
2023,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,629770,0,629770,77327.76
2023,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,115569,0,115569,0
2023,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,46925,0,46925,4636.67
2023,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,162394,0,162394,42000
2023,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",129367,0,129367,90838.35
2023,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,0
2023,,46108  ,"SUBV. DIPUTACIÓ CONVIVÈNCIA, CIVISME, COOP, FEMINI",91686,0,91686,0
2023,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,6,0,6,0
2023,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,0
2023,,4641   ,TRANSF CORRENTS D'ÀREA METROPOLITANA FORMACIÓ-OCUP,6,113484.1,113490.1,240432.59
