#Ejercicio,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,m,Obligaciones reconegudes
2023,051  ,433  ,48908  ,TRANSF CORRENTS SECTOR RESTAURACIÓ                ,051,433  ,48908 ,50000,0,,0
2023,031  ,920  ,22700  ,NETEJA EDIFICIS MUNICIPALS                        ,031,92   ,22    ,645250,0,,49959
2023,031  ,920  ,22799  ,CONTR PREST SERVEIS INFRAES VÀRIES                ,031,92   ,22    ,268150,1387.51,,75952.56
2023,031  ,920  ,633    ,INVERSIÓ EN MATERIAL INVENTARIABLE                ,031,920  ,633   ,50000,12594.89,,12594.89
2023,032  ,161  ,44901  ,TRANSF CORRENTS REBUTS APSA FAMILIES VULNERABLES  ,032,161  ,44901 ,25000,0,,0
2023,032  ,161  ,44902  ,TRANSF CORRENTS REBUTS APSA COMPENSACIÓ ENERGIA   ,032,161  ,44902 ,750000,0,,0
2023,032  ,170  ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,1    ,1     ,74878,0,,16045.17
2023,032  ,170  ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,34100,0,,7729.86
2023,032  ,170  ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,14993,0,,3341.94
2023,032  ,170  ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,34449,0,,7527.7
2023,032  ,170  ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,29200,0,,9456.63
2023,032  ,170  ,12006  ,TRIENNIS                                          ,,1    ,1     ,20078,0,,4352.35
2023,032  ,170  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,51356,0,,12272.09
2023,032  ,170  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,126236,0,,30393.39
2023,032  ,170  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,237779,0,,42397.29
2023,032  ,170  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,183126,0,,31828.61
2023,032  ,170  ,209    ,CANON FOTOVOLTAIQUES                              ,032,170  ,209   ,1,0,,0
2023,032  ,170  ,22602  ,DESP DIFUSIÓ AMBIENTAL                            ,032,17   ,22    ,15500,0,,300
2023,032  ,170  ,226021 ,DESP DIFUSIÓ PLATJA                               ,032,17   ,22    ,4000,0,,0
2023,032  ,170  ,22699  ,DESP DIVERSES QUALITAT AMBIENTAL                  ,032,17   ,22    ,810,0,,0
2023,032  ,170  ,227991 ,CONTR PREST SERV PLATJA                           ,032,17   ,22    ,25000,0,,0
2023,032  ,170  ,227992 ,CONTR PREST SERVEIS EDUCACIÓ AMBIENTAL            ,032,17   ,22    ,138881,0,,0
2023,032  ,170  ,227993 ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,35000,18089.5,,18089.5
2023,032  ,170  ,227994 ,TREBALLS TECNICS EFICIENCIA ENERGETICA            ,032,17   ,22    ,57542,0,,0
2023,032  ,170  ,46602  ,QUOTA MEMBRE ASSOC RED CLIMA I RED BIODIVERSITAT  ,032,170  ,46602 ,1000,0,,0
2023,032  ,170  ,46603  ,QUOTA MEMBRE ASSOCIACIO MUNICIPIS ENERGIA PUBLICA ,032,170  ,46603 ,3277,0,,0
2023,061  ,3411 ,48913  ,CONVENI CLUB TRIATLÓ                              ,061,3411 ,48913 ,6000,2400,,0
2023,061  ,3411 ,48914  ,CONVENI AE BASQUET PRATENC                        ,061,3411 ,48914 ,11000,0,,0
2023,061  ,3411 ,48915  ,CONVENI ESCOLA JAUME BALMES                       ,061,3411 ,48915 ,7650,0,,0
2023,061  ,3411 ,48916  ,CONVENI IE EL PRAT                                ,061,3411 ,48916 ,4140,0,,0
2023,061  ,3411 ,48917  ,CONVENI JJEE BASQUET CB PRAT                      ,061,3411 ,48917 ,14400,5720,,4494.53
2023,061  ,3411 ,48918  ,CONVENI CONSELL ESPORTIU (JJEE+SC)                ,061,3411 ,48918 ,92000,66398,,0
2023,061  ,3411 ,48919  ,CONVENI ADEQUACIÓ INS. CLUB AGILITY BAIX LLOBREGAT,061,3411 ,48919 ,10000,4000,,3236.3
2023,061  ,3411 ,48920  ,CONVENI AGRUPACIÓ CICLISTA                        ,061,3411 ,48920 ,5000,2000,,2000
2023,061  ,3411 ,48921  ,CONVENI UNIO EXCURSIONISTA DE CATALUNYA (UEC)     ,061,3411 ,48921 ,5000,0,,0
2023,061  ,3411 ,48922  ,CONVENI CLUB PATINATGE COBRA                      ,061,3411 ,48922 ,12000,4800,,4800
2023,061  ,3411 ,48923  ,CONVENI FEDERACIÓ CATALANA  DE VELA               ,061,3411 ,48923 ,26000,57127,,57127
2023,061  ,3412 ,226093 ,DESP NIT DE L'ESPORT                              ,061,34   ,22    ,10000,0,,4108.12
2023,061  ,3412 ,226094 ,DESP FESTA DE L'ACTIVITAT FÍSICA I LA SALUT       ,061,34   ,22    ,6000,0,,0
2023,061  ,3412 ,226096 ,DESP FESTA DE LA BICICLETA                        ,061,34   ,22    ,12000,0,,0
2023,061  ,3412 ,227991 ,DESP CURSA POPULAR                                ,061,34   ,22    ,14000,0,,0
2023,061  ,3412 ,227993 ,CAMPANYA NATACIÓ ESCOLAR AMB EDUCACIÓ             ,061,34   ,22    ,18000,0,,3157.72
2023,061  ,342  ,203    ,RENTING MAQUINARIA FITNESS                        ,061,34   ,20    ,75000,0,,0
2023,061  ,342  ,22101  ,CONSUM AIGUA ESPORTS                              ,061,34   ,22    ,115230,0,,0
2023,061  ,342  ,22104  ,VESTUARI PERSONAL ESPORTS                         ,061,34   ,22    ,12100,0,,3193.31
2023,061  ,342  ,22199  ,ESPORTS-SUBM. DIVERS MATERIAL                     ,061,34   ,22    ,32000,0,,6179.47
2023,061  ,342  ,22699  ,DESP DIVERSES ESPORTS                             ,061,34   ,22    ,3600,0,,600
2023,061  ,342  ,227993 ,CONTR PREST SERVEIS CM VELA                       ,061,34   ,22    ,13500,1932.18,,1932.18
2023,061  ,342  ,48904  ,"CONVENI CP PRAT, GESTIÓ PISTA JARDINS RIB         ",061,342  ,48904 ,17000,6800,,6800
2023,012  ,9209 ,12006  ,TRIENNIS                                          ,,9    ,1     ,11281,0,,2179.26
2023,011  ,336  ,22609  ,CONSERVACIÓ I RESTAURACIÓ DOCUMENTACIÓ            ,011,33   ,22    ,9600,0,,0
2023,011  ,336  ,227993 ,SUPORT ARXIVÍSTIC-ORGANITZACIÓ DIPÒSITS           ,011,33   ,22    ,14400,0,,0
2023,011  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,011,491  ,4491  ,842738,0,,200000
2023,011  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,75505,0,,15945.06
2023,011  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,17560,0,,2971.54
2023,011  ,912  ,23000  ,ÒRGANS DE GOVERN-DIETES                           ,011,91   ,23    ,1500,0,,168.1
2023,011  ,9201 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,196176,0,,42162.66
2023,011  ,9201 ,12000  ,SOUS DEL GRUP A1                                  ,,9    ,1     ,10230,0,,0
2023,011  ,9201 ,12003  ,SOUS DEL GRUP C1                                  ,,9    ,1     ,11483,0,,2509.23
2023,011  ,9201 ,12004  ,SOUS DEL GRUP C2                                  ,,9    ,1     ,19467,0,,4176.78
2023,011  ,9201 ,12006  ,TRIENNIS                                          ,,9    ,1     ,11715,0,,2491.95
2023,011  ,9201 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,21302,0,,3345.66
2023,011  ,9201 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,63235,0,,10481.55
2023,011  ,9201 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,9    ,1     ,111855,0,,24002.58
2023,011  ,9201 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,103864,0,,16031.08
2023,011  ,9201 ,226011 ,ATENCIONS PROTOCOL·LÀRIES                         ,011,92   ,22    ,50000,0,,2233.45
2023,011  ,9201 ,22699  ,DESP DIVERSES ALCALDIA                            ,011,92   ,22    ,11000,0,,325.8
2023,011  ,9201 ,489    ,TRANSF CORRENTS ALCALDIA                          ,011,9201 ,489   ,3000,0,,0
2023,011  ,9202 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,74878,0,,16045.17
2023,011  ,9202 ,12001  ,SOUS DEL GRUP A2                                  ,,9    ,1     ,59971,0,,11776.36
2023,011  ,9202 ,12003  ,SOUS DEL GRUP C1                                  ,,9    ,1     ,11483,0,,2509.23
2023,011  ,9202 ,12006  ,TRIENNIS                                          ,,9    ,1     ,8427,0,,1616.25
2023,011  ,9202 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,33704,0,,6604.26
2023,011  ,9202 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,75193,0,,14820.05
2023,032  ,170  ,489    ,TRANSF CORRENTS EDUC PROM AMBIENTAL               ,032,170  ,489   ,6000,4200,,2600
2023,032  ,170  ,48904  ,TRANSF CORRENT CRAM                               ,032,170  ,48904 ,30000,12000,,12000
2023,032  ,170  ,48905  ,TRANSF CORRENTS ACCIÓO AMBIENTAL  AGRUP FOTOGRAF  ,032,170  ,48905 ,2500,0,,0
2023,032  ,1721 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,17050,0,,3864.93
2023,032  ,1721 ,12006  ,TRIENNIS                                          ,,1    ,1     ,5340,0,,1209.27
2023,032  ,1721 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,8292,0,,1776.81
2023,032  ,1721 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,14242,0,,3051.66
2023,032  ,1721 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,30200,0,,6367.38
2023,032  ,1721 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,25136,0,,4303.79
2023,032  ,1721 ,22199  ,GESTIÓ-ESPAIS NATURALS                            ,032,17   ,22    ,23400,0,,302.25
2023,032  ,1722 ,22601  ,DESPESES DIVERSES                                 ,032,17   ,22    ,450,0,,150
2023,032  ,1722 ,22701  ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,48500,0,,0
2023,032  ,1722 ,227992 ,DESPLEGAMENT OFICINA D'ENERGIA I CLIMA            ,032,17   ,22    ,135000,0,,10416.72
2023,032  ,1722 ,467    ,APORT. CONSORCI ESPAIS NATURALS DEL DELTA         ,032,1722 ,467   ,60000,0,,15000
2023,032  ,1722 ,479    ,LÍNIA AJUTS MOBILITAT DESCARBONITZADA EMPRESA     ,032,1722 ,479   ,30000,0,,0
2023,032  ,2311 ,4892   ,LÍNIA AJUTS VULNERABILITAT ENERGÈTICA             ,032,2311 ,4892  ,1,0,,0
2023,032  ,2311 ,4893   ,LINIA AJUTS ARRANJAMENTS ENERGIA DOMICILIS VULNERA,032,2311 ,4893  ,1,0,,0
2023,032  ,419  ,22199  ,SUBMINISTRAMENTS DIVERSOS AGRICULTURA             ,032,41   ,22    ,15000,0,,0
2023,032  ,419  ,22602  ,PUBLICITAT I DIFUSIÓ AGRICULTURA                  ,032,41   ,22    ,4204,0,,0
2023,032  ,419  ,22699  ,DESPESES DIVERSES AGRICULTURA                     ,032,41   ,22    ,500,0,,0
2023,032  ,419  ,2279901,ESTRATÈGIA ALIMENTACIÓ SOSTENIBLE                 ,032,41   ,22    ,7100,0,,0
2023,061  ,3421 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,17050,0,,3864.93
2023,061  ,3421 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,29986,0,,6683.88
2023,061  ,3421 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,11483,0,,2509.23
2023,061  ,3421 ,12004  ,SOUS DEL GRUP C2                                  ,,3    ,1     ,9734,0,,2088.39
2023,061  ,3421 ,12005  ,SOUS DEL GRUP E                                   ,,3    ,1     ,44600,0,,9557.09
2023,061  ,3421 ,12006  ,TRIENNIS                                          ,,3    ,1     ,22661,0,,4830.38
2023,061  ,3421 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,,3    ,1     ,14620,0,,3247.11
2023,061  ,3421 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,50016,0,,10717.53
2023,061  ,3421 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,134223,0,,28761.93
2023,061  ,3421 ,121031 ,ALTRES COMPLEMENTS                                ,,3    ,1     ,4575,0,,1569.1
2023,061  ,3421 ,121039 ,RETRIBUCIONS COMPLEMENTÀRIES SUPLÈNCIES           ,,3    ,1     ,27710,0,,6512.57
2023,061  ,3421 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,3    ,1     ,160896,0,,34433.76
2023,061  ,3421 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,3    ,1     ,3755,0,,278.84
2023,061  ,3421 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,,3    ,1     ,7565,0,,1913.66
2023,061  ,3421 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,,3    ,1     ,14000,0,,0
2023,061  ,3421 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,3    ,1     ,4140,0,,2201.58
2023,061  ,3421 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,171097,0,,30330.18
2023,061  ,3421 ,212    ,CEMS CONSERVACIÓ I REPARACIÓ                      ,061,34   ,21    ,245000,3727.32,,17683.02
2023,061  ,3421 ,22100  ,ELECTRICITAT CEMS                                 ,061,34   ,22    ,218697,12697.33,,57964.48
2023,061  ,3421 ,22102  ,CONSUM GAS CEMS                                   ,061,34   ,22    ,359921,82960.27,,6317.03
2023,061  ,3421 ,22700  ,NETEJA CEMS                                       ,061,34   ,22    ,725912,0,,55873.17
2023,061  ,3423 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,14993,0,,3341.94
2023,061  ,3423 ,12005  ,SOUS DEL GRUP E                                   ,,3    ,1     ,53520,0,,11659.65
2023,061  ,3423 ,12006  ,TRIENNIS                                          ,,3    ,1     ,7619,0,,1508.1
2023,061  ,3423 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,,3    ,1     ,14620,0,,3970.58
2023,072  ,327  ,48905  ,TRANSF CORRENTS FONS CATALÀ DE COOPERACIÓ         ,072,327  ,48905 ,33000,9076,,476
2023,012  ,920  ,227062 ,ESTUDIS I TREBALLS TÈCNICS TIC                    ,012,92   ,22    ,220000,3872,,4888.4
2023,051  ,2412 ,226992 ,DESP VARIES -OCUPACIÓ                             ,051,24   ,22    ,1000,0,,570.25
2023,011  ,9202 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,9    ,1     ,35520,0,,7676.16
2023,011  ,9202 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,87204,0,,13621.16
2023,011  ,9202 ,226023 ,COMUNICACIÓ I DIFUSIÓ                             ,011,92   ,22    ,256762,16056.51,,19323.19
2023,011  ,9202 ,227994 ,CONTR PREST SERVEIS AUDIOVISUALS                  ,011,92   ,22    ,150000,0,,0
2023,011  ,9202 ,227995 ,CONT PREST SERVEIS GRÀFICS I DE COMUNICACIÓ       ,011,92   ,22    ,65000,0,,6207.3
2023,011  ,9203 ,12000  ,SOUS DEL GRUP A1                                  ,,9    ,1     ,17050,0,,3864.93
2023,011  ,9203 ,12003  ,SOUS DEL GRUP C1                                  ,,9    ,1     ,11483,0,,2509.23
2023,011  ,9203 ,12004  ,SOUS DEL GRUP C2                                  ,,9    ,1     ,19467,0,,4176.78
2023,011  ,9203 ,12006  ,TRIENNIS                                          ,,9    ,1     ,11255,0,,2487.39
2023,011  ,9203 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,30638,0,,6565.08
2023,011  ,9203 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,113893,0,,24405.63
2023,011  ,9203 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,38936,0,,6713.52
2023,012  ,011  ,359    ,ALTRES DESPESES FINANCERES                        ,012,01   ,35    ,50000,0,,2198.91
2023,012  ,161  ,467    ,TRANSF CONGIAC                                    ,012,161  ,467   ,11400,0,,0
2023,012  ,221  ,16205  ,ASSEGURANÇA VIDA I ACCIDENTS                      ,,2    ,1     ,96933,0,,0
2023,012  ,221  ,164    ,AJUDA FAMILIAR                                    ,,2    ,1     ,32000,0,,5309.8
2023,012  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,191005,0,,40929.51
2023,012  ,912  ,10001  ,ALTRES REMUNERACIONS - ASSISTÈNCIA PLENS          ,,9    ,1     ,81888,0,,20455.06
2023,012  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,58687,0,,9957.6
2023,012  ,912  ,487    ,TRANSF CORRENTS FUNDACIÓ CATALUNYA EUROPA         ,012,912  ,487   ,10000,0,,0
2023,012  ,912  ,489    ,TRANSF CORRENTS GRUPS MUNICIPALS                  ,012,912  ,489   ,180000,0,,45000
2023,012  ,920  ,202    ,ARRENDAMENTS VARIS                                ,012,92   ,20    ,300000,0,,67188.37
2023,012  ,920  ,216    ,MANTENIMENT EQUIPS INFORMÀTICS/PROGRAMARI         ,012,92   ,21    ,570000,70212.65,,49379.14
2023,032  ,419  ,46601  ,QUOTA MEMBRE ASSOC RED DE CIUDADES POR LA AGRC    ,032,419  ,46601 ,1000,0,,0
2023,032  ,419  ,48901  ,TRANSF CORRENT PARC AGRARI                        ,032,419  ,48901 ,21000,0,,21000
2023,032  ,419  ,48902  ,TRANSF CORRENT ESPIGOLADORS                       ,032,419  ,48902 ,12000,4800,,4800
2023,032  ,419  ,48904  ,CONVENI FUNDESPLAI EXPOSICIÓ ALIMENTACIÓ          ,032,419  ,48904 ,15000,6000,,6000
2023,032  ,419  ,48905  ,TRANSF CORRENTS AMICS DEL CAVALL (AMICSDEL PRAT)  ,032,419  ,48905 ,15000,0,,9000
2023,032  ,419  ,48906  ,TRANSF CORRENTS AMICS DEL PRAT  APLEC DE LA TARTANA,032,419  ,48906 ,4000,0,,0
2023,041  ,320  ,22602  ,PUBLICITAT DIFUSIÓ PROM ESCOL                     ,041,32   ,22    ,2329,0,,0
2023,041  ,3200 ,12000  ,SOUS DEL GRUP A1                                  ,,3    ,1     ,17050,0,,0
2023,041  ,3200 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,44978,0,,8155.93
