#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2021,,30901  ,VIGILANCIA ESPECIAL                               ,15150.0,0.0,15150.0,7624.6
2021,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9000.0,0.0,9000.0,9819.74
2021,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,18000000.0,0.0,18000000.0,18180240.38
2021,,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,35800000.0,0.0,35800000.0,33985521.1
2021,,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2799745.0,0.0,2799745.0,2935735.94
2021,,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,3000000.0,0.0,3000000.0,2896056.2
2021,,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7975000.0,0.0,7975000.0,7552679.56
2021,,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",1400000.0,0.0,1400000.0,1975637.28
2021,,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,60000.0,0.0,60000.0,67510.39
2021,,311    ,RESIDENCIA DE ANCIANOS,160000.0,0.0,160000.0,162886.09
2021,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,40000.0,0.0,40000.0,100681.54
2021,,312    ,GUARDERÍA,190000.0,0.0,190000.0,160280.73
2021,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,216765.0,0.0,216765.0,160324.87
2021,,31302  ,INSTALACIONES DEPORTIVAS                         ,43000.0,0.0,43000.0,17613.97
2021,,31303  ,SERVICIOS DEPORTIVOS                              ,2295225.0,0.0,2295225.0,1317122.97
2021,,31905  ,CONTROL SANITARIO PERROS,30000.0,0.0,30000.0,40804.89
2021,,321    ,TASA LICENCIES DE OBRAS                           ,520000.0,0.0,520000.0,850055.1
2021,,323    ,TASA PERMISOS AMBIENTALES                          ,404000.0,0.0,404000.0,337276.37
2021,,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,27543.0,0.0,27543.0,26532.78
2021,,326    ,RETIRADA DE VEHÍCULOS,80800.0,0.0,80800.0,112521.36
2021,,32901  ,MERCADO MUNICIPAL                                  ,25000.0,0.0,25000.0,28924.5
2021,,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1020.0,0.0,1020.0,1922.0
2021,,32903  ,OTRAS TASAS REALIZACIÓN ACT COMPETENCIA LOCAL,50000.0,0.0,50000.0,50000.0
2021,,331    ,TASAS VADOS                                       ,600000.0,0.0,600000.0,662870.22
2021,,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1230000.0,0.0,1230000.0,1191825.1
2021,,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,21000.0,0.0,21000.0,36750.58
2021,,335    ,TASAS VELADORES Y SILLAS                    ,40000.0,0.0,40000.0,32561.49
2021,,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,216000.0,0.0,216000.0,203900.81
2021,,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,177000.0,0.0,177000.0,186810.69
2021,,33901  ,TASAS QUIOSCOS                                    ,110000.0,0.0,110000.0,75230.16
2021,,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,44000.0,0.0,44000.0,25942.6
2021,,34901  ,HUERTOS LÚDICOS                                      ,20000.0,0.0,20000.0,7773.6
2021,,34902  ,SERVICIOS CULTURALES,500.0,0.0,500.0,0.0
2021,,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6.0,5132.5,5138.5,5132.5
2021,,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,3060.0,0.0,3060.0,5338.87
2021,,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,38000.0,0.0,38000.0,22000.0
2021,,34906  ,"SERVICIOS CULTURALES TEATRO ""ARTESÀ""",6.0,61418.0,61424.0,60433.0
2021,,36000  ,VENTA MATERIAL RECHAZO                         ,29000.0,0.0,29000.0,55302.0
2021,,36001  ,VENTA DE PUBLICACIONES                             ,100.0,0.0,100.0,996.7
2021,,36002  ,VENTA DE ELECTRICIDAD                             ,40000.0,0.0,40000.0,49047.75
2021,,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",425000.0,0.0,425000.0,585104.76
2021,,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000.0,0.0,5000.0,55635.51
2021,,38901  ,REINTEGROS ANUNCIOS                            ,5000.0,0.0,5000.0,0.0
2021,,765    ,TRANFERENCIAS CAPITAL CONSEJO COMARCAL,0.0,585811.0,585811.0,0.0
2021,,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,8000.0,0.0,8000.0,87596.62
2021,,39120  ,MULTAS CIRCULACIÓN                                 ,520000.0,0.0,520000.0,767610.0
2021,,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000.0,0.0,50000.0,225257.77
2021,,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,1000.0,0.0,1000.0,4661.02
2021,,39211  ,RECARGO APREMIO,59000.0,0.0,59000.0,67427.68
2021,,87010  ,REMANENTE TESORERÍA AFECTADA AL PATRIMONIO MPAL SUELO,0.0,3989447.7,3989447.7,0.0
2021,,393    ,INTERESES DE DEMORA                              ,100000.0,0.0,100000.0,89648.65
2021,,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,110000.0,0.0,110000.0,45457.14
2021,,399    ,OTROS INGRESOS DIVERSOS                          ,95000.0,0.0,95000.0,147392.27
2021,,39901  ,OTROS INGRESOS EJECUCIONES SUBSIDIARIAS           ,6.0,13644.12,13650.12,31235.17
2021,,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,15360345.0,0.0,15360345.0,15440632.82
2021,,42090  ,OTRAS TRANSFERENCIAS CORRIENTES DE LA AGE,1000.0,0.0,1000.0,23870.47
2021,,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL,6.0,12230.0,12236.0,17280.0
2021,,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,389592.0,0.0,389592.0,692225.02
2021,,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,114929.0,66519.85,181448.85,204147.85
2021,,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,2880326.0,0.0,2880326.0,3697196.26
2021,,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,781801.0,0.0,781801.0,773046.27
2021,,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6.0,871360.46,871366.46,1743474.42
2021,,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,197751.0,0.0,197751.0,128948.12
2021,,450803 ,SUBVENCIONES GENERALITAT TURISMO,74463.0,0.0,74463.0,78188.59
2021,,45300  ,"SUBV. SOCIEDADES, ENTIDADES PÚBLICAS Y OTRAS DEPENDIENTES CCAA",10000.0,0.0,10000.0,11000.0
2021,,46100  ,SUBVENCIONES DIPUTACIÓN                             ,100000.0,0.0,100000.0,147436.0
2021,,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6.0,345270.1,345276.1,436895.19
2021,,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,680629.0,0.0,680629.0,561658.67
2021,,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,439830.0,0.0,439830.0,378081.62
2021,,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,23000.0,0.0,23000.0,43787.99
2021,,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,200109.0,0.0,200109.0,282117.13
2021,,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",17000.0,0.0,17000.0,67445.89
2021,,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE,4408.0,0.0,4408.0,0.0
2021,,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,114604.0,0.0,114604.0,34143.32
2021,,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,150000.0,0.0,150000.0,0.0
2021,,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,6.0,0.0,6.0,87307.86
2021,,4641   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA FORM,6.0,276216.5,276222.5,372064.36
2021,,4642   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA POBRE,318917.0,0.0,318917.0,45142.97
2021,,4643   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA,50000.0,0.0,50000.0,42512.74
2021,,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,6.0,50560.0,50566.0,104121.4
2021,,467    ,TRANSFERENCIAS CORRIENTES DE CONSORCIOS,15000.0,0.0,15000.0,11528.79
2021,,470    ,SUBVENCIONES DE EMPRESAS                            ,5000.0,0.0,5000.0,20356.7
2021,,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6.0,0.0,6.0,71197.06
2021,,481    ,SUBVENCIONES INSTITUC Y FAMIL SIN ÁNIMO DE LUCRO,6.0,0.0,6.0,6098.4
2021,,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6.0,0.0,6.0,0.0
2021,,514    ,INTERESES DE SOCIEDADES MERCANTILES                ,183385.0,0.0,183385.0,179542.72
2021,,52     ,INTERESES DE DEPÓSITOS                            ,50000.0,0.0,50000.0,0.0
2021,,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,77725.0,5181.56,82906.56,149264.32
2021,,550    ,CONCESIONES ADMINISTRATIVAS                       ,230000.0,0.0,230000.0,271622.4
2021,,559    ,OTRAS CONCESIONES Y APROVECHAMIENTOS,16330.0,0.0,16330.0,20344.43
2021,,761    ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA             ,613923.0,0.0,613923.0,0.0
2021,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,3052336.0,0.0,3052336.0,522423.59
2021,,791    ,FONDO EUROPEO DE DESARROLLO REGIONAL (FEDER),1159170.0,0.0,1159170.0,0.0
2021,,82120  ,REINTEGRO PRÉSTAMOS SECTOR PÚBLICO LOCAL,700026.0,0.0,700026.0,700025.48
2021,,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000.0,25453.25,26453.25,25021.94
2021,,87000  ,REMANENTE TESORERÍA GASTOS GENERALES,0.0,34600583.12,34600583.12,0.0
2021,,771    ,TRANS CAPITAL JUNTAS DE COMPENSACIÓN PAU1 Y PAU 2,0.0,515596.98,515596.98,515596.98
