#a,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2021,051  ,433  ,465    ,TRANSFERENCIAS CORRIENTES CONSEJO COMARCAL BAJO LLOBREGAT,051,43   ,46    ,0.0,0.0,0.0,0.0
2021,032  ,1722 ,449    ,TRANSF CORRIENTES APSA GESTIÓN ENERGÍAS RENOVABLES,032,17   ,44    ,0.0,0.0,0.0,0.0
2021,031  ,933  ,632    ,MEJORA EN EQUIPAMIENTOS MUNICIPALES,031,93   ,63    ,0.0,0.0,0.0,0.0
2021,012  ,929  ,500    ,FONDO DE CONTINGENCIA,012,92   ,50    ,0.0,0.0,0.0,0.0
2021,031  ,1500 ,640    ,"REDACCIÓN DE PROYECTOS, ESTUDIOS, DIRECCIONES OBRAS",031,15   ,64    ,0.0,0.0,0.0,0.0
2021,021  ,160  ,22706  ,ESTUDIOS Y TRABAJOS TÉCNICOS -ALCANTARILLADO,021,16   ,22    ,0.0,0.0,0.0,0.0
2021,021  ,4411 ,4641   ,TRANSFERENCIAS CORRIENTES CON - TARJETA ROSA,021,44   ,46    ,0.0,0.0,0.0,0.0
2021,021  ,1721 ,764    ,MÓDULO SOCORRISMO PLAYA,021,1721 ,764   ,0.0,80000.0,80000.0,0.0
2021,012  ,1521 ,741    ,TRANSF CAPITAL PRAT ESPAIS ADQUISICIÓN VIVIENDAS,012,15   ,74    ,0.0,0.0,0.0,0.0
2021,041  ,323  ,226991 ,GASTOS DIVERSOS MEJORA ENSEÑANZA PÚBLICA,041,32   ,22    ,1000.0,0.0,1000.0,0.0
2021,041  ,323  ,227992 ,PREST. SERVICIOS ESCUELAS BARRIO SANT COSME,041,32   ,22    ,31000.0,0.0,31000.0,4758.0
2021,041  ,3231 ,12001  ,SUELDOS DEL GRUPO A2,,3    ,1     ,70662.0,0.0,70662.0,12600.72
2021,041  ,3231 ,12003  ,SUELDOS DEL GRUPO C1,,3    ,1     ,21648.0,0.0,21648.0,4730.52
2021,041  ,3231 ,12005  ,SUELDOS DEL GRUPO E,,3    ,1     ,16817.0,0.0,16817.0,3622.62
2021,041  ,3231 ,12006  ,TRIENIOS,,3    ,1     ,23049.0,0.0,23049.0,2322.9
2021,041  ,3231 ,120099 ,RETRIBUCIONES BÁSICAS SUPLENCIAS,,3    ,1     ,5394.0,0.0,5394.0,0.0
2021,041  ,3231 ,12100  ,COMPLEMENTO DE DESTINO,,3    ,1     ,45525.0,0.0,45525.0,8312.98
2021,041  ,3231 ,12101  ,COMPLEMENTO ESPECÍFICO,,3    ,1     ,102348.0,0.0,102348.0,28525.72
2021,051  ,2413 ,227992 ,DOTACIÓN PREMIOS EL PRAT EMPRÈN,051,24   ,22    ,6000.0,0.0,6000.0,0.0
2021,051  ,2413 ,227993 ,CONTR PREST SERVICIOS ECONOMÍA SOCIAL,051,2413 ,227993,63840.0,20178.53,84018.53,5554.81
2021,051  ,2413 ,48901  ,TR CORRIENTES EMPRESA INSERCIÓ SAOPRAT SL,051,2413 ,48901 ,108000.0,0.0,108000.0,0.0
2021,051  ,2413 ,48902  ,TRANSF CORRIENTES FUNDACIÓ CASSIA JUST,051,2413 ,48902 ,62000.0,0.0,62000.0,0.0
2021,051  ,2413 ,48903  ,TRANSF CORRIENTES CPS FRANCESC PALAU,051,2413 ,48903 ,55000.0,0.0,55000.0,0.0
2021,051  ,2413 ,48904  ,TRANSF CORRIENTES GATS (LABESOC),051,2413 ,48904 ,77000.0,0.0,77000.0,0.0
2021,051  ,2413 ,48905  ,TR CORR FUNDACIÓ CATALANA DE L'ESPLAI,051,2413 ,48905 ,75000.0,0.0,75000.0,0.0
2021,051  ,2413 ,48906  ,"TRANSF CORRIENTES, AYUDAS A LA CONTRATACIÓN",051,24   ,48    ,200000.0,0.0,200000.0,0.0
2021,051  ,2413 ,48912  ,TRANSF CORRIENTES ECONOMÍA SOCIAL Y COOPERATIVA,051,24   ,48    ,102000.0,0.0,102000.0,1025.0
2021,051  ,2413 ,48913  ,TRANSF CORRIENTE ASSOCIACIÓ ESPIGOLADORS,051,2413 ,48913 ,95000.0,0.0,95000.0,0.0
2021,051  ,2413 ,48914  ,"TRANSF CORRIENTES ""FUNDACIÓ ESPERANZAH"" -LOCAL-",051,2413 ,48914 ,43560.0,0.0,43560.0,0.0
2021,051  ,2413 ,48915  ,TRANSF CORRIENTES COOPERATIVA OBRERA DE VIVIENDAS,051,2413 ,48915 ,11000.0,0.0,11000.0,0.0
2021,051  ,2413 ,48917  ,TRANSF CORRIENTES COOPERATIVA AGRÍCOLA,051,2413 ,48917 ,100000.0,0.0,100000.0,0.0
2021,051  ,2413 ,48918  ,TRANSF CORRIENTES FUNDACIÓN SEIRA,051,2413 ,48918 ,100.0,0.0,100.0,0.0
2021,051  ,2413 ,48919  ,TRANSF CORRIENTES FUNDACIÓN ESPERANZAH,051,2413 ,48919 ,65600.0,0.0,65600.0,0.0
2021,051  ,2414 ,1430   ,PLANES DE OCUPACIÓN SOC,051,2414 ,1430  ,56020.0,225876.05,281896.05,80996.68
2021,051  ,2414 ,16000  ,CUOTAS SEGURIDAD SOCIAL SOC,051,2414 ,16000 ,4400.0,76470.0,80870.0,20947.44
