#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,10000,,10000.0,9605.74
2012,     ,113    ,IMPOST BÉNS IMMOBLES URBANS                       ,14900000,,14900000.0,15852114.13
2012,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECI      ,23011790,333681.0,23345471.0,26924613.28
2012,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,3350000,,3350000.0,3294343.37
2012,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1200000,,1200000.0,2264664.72
2012,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7500000,,7500000.0,6683972.42
2012,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1000000,,1000000.0,910638.04
2012,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,315000,,315000.0,335676.37
2012,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,1000,,1000.0,1084.32
2012,     ,311    ,RESIDÈNCIA D'AVIS                                 ,180000,,180000.0,204040.27
2012,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,,5000.0,4401.24
2012,     ,312    ,ESCOLA BRESSOL                                    ,222000,,222000.0,251631.36
2012,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,320000,,320000.0,292714.85
2012,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40000,,40000.0,55673.77
2012,     ,31303  ,SERVEIS ESPORTIUS                                 ,2235000,,2235000.0,2588800.17
2012,     ,31905  ,CONTROL SANITARI GOSSOS                           ,18000,,18000.0,21140.0
2012,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,400000,,400000.0,404931.03
2012,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,200000,,200000.0,298289.93
2012,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,25000,,25000.0,26965.65
2012,     ,326    ,RETIRADA DE VEHICLES                              ,160000,,160000.0,251091.59
2012,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,,33000.0,33657.0
2012,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,,1000.0,
2012,     ,331    ,TAXES GUALS                                       ,525000,,525000.0,539578.3
2012,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1200000,,1200000.0,1321192.45
2012,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,50000,,50000.0,51658.74
2012,     ,335    ,TAXES VETLLADORS I CADIRES                        ,100000,,100000.0,106606.75
2012,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,270000,,270000.0,256216.53
2012,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,160000,,160000.0,137278.39
2012,     ,33901  ,TAXES QUIOSCOS                                    ,75000,,75000.0,45057.91
2012,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,150000,,150000.0,160624.88
2012,     ,34901  ,HORTS LÚDICS                                      ,10000,,10000.0,11227.0
2012,     ,34902  ,SERVEIS CULTURALS                                 ,1000,,1000.0,
2012,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,32300.48,32306.48,34584.84
2012,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,22000,,22000.0,4744.0
2012,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,45000,,45000.0,59930.5
2012,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,10000,,10000.0,27638.97
2012,     ,36001  ,VENDA DE PUBLICACIONS                             ,3000,,3000.0,108.93
2012,     ,36002  ,VENDA D'ELECTRICITAT                              ,18000,,18000.0,33581.57
2012,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",325000,,325000.0,493017.47
2012,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,20000,,20000.0,27412.28
2012,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,4000,,4000.0,5406.21
2012,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,20000,,20000.0,2001.0
2012,     ,39120  ,MULTES CIRCULACIÓ                                 ,1000000,,1000000.0,1056219.88
2012,     ,39190  ,ALTRES MULTES I SANCIONS                          ,50000,,50000.0,114925.13
2012,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,5000,,5000.0,12949.2
2012,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,20000,20000.0,40000.0,47126.24
2012,     ,393    ,INTERESSOS DE DEMORA                              ,50000,,50000.0,330938.38
