#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,10000,0,10000,9605.74
2012,     ,113    ,IMPOST BÉNS IMMOBLES URBANS                       ,14900000,0,14900000,15852114.13
2012,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECI      ,23011790,333681,23345471,26924613.28
2012,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,3350000,0,3350000,3294343.37
2012,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1200000,0,1200000,2264664.72
2012,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7500000,0,7500000,6683972.42
2012,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1000000,0,1000000,910638.04
2012,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,315000,0,315000,335676.37
2012,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,1000,0,1000,1084.32
2012,     ,311    ,RESIDÈNCIA D'AVIS                                 ,180000,0,180000,204040.27
2012,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,4401.24
2012,     ,312    ,ESCOLA BRESSOL                                    ,222000,0,222000,251631.36
2012,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,320000,0,320000,292714.85
2012,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40000,0,40000,55673.77
2012,     ,31303  ,SERVEIS ESPORTIUS                                 ,2235000,0,2235000,2588800.17
2012,     ,31905  ,CONTROL SANITARI GOSSOS                           ,18000,0,18000,21140
2012,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,400000,0,400000,404931.03
2012,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,200000,0,200000,298289.93
2012,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,25000,0,25000,26965.65
2012,     ,326    ,RETIRADA DE VEHICLES                              ,160000,0,160000,251091.59
