#Ejercicio,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2022,032  ,425  ,872901 ,APORTACIÓ COMUNITAT CIUTADANA D'ENERGIA           ,032,425  ,872901,0.0,180000.0,180000.0,0.0
2022,031  ,1500 ,214    ,REPARAC VEHICLES                                  ,031,15   ,21    ,114110.0,3909.84,118019.84,51636.68
2022,031  ,1500 ,221031 ,COMBUSTIBLE VEHICLES                              ,031,15   ,22    ,66550.0,0.0,66550.0,41602.19
2022,031  ,1500 ,22104  ,VESTUARI BRIGADA                                  ,031,15   ,22    ,66000.0,0.0,66000.0,25135.45
2022,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÈCNIC                          ",031,15   ,22    ,38800.0,35263.68,74063.68,53169.08
2022,031  ,1500 ,224    ,ASSEGURANCES VEHICLES                             ,031,15   ,22    ,12640.0,0.0,12640.0,12040.0
2022,031  ,1501 ,12005  ,SOUS DEL GRUP E                                   ,,1    ,1     ,8577.0,0.0,8577.0,8515.92
2022,031  ,1501 ,12006  ,TRIENNIS                                          ,,1    ,1     ,2150.0,0.0,2150.0,2131.58
2022,031  ,1501 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,3366.0,0.0,3366.0,3341.43
2022,031  ,1501 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,13012.0,0.0,13012.0,13540.65
2022,031  ,1501 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,288670.0,0.0,288670.0,273650.46
2022,031  ,1501 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,100.0,0.0,100.0,11112.19
2022,031  ,1501 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,6848.0,0.0,6848.0,0.0
2022,031  ,1501 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,112976.0,0.0,112976.0,99641.04
2022,031  ,1532 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,28831.0,0.0,28831.0,29145.28
2022,031  ,1532 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,11041.0,0.0,11041.0,11202.68
2022,031  ,1532 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,140370.0,0.0,140370.0,91946.33
2022,031  ,1532 ,12005  ,SOUS DEL GRUP E                                   ,,1    ,1     ,42882.0,0.0,42882.0,27605.82
2022,031  ,1532 ,12006  ,TRIENNIS                                          ,,1    ,1     ,14234.0,0.0,14234.0,14720.91
2022,031  ,1532 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,98810.0,0.0,98810.0,69892.22
2022,031  ,1532 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,341694.0,0.0,341694.0,262706.61
2022,031  ,1532 ,121031 ,ALTRES COMPLEMENTS                                ,,1    ,1     ,3700.0,0.0,3700.0,4817.7
2022,031  ,1532 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,432001.0,0.0,432001.0,498443.54
2022,031  ,1532 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,6930.0,0.0,6930.0,11539.68
2022,031  ,1532 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,,1    ,1     ,10500.0,0.0,10500.0,8104.99
2022,031  ,1532 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,6530.0,0.0,6530.0,13464.14
2022,031  ,1532 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,381128.0,0.0,381128.0,337691.1
2022,031  ,1532 ,210    ,VIES PÚBLIQUES CONSERV-REPARACIÓ                  ,031,15   ,21    ,550000.0,1329.92,551329.92,203354.64
2022,031  ,1532 ,213    ,"BRIGADA, CONSERV-REP MÀQUINES-INSTAL              ",031,15   ,21    ,5000.0,0.0,5000.0,0.0
2022,031  ,1532 ,2191   ,SUBM. MOBILIARI URBÀ                              ,031,15   ,21    ,188490.0,-35000.0,153490.0,88765.11
2022,032  ,1721 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,23994.0,0.0,23994.0,25236.25
2022,032  ,1721 ,22199  ,GESTIÓ-ESPAIS NATURALS                            ,032,17   ,22    ,23400.0,0.0,23400.0,11411.04
2022,032  ,1721 ,227991 ,PREST SERVEIS -ESPAIS NATURALS-PLATJA             ,032,17   ,22    ,56664.0,3605.8,60269.8,38311.05
2022,032  ,1722 ,22601  ,DESPESES DIVERSES                                 ,032,17   ,22    ,450.0,0.0,450.0,0.0
2022,032  ,1722 ,22701  ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,50000.0,3169.62,53169.62,55531.9
2022,032  ,1722 ,227991 ,CONTR PREST CONTROL ENERGÈTIC                     ,032,17   ,22    ,50565.0,0.0,50565.0,36786.64
2022,032  ,1722 ,227992 ,DESPLEGAMENT OFICINA D'ENERGIA I CLIMA            ,032,17   ,22    ,89000.0,0.0,89000.0,69450.57
2022,032  ,1722 ,467    ,APORT. CONSORCI ESPAIS NATURALS DEL DELTA         ,032,1722 ,467   ,60000.0,0.0,60000.0,60000.0
2022,032  ,1722 ,479    ,LÍNIA AJUTS MOBILITAT DESCARBONITZADA EMPRESA     ,032,1722 ,479   ,82000.0,0.0,82000.0,0.0
2022,032  ,2311 ,4892   ,LÍNIA AJUTS VULNERABILITAT ENERGÈTICA             ,032,2311 ,4892  ,39000.0,70000.0,109000.0,0.0
2022,032  ,2311 ,4894   ,LÍNIA AJUTS REHABILITACIO ENERGETICA FAMÍLIES VULN,032,2311 ,4894  ,50000.0,0.0,50000.0,0.0
2022,032  ,419  ,22199  ,SUBMINISTRAMENTS DIVERSOS AGRICULTURA             ,032,41   ,22    ,15000.0,0.0,15000.0,0.0
2022,032  ,419  ,22602  ,PUBLICITAT I DIFUSIÓ AGRICULTURA                  ,032,41   ,22    ,7704.0,0.0,7704.0,3333.55
2022,032  ,419  ,22699  ,DESPESES DIVERSES AGRICULTURA                     ,032,41   ,22    ,500.0,0.0,500.0,0.0
2022,032  ,419  ,22799  ,PRESTACIÓ SERVEIS AGRIGULTURA                     ,032,41   ,22    ,54900.0,-1000.0,53900.0,80016.41
2022,032  ,419  ,2279901,ESTRATÈGIA ALIMENTACIÓ SOSTENIBLE                 ,032,41   ,22    ,7100.0,0.0,7100.0,0.0
2022,032  ,419  ,489    ,TRANSF CORRENT AGRICULTURA                        ,032,41   ,48    ,17000.0,0.0,17000.0,15000.0
2022,032  ,419  ,48901  ,TRANSF CORRENT PARC AGRARI                        ,032,419  ,48901 ,21000.0,0.0,21000.0,21000.0
2022,032  ,419  ,48902  ,TRANSF CORRENT ESPIGOLADORS                       ,032,419  ,48902 ,12000.0,0.0,12000.0,7200.0
2022,032  ,419  ,48903  ,QUOTES-APORTACIONS DIVERSES                       ,032,41   ,48    ,1000.0,0.0,1000.0,1000.0
2022,032  ,419  ,48904  ,CONVENI FUNDESPLAI EXPOSICIÓ ALIMENTACIÓ          ,032,419  ,48904 ,15000.0,0.0,15000.0,9000.0
2022,041  ,320  ,22199  ,SUBMINISTRAMENTS DIVERSOS                         ,041,32   ,22    ,2000.0,0.0,2000.0,0.0
2022,041  ,320  ,22602  ,PUBLICITAT DIFUSIÓ PROM ESCOL                     ,041,32   ,22    ,11600.0,0.0,11600.0,22831.44
2022,031  ,1532 ,22101  ,"CONSUM AIGUA VIES PÚBLIQUES, PARCS, ETC           ",031,15   ,22    ,225000.0,0.0,225000.0,228540.81
2022,031  ,1532 ,223    ,DESP TRANSPORTS                                   ,031,15   ,22    ,3000.0,0.0,3000.0,2253.49
2022,031  ,1532 ,22699  ,CONSERV I MANT V PÚBLICA DESP DIVERSES            ,031,15   ,22    ,3000.0,0.0,3000.0,4537.64
2022,031  ,1532 ,226991 ,ALTRES DESPESES EXECUCIONS SUBSIDIÀRIES           ,031,1532 ,226991,6.0,0.0,6.0,0.0
2022,031  ,160  ,22700  ,"CLAVEGUERAM, CONT PREST SERVEIS                   ",031,16   ,22    ,752896.0,0.0,752896.0,701506.05
2022,031  ,1621 ,22700  ,"RECOLLIDA, ELIMINACIÓ I TRACTAMENT DE RESIDUS     ",031,16   ,22    ,3268059.0,0.0,3268059.0,3161422.83
2022,031  ,163  ,22700  ,NETEJA VIARIA                                     ,031,16   ,22    ,6737186.0,750000.0,7487186.0,6607526.94
2022,031  ,165  ,22100  ,CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC                 ,031,16   ,22    ,770078.0,38768.75,808846.75,611953.97
2022,031  ,165  ,22199  ,"ENLLUMENAT PÚBLIC, MATERIAL TÈCNIC                ",031,16   ,22    ,30000.0,0.0,30000.0,1997.05
2022,031  ,165  ,22799  ,"ENLLUMENAT PÚBLIC, PREST SERVEIS                  ",031,16   ,22    ,913886.0,0.0,913886.0,797898.8
2022,031  ,171  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,53728.0,0.0,53728.0,54518.25
2022,031  ,171  ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,450.0,0.0,450.0,0.0
2022,031  ,171  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,19661.0,0.0,19661.0,6421.68
2022,031  ,171  ,210    ,CONSERV-MANTENIMENT PARCS I JARDINS               ,031,17   ,21    ,1466635.0,54876.34,1521511.34,1436333.9
2022,031  ,336  ,609    ,INV NOVA PROJ PARTIPATIUS EN INFRAESTRUCTURES     ,031,336  ,609   ,125000.0,24000.0,149000.0,0.0
2022,031  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,62162.0,0.0,62162.0,63075.6
2022,031  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,16169.0,0.0,16169.0,16168.56
2022,031  ,920  ,212    ,EDIFICIS-INSTAL MPALS CONSERV-REPARACIÓ           ,031,92   ,21    ,829075.0,-2541.15,826533.85,628995.82
2022,031  ,920  ,22100  ,ELECTRICITAT EDIFICIS MPALS                       ,031,92   ,22    ,275122.0,0.28,275122.28,271695.52
2022,031  ,920  ,22101  ,CONSUM AIGUA EDIFICIS MPALS                       ,031,92   ,22    ,41000.0,0.0,41000.0,40240.09
2022,031  ,920  ,22102  ,CONSUM GAS EDIFICIS MUNICIPALS                    ,031,92   ,22    ,11735.0,11033.33,22768.33,11469.33
2022,031  ,920  ,22700  ,NETEJA EDIFICIS MUNICIPALS                        ,031,92   ,22    ,622312.0,304379.68,926691.68,626043.42
2022,031  ,920  ,22799  ,CONTR PREST SERVEIS INFRAES VÀRIES                ,031,92   ,22    ,247133.0,856.68,247989.68,205348.63
2022,032  ,170  ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,1    ,1     ,71993.0,0.0,71993.0,73051.16
2022,032  ,1721 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,13693.0,0.0,13693.0,14358.07
2022,032  ,170  ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,32786.0,0.0,32786.0,33267.8
2022,032  ,170  ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,14416.0,0.0,14416.0,14373.39
2022,032  ,170  ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,33122.0,0.0,33122.0,33406.31
2022,032  ,170  ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,37545.0,0.0,37545.0,37471.38
2022,032  ,170  ,12006  ,TRIENNIS                                          ,,1    ,1     ,17238.0,0.0,17238.0,18108.83
2022,032  ,170  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,52783.0,0.0,52783.0,53644.47
2022,032  ,170  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,131062.0,0.0,131062.0,133751.14
2022,032  ,170  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,153336.0,0.0,153336.0,188481.09
2022,032  ,170  ,131    ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL            ,,1    ,1     ,32418.0,0.0,32418.0,0.0
2022,032  ,170  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,174682.0,0.0,174682.0,180646.51
2022,032  ,170  ,209    ,CANON FOTOVOLTAIQUES                              ,032,17   ,20    ,1.0,0.0,1.0,0.0
2022,032  ,170  ,22602  ,DESP DIFUSIÓ AMBIENTAL                            ,032,17   ,22    ,21000.0,5307.0,26307.0,18690.62
2022,032  ,170  ,226021 ,DESP DIFUSIÓ PLATJA                               ,032,17   ,22    ,4000.0,0.0,4000.0,0.0
2022,032  ,170  ,22699  ,DESP DIVERSES QUALITAT AMBIENTAL                  ,032,17   ,22    ,810.0,0.0,810.0,110.0
2022,032  ,170  ,227991 ,CONTR PREST SERV PLATJA                           ,032,17   ,22    ,25000.0,0.0,25000.0,2815.0
2022,032  ,170  ,227992 ,CONTR PREST SERVEIS EDUCACIÓ AMBIENTAL            ,032,17   ,22    ,133103.0,178.2,133281.2,109070.97
2022,032  ,170  ,227993 ,ESTUDIS I TREBALLS TÈCNICS                        ,032,17   ,22    ,38000.0,0.0,38000.0,32015.4
2022,032  ,170  ,489    ,TRANSF CORRENTS EDUC PROM AMBIENTAL               ,032,17   ,48    ,10500.0,0.0,10500.0,3900.0
2022,032  ,170  ,48901  ,QUOTES-APORTACIONS DIVERSES                       ,032,17   ,48    ,3630.0,0.0,3630.0,1000.0
2022,032  ,170  ,48904  ,TRANSF CORRENT CRAM                               ,032,170  ,48904 ,30000.0,0.0,30000.0,18000.0
2022,032  ,1721 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,16393.0,0.0,16393.0,16424.42
2022,032  ,1721 ,12006  ,TRIENNIS                                          ,,1    ,1     ,5137.0,0.0,5137.0,5145.85
2022,032  ,1721 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,7973.0,0.0,7973.0,7993.18
2022,032  ,1721 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,28107.0,0.0,28107.0,28519.27
2022,021  ,1512 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,144151.0,0.0,144151.0,135487.35
2022,021  ,1512 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,22081.0,0.0,22081.0,21190.3
2022,021  ,1512 ,12006  ,TRIENNIS                                          ,,1    ,1     ,51127.0,0.0,51127.0,51487.75
2022,021  ,1512 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,132627.0,0.0,132627.0,124373.39
2022,021  ,1512 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,390694.0,0.0,390694.0,379434.69
2022,021  ,1512 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,73532.0,0.0,73532.0,72688.11
2022,021  ,1512 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,250975.0,0.0,250975.0,240793.22
2022,021  ,1513 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,81965.0,0.0,81965.0,79561.37
2022,021  ,1513 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,43246.0,0.0,43246.0,42978.04
2022,021  ,1513 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,33122.0,0.0,33122.0,33200.04
2022,021  ,1513 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,46790.0,0.0,46790.0,45107.7
2022,021  ,1513 ,12006  ,TRIENNIS                                          ,,1    ,1     ,26299.0,0.0,26299.0,24241.12
2022,021  ,1513 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,92284.0,0.0,92284.0,91266.75
2022,021  ,1513 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,239430.0,0.0,239430.0,239157.16
2022,021  ,1513 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,41771.0,0.0,41771.0,71585.53
2022,021  ,1513 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,186160.0,0.0,186160.0,175004.88
2022,021  ,1521 ,209    ,CÀNONS CONVENIS HABITATGE                         ,021,15   ,20    ,125000.0,39200.0,164200.0,150363.5
2022,021  ,1521 ,227991 ,PRESTACIÓ DE SERVEIS OFICINA D'HABITATGE          ,021,15   ,22    ,466320.0,0.0,466320.0,466320.0
2022,021  ,1521 ,449    ,TRANF CORR GESTIO LLOGUER HABITATGE SOCIAL        ,021,15   ,44    ,430000.0,350000.0,780000.0,142939.21
2022,021  ,1521 ,44901  ,TRANSF CORRENTS GESTIO CONVENI HABITATGE          ,021,15   ,44    ,217662.0,0.0,217662.0,120000.0
2022,021  ,1521 ,467    ,APORT. CONSORCI PRAT NORD                         ,021,1521 ,467   ,60440.0,0.0,60440.0,0.0
2022,021  ,1521 ,48903  ,TRANSF CORRENTS AJUTS AL LLOGUER                  ,021,15   ,48    ,260000.0,27709.59,287709.59,62707.06
2022,021  ,1532 ,619    ,INV MILLORA INFRAESTRUCT BÉNS ÚS GRAL(ESPAI PUBLIC,021,1532 ,619   ,2791245.0,8820028.39,11611273.39,2621870.32
2022,021  ,1532 ,6191   ,INV REPOSICIO PROJ PARTICIPATIUS INFRAEST I BENS U,021,1532 ,6191  ,835000.0,0.0,835000.0,0.0
2022,021  ,15321,619    ,MILLORA DE L'ESPAI PUBLIC                         ,021,15321,619   ,800000.0,0.0,800000.0,28509.08
2022,021  ,231  ,48905  ,SUBVENCIONS I AJUTS HABITATGE                     ,021,23   ,48    ,90000.0,0.0,90000.0,41930.88
2022,021  ,342  ,619    ,INV NOVA PROJ PARTICIPATIUS INFRAEST I BENS US GRA,021,342  ,619   ,430000.0,0.0,430000.0,0.0
2022,021  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,121085.0,0.0,121085.0,63075.6
2022,021  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,32338.0,0.0,32338.0,16168.56
2022,021  ,933  ,632    ,INV MILLORA EQUIPAMENTS I SERVEIS                 ,021,933  ,632   ,1501602.0,2445516.0,3947118.0,2030322.24
2022,031  ,1321 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,32786.0,0.0,32786.0,32974.52
2022,031  ,1321 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,11041.0,0.0,11041.0,10418.14
2022,031  ,1321 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,84222.0,0.0,84222.0,82473.36
2022,031  ,1321 ,12006  ,TRIENNIS                                          ,,1    ,1     ,17918.0,0.0,17918.0,16945.43
2022,031  ,1321 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,55961.0,0.0,55961.0,55735.45
2022,031  ,1321 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,138147.0,0.0,138147.0,164920.19
2022,031  ,1321 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,101375.0,0.0,101375.0,90915.42
2022,031  ,1321 ,22699  ,DESPESES DIVERSES - VIA PÚBLICA                   ,031,13   ,22    ,1000.0,0.0,1000.0,0.0
2022,031  ,135  ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,16393.0,0.0,16393.0,16625.38
2022,031  ,135  ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,14416.0,0.0,14416.0,14626.98
2022,031  ,135  ,12006  ,TRIENNIS                                          ,,1    ,1     ,6660.0,0.0,6660.0,7880.09
2022,031  ,135  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,15991.0,0.0,15991.0,16218.18
2022,031  ,135  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,35792.0,0.0,35792.0,36300.1
2022,031  ,135  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,23011.0,0.0,23011.0,26629.34
2022,031  ,135  ,22199  ,MATERIAL DIVERS - PROTECCIÓ CIVIL                 ,031,13   ,22    ,30000.0,0.0,30000.0,10152.5
2022,031  ,135  ,22602  ,PUBLICITAT I DIFUSIÓ - PROTECCIÓ CIVIL            ,031,13   ,22    ,1000.0,0.0,1000.0,2500.0
2022,031  ,135  ,22706  ,ESTUDIS I TREBALLS TÈCNICS PROTECCIÓ CIVIL        ,031,13   ,22    ,5000.0,0.0,5000.0,2419.6
2022,031  ,1500 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,16393.0,0.0,16393.0,16633.9
2022,031  ,1500 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,33122.0,0.0,33122.0,32003.22
2022,031  ,1500 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,65506.0,0.0,65506.0,48713.25
2022,031  ,1500 ,12006  ,TRIENNIS                                          ,,1    ,1     ,20082.0,0.0,20082.0,16734.12
2022,031  ,1500 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,50357.0,0.0,50357.0,43391.46
2022,031  ,1500 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,146325.0,0.0,146325.0,141737.41
2022,031  ,1500 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,292017.0,0.0,292017.0,267828.73
2022,031  ,1500 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,1000.0,0.0,1000.0,1974.46
2022,031  ,1500 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,2350.0,0.0,2350.0,10451.37
2022,031  ,1500 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,190342.0,0.0,190342.0,130780.24
2022,021  ,1521 ,621    ,ADQUISICIÓ TERRENYS I BENS NATURALS               ,021,1521 ,621   ,0.0,1458016.0,1458016.0,1453013.13
2022,042  ,338  ,227991 ,CONT. SERVEIS ELEMENTS CAVALCADA DE REIS          ,042,33   ,22    ,0.0,200000.0,200000.0,0.0
2022,012  ,920  ,227064 ,ESTUDIS I TREBALLS TÈCNICS SER CENTRALS I ECONOMIA,012,92   ,22    ,0.0,250000.0,250000.0,12210.42
2022,031  ,1532 ,609    ,INV. SENYALITZACIO CAMINIS DELTA - ESPAI PUBLIC   ,031,1532 ,609   ,0.0,50000.0,50000.0,0.0
2022,051  ,326  ,227993 ,SERV. COMPL. D'EDUCACIÓ A DESENVOLUPAMENT ECONÒMIC,051,32   ,22    ,0.0,3600.0,3600.0,2722.5
2022,031  ,323  ,619    ,INVERSIÓ DE MILLORA EN CENTRES EDUCATIUS          ,031,323  ,619   ,0.0,100000.0,100000.0,32867.52
2022,012  ,920  ,227992 ,CONTR PREST SERVEIS SITIC                         ,012,92   ,22    ,215000.0,0.0,215000.0,22007.48
2022,012  ,920  ,227993 ,CONTR PRESTACIO SERVEIS LOGISTICA                 ,012,92   ,22    ,15000.0,0.0,15000.0,0.0
2022,012  ,920  ,23010  ,DIETES PERSONAL DIRECTIU                          ,012,92   ,23    ,2000.0,0.0,2000.0,0.0
2022,012  ,920  ,23020  ,DIETES PERSONAL NO DIRECTIU                       ,012,92   ,23    ,3316.0,0.0,3316.0,1010.09
2022,012  ,920  ,23110  ,LOCOMOCIÓ PERSONAL DIRECTIU                       ,012,92   ,23    ,2000.0,0.0,2000.0,0.0
2022,012  ,920  ,23120  ,LOCOMOCIÓ PERSONAL NO DIRECTIU                    ,012,92   ,23    ,4168.0,0.0,4168.0,7373.03
2022,012  ,920  ,233    ,ASSISTÈNCIA TRIBUNALS                             ,012,92   ,23    ,1800.0,0.0,1800.0,274.7
2022,012  ,920  ,467    ,ECONOMIA-TRANSF.LOCALRET                          ,012,920  ,467   ,8000.0,0.0,8000.0,7650.05
2022,012  ,920  ,489    ,BEQUES PERSONAL COL·LABORADOR                     ,012,92   ,48    ,40000.0,1656.53,41656.53,23843.26
2022,012  ,920  ,622    ,INVERSIÓ EDIFICIS I ALTRES                        ,012,920  ,622   ,50000.0,1510434.4,1560434.4,1151650.29
2022,012  ,920  ,626    ,MATERIAL INVENTARIABLE. EQUIPS PROCESOS INFORMÀTIC,012,920  ,626   ,30000.0,667907.44,697907.44,591512.49
2022,012  ,920  ,629    ,MATERIAL INVENTARIABLE DIVERS                     ,012,920  ,629   ,50000.0,257866.12,307866.12,212959.86
