#ejercicio,Org.,Prog.,Econ.,Denominación (CASTELLANO),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2012,18   ,9242 ,22699  ,GASTOS DIVERSOS CIVISMO Y CONSEJOS,18,92   ,22   ,2138,0,2138,914.5
2012,18   ,9242 ,22799  ,CONTR PREST SERVICIOS CIVISMO Y CONVIVENCIA,18,92   ,22   ,36000,15000,51000,47021.07
2012,18   ,9242 ,4891   ,TRANSF CORRIENTES PROMOCIÓN CÍVICA,18,92   ,48   ,17550,9240,26790,26790
2012,16   ,151  ,6321   ,MEJORA EQUIPAMIENTOS DIVERSOS,16,151  ,6321 ,0,297000,297000,170752.59
2012,16   ,152  ,600    ,ADQUISICIÓN PATRIMONIO,16,152  ,600  ,0,1620340.58,1620340.58,887334.05
2012,07   ,321  ,625    ,MOBILIARIO GUARDERÍA LA BLAVETA,07,321  ,625  ,0,3683.96,3683.96,3683.96
2012,16   ,132  ,6322   ,VALLA DEPÓSITO VEHÍCULOS POLICÍA LOCAL,16,132  ,6322 ,0,27127.48,27127.48,27127.48
2012,16   ,150  ,639    ,INV. MEJORA EQUIPAMIENTOS DIVERSOS,16,150  ,639  ,0,51972.37,51972.37,51972.37
2012,16   ,151  ,6221   ,INV NUEVA EQUIPAMIENTOS Y SERVICIOS,16,151  ,6221 ,0,627134.34,627134.34,23819.58
2012,16   ,155  ,6191   ,MEJORA INFRAESTRUCTURA Y BIENES DE USO GENERAL,16,155  ,6191 ,0,600000,600000,0
2012,16   ,161  ,609    ,ANTI-DSU CONSTRUCCIÓN DEPÓSITO,16,161  ,609  ,0,21775.2,21775.2,0
2012,18   ,231  ,22602  ,PUBLICIDAD-DIFUSIÓN,18,23   ,22   ,6075,0,6075,4396
2012,18   ,231  ,22699  ,GASTOS DIVERSOS LEY DE BARRIOS,18,23   ,22   ,14583,0,14583,4545.93
2012,18   ,231  ,227991 ,PREST SERVICISO PASC,18,23   ,22   ,160000,0,160000,143308.45
2012,18   ,232  ,12001  ,SUELDOS DEL GRUPO A2,  ,2    ,1    ,11508,0,11508,2326.06
2012,18   ,232  ,12003  ,SUELDOS DEL GRUPO C1,  ,2    ,1    ,8640,0,8640,8524.1
2012,18   ,232  ,12004  ,SUELDOS DEL GRUPO C2,  ,2    ,1    ,3596,0,3596,1937.58
2012,18   ,232  ,12006  ,TRIENIOS,  ,2    ,1    ,5680,0,5680,5219.19
2012,18   ,232  ,12009  ,OTRAS RETRIBUCIONES BÁSICAS,  ,2    ,1    ,6968,0,6968,3327.11
2012,18   ,232  ,12100  ,COMPLEMENTO DE DESTINO,  ,2    ,1    ,12485,0,12485,5834.62
2012,18   ,232  ,12101  ,COMPLEMENTO ESPECÍFICO,  ,2    ,1    ,36315,0,36315,22489
2012,18   ,232  ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,  ,2    ,1    ,80509,0,80509,76172.22
2012,18   ,232  ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,  ,2    ,1    ,2169,0,2169,190.1
2012,18   ,232  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,  ,2    ,1    ,406,0,406,0
2012,18   ,232  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,2    ,1    ,48136,0,48136,39810.93
