#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2021,,30901  ,VIGILÀNCIA ESPECIAL                               ,15150,0,15150,4428.65
2021,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9000,0,9000,9819.74
2021,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,18000000,0,18000000,18180087.95
2021,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,35800000,0,35800000,33985521.1
2021,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2799745,0,2799745,2929298.88
2021,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,3000000,0,3000000,2642551.36
2021,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7975000,0,7975000,7294463.76
2021,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1400000,0,1400000,1794313.54
2021,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,60000,0,60000,67826.64
2021,,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,122506.32
2021,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,40000,0,40000,77868.15
2021,,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,113704.49
2021,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,216765,0,216765,65238.35
2021,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,43000,0,43000,8631.68
2021,,31303  ,SERVEIS ESPORTIUS                                 ,2295225,0,2295225,875082.46
2021,,31905  ,CONTROL SANITARI GOSSOS                           ,30000,0,30000,40297.49
2021,,321    ,TAXA LLICÈNCIES D'OBRES                           ,520000,0,520000,769949.93
2021,,323    ,TAXA PERMISOS AMBIENTALS                          ,404000,0,404000,280238.74
2021,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27543,0,27543,21135.64
2021,,326    ,RETIRADA DE VEHICLES                              ,80800,0,80800,80340.11
2021,,32901  ,MERCAT MUNICIPAL                                  ,25000,0,25000,28924.5
2021,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1020,0,1020,1220
2021,,32903  ,ALTRES TAXES REALITZACIO ACT COMPETENCIA LOCAL    ,50000,0,50000,50000
2021,,331    ,TAXES GUALS                                       ,600000,0,600000,654722.29
2021,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1230000,0,1230000,833850.91
2021,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,21000,0,21000,16703.31
2021,,335    ,TAXES VETLLADORS I CADIRES                        ,40000,0,40000,29545.97
2021,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,216000,0,216000,151257.78
2021,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,177000,0,177000,184937.48
2021,,33901  ,TAXES QUIOSCOS                                    ,110000,0,110000,9358.78
2021,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,44000,0,44000,4953
2021,,34901  ,HORTS LÚDICS                                      ,20000,0,20000,12260.68
2021,,34902  ,SERVEIS CULTURALS                                 ,500,0,500,0
2021,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,0,6,0
2021,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3060,0,3060,3384.34
2021,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,38000,0,38000,14200
2021,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,26106.5,26112.5,25121.5
2021,,36000  ,VENDA MATERIAL REBUTJABLE                         ,29000,0,29000,46081
2021,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,996.7
2021,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,36740.84
2021,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",425000,0,425000,415184.57
2021,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,36172.12
2021,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2021,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,8000,0,8000,63592.27
2021,,39120  ,MULTES CIRCULACIÓ                                 ,520000,0,520000,573940
2021,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,183095.27
2021,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,1000,0,1000,369.48
2021,,39211  ,RECÀRREC CONSTRENYIMENT                           ,59000,0,59000,49087.23
2021,,87010  ,ROMANENT TRESORERIA AFECTADA AL PATRIMONI MPAL SÒL,0,3989447.7,3989447.7,0
2021,,393    ,INTERESSOS DE DEMORA                              ,100000,0,100000,64379.14
2021,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,110000,0,110000,27048.04
2021,,399    ,ALTRES INGRESOS DIVERSOS                          ,95000,0,95000,73313.97
2021,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,5904.37,5910.37,21173.7
2021,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,15360345,0,15360345,11631430.17
