#ejercicio,Org.,Prog.,Econ.,Denominación (CATALAN),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2016,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11.,491  ,4491  ,613933,0,613933,580000
2016,11.  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,   ,9    ,1     ,65001,0,65001,65000.04
2016,11.  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,14226,0,14226,14225.52
2016,11.  ,912  ,23000  ,ÒRGANS DE GOVERN-DIETES                           ,11 ,91   ,23    ,1900,0,1900,1173.14
2016,11.  ,912  ,23100  ,ÒRGANS DE GOVERN-LOCOMOCIÓ                        ,11 ,91   ,23    ,7600,0,7600,8152.8
2016,11.  ,9201 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,20526,0,20526,20525.42
2016,11.  ,9201 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,41736,0,41736,41735.96
2016,11.  ,9201 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,0,14825,0
2016,11.  ,9201 ,12003  ,SOUS DEL GRUP C1                                  ,   ,9    ,1     ,9984,0,9984,9983.82
2016,11.  ,9201 ,12004  ,SOUS DEL GRUP C2                                  ,   ,9    ,1     ,25388,0,25388,25367.21
2016,11.  ,9201 ,12006  ,TRIENNIS                                          ,   ,9    ,1     ,9457,0,9457,9452.6
2016,11.  ,9201 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,   ,9    ,1     ,24224,0,24224,15971.83
2016,11.  ,9201 ,12101  ,COMPLEMENT ESPECÍFIC                              ,   ,9    ,1     ,56830,0,56830,56863.23
2016,11.  ,9201 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,   ,9    ,1     ,34628,0,34628,34627.26
2016,11.  ,9201 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,   ,9    ,1     ,507,0,507,192.77
2016,11.  ,9201 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,   ,9    ,1     ,59791,0,59791,54827.66
2016,11.  ,9201 ,226011 ,ATENCIONS PROTOCOL·LÀRIES                         ,11 ,92   ,22    ,50000,0,50000,42683.1
2016,11.  ,9201 ,226012 ,ATENCIONS AGERMANAMENTS                           ,11 ,92   ,22    ,15000,0,15000,2812.71
2016,11.  ,9201 ,22699  ,DESP DIVERSES ALCALDIA                            ,11 ,92   ,22    ,11000,0,11000,30.25
2016,11.  ,9201 ,489    ,TRANSF CORRENTS ALCALDIA                          ,11 ,92   ,48    ,3000,0,3000,2205.28
2016,11.  ,9202 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,   ,9    ,1     ,14825,0,14825,25981.56
2016,11.  ,9202 ,11001  ,RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL    ,   ,9    ,1     ,37191,0,37191,26033.8
2016,11.  ,9202 ,12000  ,SOUS DEL GRUP A1                                  ,   ,9    ,1     ,14825,0,14825,0
