#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2016,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8500,0,8500,9882.63
2016,     ,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,15500000,0,15500000,17148771.12
2016,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,29244628,0,29244628,26248775.78
2016,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2800000,0,2800000,3138778.4
2016,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,4508153,0,4508153,5836869.64
2016,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7742493,0,7742493,7373759.71
2016,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,0,600000,3113963.77
2016,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,70000,0,70000,66027.13
2016,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,15000,0,15000,15322.52
2016,     ,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,185810.91
2016,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,18280.82
2016,     ,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,197725.75
2016,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,225000,0,225000,272485.57
2016,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40000,0,40000,39626.73
2016,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,0,2250000,2258237.73
2016,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,0,21000,24664
2016,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,260000,0,260000,1304996.05
2016,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,225000,0,225000,313970.93
2016,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27000,0,27000,47204.19
2016,     ,326    ,RETIRADA DE VEHICLES                              ,77000,0,77000,225390.77
2016,     ,32901  ,MERCAT MUNICIPAL                                  ,32000,0,32000,27777
2016,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,800,0,800,1270
2016,     ,32903  ,ALTRES TAXES REALITZACIO ACT. COMPETÈNCIA LOCAL   ,0,0,0,40735.8
2016,     ,331    ,TAXES GUALS                                       ,560000,0,560000,603317.98
2016,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1300000,0,1300000,1013354.36
2016,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,50000,0,50000,28898.18
2016,     ,335    ,TAXES VETLLADORS I CADIRES                        ,130000,0,130000,145748.3
2016,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,176575.08
2016,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,62000,0,62000,313404.61
2016,     ,33901  ,TAXES QUIOSCOS                                    ,65000,0,65000,64322
2016,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,46000,0,46000,39240
2016,     ,34901  ,HORTS LÚDICS                                      ,15000,0,15000,15277.5
2016,     ,34902  ,SERVEIS CULTURALS                                 ,1000,0,1000,0
2016,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,44101.82,44107.82,49352.59
2016,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3000,0,3000,5442.52
2016,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,39000,0,39000,46742
2016,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,795
2016,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,1071.75
