#ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2019,41   ,924  ,48902  ,TRANSF CORRIENTES CCAR COMISIÓN AYUDA REFUGIADO,41,924 ,48902 ,14000,0,14000,10500
2019,42   ,2316 ,226021 ,PUBLICIDAD-DIFUSIÓN MUJER,42,23  ,22    ,3390,0,3390,2252.64
2019,42   ,2316 ,22606  ,PLAN IGUALDAD MUJER-HOMBRE,42,23  ,22    ,26310,0,26310,14472.7
2019,42   ,2316 ,226991 ,GASTOS DIVERSOS PLAN IGUALDAD MUJER-HOMBRE,42,23  ,22    ,1985,0,1985,0
2019,42   ,2316 ,227991 ,PRESTACIÓN DE SERVICIOS MUJER,42,23  ,22    ,153000,0,153000,60355.42
2019,42   ,2316 ,48901  ,TRANSF CORRIENTES IGUALDAD Y DERECHOS SOCIALES,42,23  ,48    ,7290,0,7290,4372.8
2019,42   ,2317 ,12001  ,SUELDOS DEL GRUPO A2,,2   ,1     ,53587,0,53587,34918.15
2019,42   ,2317 ,12003  ,SUELDOS DEL GRUPO C1,,2   ,1     ,20521,0,20521,9233.84
2019,42   ,327  ,490    ,TRANS CORR AREA METROPOLITANA SAN SALVADOR,42,327 ,490   ,0,30000,30000,18000
2019,42   ,2316 ,48902  ,TRANSFERENCIAS CORRIENTES TAMAIA,42,2316,48902 ,0,6335.52,6335.52,0
2019,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11,491 ,4491  ,650841,82000,732841,600000
2019,11.  ,491  ,741    ,APORT. INVERSIONES PRAT COMUNICACIÓN SL,11,491 ,741   ,90610,0,90610,0
2019,11.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,,9   ,1     ,66896,0,66896,51255.57
2019,11.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,14858,0,14858,12011.71
2019,11.  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,11,91  ,23    ,1900,0,1900,796.17
2019,11.  ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,11,91  ,23    ,7600,0,7600,2478
2019,11.  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9   ,1     ,21683,0,21683,27092.14
2019,11.  ,9201 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,,9   ,1     ,42988,0,42988,22455.91
2019,11.  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,,9   ,1     ,7618,0,7618,0
2019,11.  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,7518.33
2019,11.  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,,9   ,1     ,26091,0,26091,18562.07
2019,11.  ,9201 ,12006  ,TRIENIOS,,9   ,1     ,10882,0,10882,7656.67
2019,11.  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,22619,0,22619,13161.78
2019,11.  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,70023,0,70023,44598.82
2019,11.  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9   ,1     ,36169,0,36169,26595.68
2019,11.  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,62190,0,62190,45244.58
2019,11.  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,11,92  ,22    ,50000,0,50000,7048.4
2019,11.  ,9201 ,226012 ,ATENCIONES HERMANAMIENTOS,11,92  ,22    ,15000,0,15000,0
2019,11.  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,11,92  ,22    ,11000,0,11000,900.24
2019,11.  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,11,92  ,48    ,3000,0,3000,0
2019,11.  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9   ,1     ,15235,0,15235,19275.82
2019,11.  ,9202 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,,9   ,1     ,38317,0,38317,19927.24
2019,11.  ,9202 ,12001  ,SUELDOS DEL GRUPO A2,,9   ,1     ,40190,0,40190,29458.2
2019,11.  ,9202 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,7543.8
2019,11.  ,9202 ,12006  ,TRIENIOS,,9   ,1     ,4694,0,4694,3435.66
2019,11.  ,9202 ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,22297,0,22297,16302.63
2019,11.  ,9202 ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,45424,0,45424,33743.65
2019,11.  ,9202 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9   ,1     ,31193,0,31193,22761.72
2019,11.  ,9202 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,9   ,1     ,327,0,327,93.59
2019,11.  ,9202 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,61447,0,61447,49386.87
2019,11.  ,9202 ,226021 ,COMUNICACIÓN SOCIAL-DIFUSIÓN,11,92  ,22    ,141800,0,141800,108286.52
2019,11.  ,9202 ,226023 ,COMUNICACIÓN INSTITUCIONAL,11,92  ,22    ,200000,0,200000,69659.17
2019,11.  ,9203 ,12000  ,SUELDOS DEL GRUPO A1,,9   ,1     ,15235,0,15235,11328.71
2019,11.  ,9203 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,7543.8
