#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2019,,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,24550,0,24550,3250
2019,,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,181921,0,181921,0
2019,,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",22094,0,22094,3800
2019,,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,24263,0,24263,9950.4
2019,,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,100000,0,100000,427450.77
2019,,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,6,0,6,25438.18
2019,,4641   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA FORM,6,139501.03,139507.03,59786.16
2019,,4642   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA POBRE,60312,0,60312,0
2019,,4643   ,TRANSFERENCIAS CORRIENTES DE AREA METROPOLITANA,8000,0,8000,0
2019,,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,6,0,6,53020.8
2019,,470    ,SUBVENCIONES DE EMPRESAS                            ,5000,0,5000,0
2019,,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,0,6,60954
2019,,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6,0,6,0
2019,,514    ,INTERESES DE SOCIEDADES MERCANTILES                ,160080,0,160080,0
2019,,52     ,INTERESES DE DEPÓSITOS                            ,50000,0,50000,11264.94
2019,,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,77725,0,77725,2625.1
2019,,550    ,CONCESIONES ADMINISTRATIVAS                       ,214000,0,214000,207574.73
2019,,559    ,OTRAS CONCESIONES Y APROVECHAMIENTOS,16330,0,16330,16710.74
2019,,751    ,TRANSF CAPITAL DE ORG AUTÓNOMOS I AGENCIAS CCAA,66641,0,66641,0
2019,,761    ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA             ,1515748,0,1515748,0
2019,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,2509056,0,2509056,8000
2019,,82120  ,REINTEGRO PRÉSTAMOS SECTOR PÚBLICO LOCAL,513000,0,513000,0
2019,,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000,16000,17000,14751.02
2019,,87000  ,REMANENTE DE TESORERIA GASTOS GENERALES,0,36174275.03,36174275.03,0
2019,,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL,0,6800,6800,6800
2019,,42090  ,OTRAS TRANSFER CORRIENTES ADMON GRAL DEL ESTADO,0,0,0,12190.46
2019,,491    ,TRANSF CORRIENTES DEL FONDO DE DESARROLLO REGIONAL,0,0,0,5460
2019,,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,3446,3452,3446
2019,,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,3060,0,3060,1009.16
2019,,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,39784,0,39784,3255
2019,,36000  ,VENTA MATERIAL RECHAZO                         ,3000,0,3000,6024
2019,,36001  ,VENTA DE PUBLICACIONES                             ,100,0,100,0
2019,,36002  ,VENTA DE ELECTRICIDAD                             ,45000,0,45000,12013.59
2019,,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",330000,0,330000,59367.36
2019,,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000,0,5000,724.13
2019,,38901  ,REINTEGROS ANUNCIOS                            ,5000,0,5000,0
2019,,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,10000,0,10000,11900
2019,,39120  ,MULTAS CIRCULACIÓN                                 ,520000,0,520000,109800
2019,,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000,0,50000,54371.16
2019,,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,7000,0,7000,127.04
2019,,39211  ,RECARGO APREMIO,36000,0,36000,513.14
2019,,393    ,INTERESES DE DEMORA                              ,55000,0,55000,14813.86
2019,,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,70000,0,70000,18234.7
2019,,399    ,OTROS INGRESOS DIVERSOS                          ,100000,0,100000,69251.19
2019,,39901  ,OTROS INGRESOS EJECUCIONES SUBSIDIARIAS           ,6,9272.2,9278.2,17922.35
2019,,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,15323000,0,15323000,3604065.12
2019,,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,388410,0,388410,0
2019,,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,133455,0,133455,32775
2019,,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,2346296,0,2346296,651150.82
2019,,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,80790,0,80790,109666.24
2019,,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,944775.63,944781.63,1050327.16
2019,,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,34000,0,34000,2800
2019,,450803 ,SUBVENCIONES GENERALITAT TURISMO,76347,0,76347,74458.92
2019,,46100  ,SUBVENCIONES DIPUTACIÓN                             ,94360,0,94360,0
2019,,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,138602.74,138608.74,144940.24
2019,,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,574852,0,574852,0
2019,,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,524901,0,524901,75940.83
2019,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9000,0,9000,9722.01
2019,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,17126094,0,17126094,17487410.88
2019,,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,31126030,0,31126030,30781059.85
2019,,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,3000000,0,3000000,3111285.76
2019,,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,3000359,0,3000359,563567.17
2019,,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7500000,0,7500000,36051.44
2019,,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",800000,0,800000,685671.66
2019,,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,71407,0,71407,0
2019,,30901  ,VIGILANCIA ESPECIAL                               ,15150,0,15150,4999.95
2019,,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,47226.63
2019,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,30000,0,30000,13493.26
2019,,312    ,GUARDERÍA,190000,0,190000,71168.38
2019,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,227250,0,227250,57797.62
2019,,31302  ,INSTALACIONES DEPORTIVAS                         ,40804,0,40804,4536.08
