#ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2019,41   ,924  ,48902  ,TRANSF CORRIENTES CCAR COMISIÓN AYUDA REFUGIADO,41,924 ,48902 ,14000,0,14000,10500
2019,42   ,2316 ,226021 ,PUBLICIDAD-DIFUSIÓN MUJER,42,23  ,22    ,3390,0,3390,7017.42
2019,42   ,2316 ,22606  ,PLAN IGUALDAD MUJER-HOMBRE,42,23  ,22    ,26310,0,26310,14547.7
2019,42   ,2316 ,226991 ,GASTOS DIVERSOS PLAN IGUALDAD MUJER-HOMBRE,42,23  ,22    ,1985,0,1985,196.21
2019,42   ,2316 ,227991 ,PRESTACIÓN DE SERVICIOS MUJER,42,23  ,22    ,153000,0,153000,107888.51
2019,42   ,2316 ,48901  ,TRANSF CORRIENTES IGUALDAD Y DERECHOS SOCIALES,42,23  ,48    ,7290,0,7290,7288
2019,42   ,2317 ,12001  ,SUELDOS DEL GRUPO A2,,2   ,1     ,53587,0,53587,50114.66
2019,42   ,2317 ,12003  ,SUELDOS DEL GRUPO C1,,2   ,1     ,20521,0,20521,12066.45
2019,42   ,327  ,490    ,TRANS CORR AREA METROPOLITANA SAN SALVADOR,42,327 ,490   ,0,30000,30000,18000
2019,42   ,2316 ,48902  ,TRANSFERENCIAS CORRIENTES TAMAIA,42,2316,48902 ,0,6335.52,6335.52,6335
2019,42   ,327  ,48910  ,TRANSFERENCIAS CORRIENTES FANSI,42,327 ,48910 ,0,10000,10000,0
2019,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11,491 ,4491  ,650841,82000,732841,720000
2019,11.  ,491  ,741    ,APORT. INVERSIONES PRAT COMUNICACIÓN SL,11,491 ,741   ,90610,0,90610,22837.48
2019,11.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,,9   ,1     ,66896,0,66896,70869.89
2019,11.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,14858,0,14858,15986.17
2019,11.  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,11,91  ,23    ,1900,0,1900,1337.6
2019,11.  ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,11,91  ,23    ,7600,0,7600,4480.35
2019,11.  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9   ,1     ,21683,0,21683,48409.53
2019,11.  ,9201 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,,9   ,1     ,42988,0,42988,22455.91
2019,11.  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,,9   ,1     ,7618,0,7618,0
2019,11.  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,10478.61
2019,11.  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,,9   ,1     ,26091,0,26091,26195.48
2019,11.  ,9201 ,12006  ,TRIENIOS,,9   ,1     ,10882,0,10882,10928.1
2019,11.  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,22619,0,22619,18545.54
2019,11.  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,70023,0,70023,62101.14
2019,11.  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9   ,1     ,36169,0,36169,37084.57
2019,11.  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,62190,0,62190,60536.26
2019,11.  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,11,92  ,22    ,50000,0,50000,37333
2019,11.  ,9201 ,226012 ,ATENCIONES HERMANAMIENTOS,11,92  ,22    ,15000,0,15000,0
2019,11.  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,11,92  ,22    ,11000,0,11000,9025.39
2019,11.  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,11,92  ,48    ,3000,0,3000,0
2019,11.  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,9   ,1     ,15235,0,15235,34917.52
2019,11.  ,9202 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,,9   ,1     ,38317,0,38317,19927.24
2019,11.  ,9202 ,12001  ,SUELDOS DEL GRUPO A2,,9   ,1     ,40190,0,40190,40771.02
2019,11.  ,9202 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,10146.59
2019,11.  ,9202 ,12006  ,TRIENIOS,,9   ,1     ,4694,0,4694,4694.35
2019,11.  ,9202 ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,22297,0,22297,22711.48
2019,11.  ,9202 ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,45424,0,45424,46824.69
2019,11.  ,9202 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,9   ,1     ,31193,0,31193,31785.82
2019,11.  ,9202 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,9   ,1     ,327,0,327,326.08
2019,11.  ,9202 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,61447,0,61447,65911.53
2019,11.  ,9202 ,226021 ,COMUNICACIÓN SOCIAL-DIFUSIÓN,11,92  ,22    ,141800,0,141800,150251.55
2019,11.  ,9202 ,226023 ,COMUNICACIÓN INSTITUCIONAL,11,92  ,22    ,200000,0,200000,150871.89
2019,11.  ,9203 ,12000  ,SUELDOS DEL GRUPO A1,,9   ,1     ,15235,0,15235,15596.72
2019,11.  ,9203 ,12003  ,SUELDOS DEL GRUPO C1,,9   ,1     ,10261,0,10261,10121.05
2019,11.  ,9203 ,12004  ,SUELDOS DEL GRUPO C2,,9   ,1     ,17394,0,17394,17752.47
2019,11.  ,9203 ,12006  ,TRIENIOS,,9   ,1     ,7582,0,7582,7862.77
2019,11.  ,9203 ,12100  ,COMPLEMENTO DE DESTINO,,9   ,1     ,26070,0,26070,26583.1
2019,11.  ,9203 ,12101  ,COMPLEMENTO ESPECÍFICO,,9   ,1     ,100389,0,100389,103963.42
2019,11.  ,9203 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,9   ,1     ,32424,0,32424,35319.18
2019,13.  ,432  ,12003  ,SUELDOS DEL GRUPO C1,,4   ,1     ,20521,0,20521,18657.63
2019,13.  ,432  ,12006  ,TRIENIOS,,4   ,1     ,5178,0,5178,4987.39
2019,13.  ,432  ,12100  ,COMPLEMENTO DE DESTINO,,4   ,1     ,14929,0,14929,14242.41
2019,13.  ,432  ,12101  ,COMPLEMENTO ESPECÍFICO,,4   ,1     ,30332,0,30332,30593.5
2019,13.  ,432  ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,4   ,1     ,30402,0,30402,31206.09
2019,13.  ,432  ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,4   ,1     ,262,0,262,0
2019,13.  ,432  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,4   ,1     ,34351,0,34351,35124.25
2019,13.  ,432  ,22199  ,SUMINISTROS DIVERSOS TURISMO,13,43  ,22    ,15000,0,15000,0
2019,13.  ,432  ,22602  ,PUBLICIDAD Y COMUNICACIÓN TURISMO,13,43  ,22    ,36100,0,36100,18265.76
2019,13.  ,432  ,22799  ,CONTR PREST SERV OFICINA PUERTA DEL DELTA,13,43  ,22    ,93144,0,93144,92213.93
2019,13.  ,432  ,227991 ,CONTRATOS PRESTACIÓN SERVICIOS TURISMO,13,43  ,22    ,55000,0,55000,56002.99
