#ejercicio,Org.,Prog.,Econ.,Denominación (CASTELLANO),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2013,02   ,335  ,780    ,TRANSF CAPITAL AMICS DE L'ART DEL PRAT,02,335  ,780  ,0,6000,6000,6000
2013,07   ,152  ,85090  ,RESTO ADQUISICIONES ACCIONES SECTOR PÚBLICO,07,152  ,85090,0,800,800,795.22
2013,03   ,332  ,750    ,TRANSF CAPITAL IES BALDIRI GUILERA,03,332  ,750  ,0,27600,27600,27593.16
2013,02   ,334  ,48905  ,TRANSF CORRIENTES CASA DE SEVILLA,02,334  ,48905,0,7200,7200,7200
2013,14   ,230  ,48908  ,TRANSF CORRIENTES GRUPS ASSOC TREBALL SOCIOCULTURAL  ,14,230  ,48908,0,45000,45000,45000
2013,16   ,161  ,740    ,TRANF CAPITAL APSA,16,161  ,740  ,0,210000,210000,0
2013,01   ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL,01,491  ,4491 ,570604,0,570604,550000
2013,01   ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,  ,9    ,1    ,70300,0,70300,70132.64
2013,01   ,912  ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,  ,9    ,1    ,36365,0,36365,36365.1
2013,01   ,912  ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,  ,9    ,1    ,44215,0,44215,44068.59
2013,01   ,912  ,12000  ,SUELDOS DEL GRUPO A1,  ,9    ,1    ,24816,0,24816,11507.76
2013,01   ,912  ,12003  ,SUELDOS DEL GRUPO C1,  ,9    ,1    ,8640,0,8640,8074.51
2013,01   ,912  ,12004  ,SUELDOS DEL GRUPO C2,  ,9    ,1    ,21573,0,21573,20045.88
2013,01   ,912  ,12006  ,TRIENIOS,  ,9    ,1    ,6578,0,6578,5976.78
2013,01   ,912  ,120091 ,OTRAS RETRIBUCIONES BÁSICAS,  ,9    ,1    ,11274,0,11274,6317.49
2013,01   ,912  ,12100  ,COMPLEMENTO DE DESTINO,  ,9    ,1    ,25833,0,25833,17900.38
2013,01   ,912  ,12101  ,COMPLEMENTO ESPECÍFICO,  ,9    ,1    ,93918,0,93918,79076.34
2013,01   ,912  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,  ,9    ,1    ,1158,0,1158,1090.56
2013,01   ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,86608,0,86608,77841.21
2013,01   ,912  ,226011 ,ATENCIONES PROTOCOLARIAS,01,91   ,22   ,57000,0,57000,50938.51
2013,01   ,912  ,226012 ,ATENCIONES HERMANAMIENTOS,01,91   ,22   ,20000,0,20000,1655.78
2013,01   ,912  ,22699  ,GASTOS DIVERSOS ALCALDÍA,01,91   ,22   ,12600,0,12600,1369.19
2013,01   ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,01,91   ,23   ,1900,0,1900,124.52
2013,01   ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,01,91   ,23   ,7600,0,7600,7491.65
