#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9500,0,9500,9436.06
2013,     ,113    ,IMPUESTO BIENES INMUEBLES URBANOS                       ,15500000,0,15500000,16057338.33
2013,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECI      ,25379000,0,25379000,29038231.51
2013,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,3000000,0,3000000,3227175.02
2013,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,965000,0,965000,2433535.11
2013,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,6700000,0,6700000,7803976.39
2013,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",646000,0,646000,680028.07
2013,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,300000,0,300000,325423.84
2013,     ,30901  ,VIGILANCIA ESPECIAL                               ,1110,0,1110,8990.48
2013,     ,311    ,RESIDENCIA DE ANCIANOS,185000,0,185000,196028.01
2013,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,5775
2013,     ,312    ,GUARDERÍA,230000,0,230000,241750.12
2013,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,260000,0,260000,261579.16
2013,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,57000,0,57000,54644.07
2013,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2250000,0,2250000,2517058.28
2013,     ,31905  ,CONTROL SANITARIO PERROS,21000,0,21000,21190
2013,     ,321    ,TASA LICENCIES DE OBRAS                           ,285000,0,285000,290187.56
2013,     ,323    ,TASA PERMISOS AMBIENTALES                          ,125000,0,125000,226801.36
2013,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,20000,0,20000,33254.43
2013,     ,326    ,RETIRADA DE VEHÍCULOS,140000,0,140000,200578.5
2013,     ,32901  ,MERCADO MUNICIPAL                                  ,33000,0,33000,33375
2013,     ,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1000,0,1000,830
2013,     ,331    ,TASAS VADOS                                       ,540000,0,540000,551158.2
2013,     ,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1200000,0,1200000,1399221
2013,     ,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,6,0,6,40148.92
2013,     ,335    ,TASAS VELADORES Y SILLAS                    ,103000,0,103000,125783.15
2013,     ,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,250000,0,250000,191425.16
2013,     ,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,100000,0,100000,217954.93
2013,     ,33901  ,TASAS QUIOSCOS                                    ,45000,0,45000,78526.64
2013,     ,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,145000,0,145000,53072.28
2013,     ,34901  ,HUERTOS LÚDICOS                                      ,10300,0,10300,11445
2013,     ,34902  ,SERVICIOS CULTURALES,1000,0,1000,0
2013,     ,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,25239.73,25245.73,29456.94
2013,     ,34904  ,SERVICIOS PROMOCIÓN ECONÓMICA                        ,5000,0,5000,2656
2013,     ,34905  ,SERVICIOS/ACTIVIDADES MEDIO AMBIENTE (ACTIVIDADES)      ,45000,0,45000,48342.26
2013,     ,36000  ,VENTA MATERIAL RECHAZO                         ,10000,0,10000,23297.69
2013,     ,36001  ,VENTA DE PUBLICACIONES                             ,100,0,100,502.75
2013,     ,36002  ,VENTA DE ELECTRICIDAD                             ,30000,0,30000,55932.45
2013,     ,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",390000,0,390000,398709.46
2013,     ,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000,0,5000,12654.37
2013,     ,38901  ,REINTEGROS ANUNCIOS                            ,5000,0,5000,13560.25
2013,     ,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,5000,0,5000,86825.76
2013,     ,39120  ,MULTAS CIRCULACIÓN                                 ,500000,0,500000,1087877.96
2013,     ,39190  ,OTRAS MULTAS Y SANCIONES                          ,40000,0,40000,104426.17
2013,     ,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,10000,0,10000,36638.31
2013,     ,39211  ,RECARGO APREMIO,20000,0,20000,41064.86
2013,     ,393    ,INTERESES DE DEMORA                              ,40000,0,40000,350605.28
2013,     ,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,20000,0,20000,173760.9
2013,     ,399    ,OTROS INGRESOS DIVERSOS                          ,50000,0,50000,93090.75
2013,     ,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,11900000,0,11900000,12603401.66
2013,     ,42090  ,TRANSFERENCIAS CORRIENTES ADMINIST DEL ESTADO       ,0,0,0,30000
2013,     ,421    ,DE ORGANISMOS AUTONOMOS Y AGENCIAS ESTATALES         ,0,0,0,6800
2013,     ,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL           ,0,10756.69,10756.69,10756.69
2013,     ,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,378110,0,378110,38719.32
2013,     ,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,15000,192978.94,207978.94,270131.33
2013,     ,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,1600000,0,1600000,1190564.39
2013,     ,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,450625,0,450625,7000
2013,     ,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,1697219.29,1697225.29,1703325.12
2013,     ,450801 ,SUBV. GENERALITAT SANIDAD-CONSUMO                  ,89920,0,89920,101614.15
2013,     ,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,12900,0,12900,0
2013,     ,450803 ,SUBVENCIONES GENERALITAT TURISMO,0,0,0,43528.17
2013,     ,46100  ,SUBVENCIONES DE ENTES LOCALES                          ,0,0,0,113165.03
2013,     ,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,66307.54,66313.54,68137.54
2013,     ,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,132230,0,132230,477441.65
2013,     ,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,39000,0,39000,40454.75
2013,     ,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,20000,2592,22592,25886
2013,     ,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,55000,0,55000,77736
2013,     ,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",52500,0,52500,6052.78
2013,     ,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE                      ,6,0,6,0
2013,     ,46108  ,SUBV DIPUTACIÓN PROMOCIÓN MUJER,14000,0,14000,0
2013,     ,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,244105,0,244105,244105.47
2013,     ,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,0,11680,11680,19652.04
2013,     ,464    ,TRANSFERENCIAS CORRIENTES DE AREAS METROPOLITANAS    ,0,120972,120972,347392.84
2013,     ,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,0,0,0,21033.82
2013,     ,470    ,SUBVENCIONES DE EMPRESAS                            ,5000,20000,25000,24530.86
2013,     ,48     ,DE FAMILIAS E INSTITUCIONES SIN ÀNIMO DE LUCRO ,0,0,0,67970.27
2013,     ,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,107514.94,107520.94,107514.94
2013,     ,490    ,SUBV. FONDO SOCIAL EUROPEO                         ,6,0,6,0
2013,     ,491    ,FEDER                                             ,0,0,0,25747.05
2013,     ,52     ,INTERESES DE DEPÓSITOS                            ,550000,0,550000,941475.47
2013,     ,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,50000,0,50000,59843.29
2013,     ,550    ,CONCESIONES ADMINISTRATIVAS                       ,135000,0,135000,241440.79
2013,     ,603    ,VENTA DE PATRIMONIO                                ,0,0,0,986840.84
2013,     ,720    ,TRANSF CAPITAL DEL ESTADO                         ,0,0,0,-25056.12
2013,     ,761    ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA             ,1875000,0,1875000,731000
2013,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1226662,0,1226662,719730.78
2013,     ,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,1000,1143738.92,1144738.92,1143453.05
2013,     ,87000  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,16261935.96,16261935.96,0
2013,     ,87010  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,1767915.81,1767915.81,0
