#ejercicio,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2019,11.  ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,66896,,,
2019,12.  ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,160623,,,
2019,13.  ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57476,,,
2019,21   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,31   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,32   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,37463,,,
2019,41   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,54590,,,
2019,42   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,37463,,,
2019,43   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,44   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,51   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,62   ,912  ,10000   ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,57600,,,
2019,12.  ,912  ,10001   ,ALTRES REMUNERACIONS - ASSISTÈNCIA PLENS          ,,9    ,1     ,81114,,,
2019,12.  ,9204 ,10102   ,ALTRES REMUNERACIONS ORGANS DE GOVERN             ,,9    ,1     ,24795,,,
2019,11.  ,9201 ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,21683,,,
2019,11.  ,9202 ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,15235,,,
2019,12.  ,9204 ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,22855,,,
2019,21   ,150  ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,1    ,1     ,20511,,,
2019,31   ,3400 ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,3    ,1     ,15235,,,
2019,41   ,2315 ,11000   ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,2    ,1     ,15235,,,
