#Ejercicio,Org.,Econ.,Denominació,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2017,     ,75080  ,ALTRES TRANSF.CAPITAL ADM. GRAL COMUNITAT AUT.    ,0,0,0,32985.03
2017,     ,87000  ,ROMANENT TRESORERIA DESPESES GENERALS             ,0,54863839.51,54863839.51,0
2017,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8500,0,8500,9474.94
2017,     ,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,15500000,0,15500000,16505364.54
2017,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,29640000,0,29640000,29644174.12
2017,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2800000,0,2800000,3178691.82
2017,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,2857485,0,2857485,2868016.87
2017,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7400000,0,7400000,7621504.22
2017,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,0,600000,1263489.77
2017,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,70000,0,70000,63351.98
2017,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,15000,0,15000,27758.3
2017,     ,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,183232.29
2017,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,26799.68
2017,     ,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,205594.32
2017,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,225000,0,225000,211176.61
2017,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40000,0,40000,29705.87
2017,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,0,2250000,2244314.01
2017,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,0,21000,26514
2017,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,260000,0,260000,536254.54
2017,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,225000,0,225000,1142671.24
2017,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27000,0,27000,43221.26
2017,     ,326    ,RETIRADA DE VEHICLES                              ,80000,0,80000,169030.74
2017,     ,32901  ,MERCAT MUNICIPAL                                  ,32000,0,32000,27192
2017,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,0,1000,960
2017,     ,331    ,TAXES GUALS                                       ,570000,0,570000,604335.68
2017,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,635000,0,635000,1328694.81
2017,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,17000,0,17000,-26684.69
2017,     ,335    ,TAXES VETLLADORS I CADIRES                        ,145000,0,145000,153728.6
2017,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,0,205000,231829.26
2017,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,133000,0,133000,195395.48
2017,     ,33901  ,TAXES QUIOSCOS                                    ,65000,0,65000,114560.91
2017,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,46000,0,46000,44941.2
2017,     ,34901  ,HORTS LÚDICS                                      ,15000,0,15000,14385
2017,     ,34902  ,SERVEIS CULTURALS                                 ,1000,0,1000,0
2017,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,36621.27,36627.27,50087.42
2017,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3000,0,3000,10545.68
2017,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,39000,0,39000,42486
2017,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,0,3000,4950
2017,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,1080.69
2017,     ,36002  ,VENDA D'ELECTRICITAT                              ,45000,0,45000,51134.53
2017,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",330000,0,330000,414913.89
2017,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,130859.25
2017,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,13338.84
2017,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,0,10000,137951.2
2017,     ,39120  ,MULTES CIRCULACIÓ                                 ,500000,0,500000,1269333.48
2017,     ,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,208071.23
2017,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,7000,0,7000,633.63
2017,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,36000,0,36000,61210.57
2017,     ,393    ,INTERESSOS DE DEMORA                              ,55000,0,55000,116897.47
2017,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,90000,0,90000,72849.71
2017,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,100000,0,100000,70198
2017,     ,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,40821.09,40827.09,39384.6
2017,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,14700000,0,14700000,14839645.21
2017,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,388343,0,388343,387634.14
2017,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,66288,224408.53,290696.53,318471.53
2017,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1925000,0,1925000,2074813.05
2017,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1000,0,1000,16425
2017,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1141459.18,1141465.18,1329105.12
2017,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,1000,0,1000,0
2017,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,1800,0,1800,40346.56
2017,     ,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,32522,0,32522,56732.14
2017,     ,45300  ,"DE SOCIETATS, ENS PUBLICS I ALTRES DEPENENTS CCAA ",10000,0,10000,18270
2017,     ,46100  ,SUBVENCIONS DIPUTACIO                             ,100000,0,100000,80330.52
2017,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,341276.33,341282.33,411305.33
2017,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,415336,0,415336,309619.95
2017,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,92755,0,92755,592766.96
2017,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,23958,0,23958,20958
2017,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,164165,0,164165,142040.52
2017,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",13100,0,13100,19080
2017,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,8479,0,8479,0
2017,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,33245,0,33245,33245
2017,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,158664,0,158664,0
2017,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,0
2017,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,295000,619149.9,914149.9,753959.97
2017,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,0,6,0
2017,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,15000,20000,20000
2017,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,90372.42,90378.42,90378.42
2017,     ,490    ,SUBV. FONS SOCIAL EUROPEU                         ,6,0,6,0
2017,     ,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,52899,0,52899,53877.08
2017,     ,52     ,INTERESSOS DE DIPÓSITS                            ,250000,0,250000,140664.65
2017,     ,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,3600,0,3600,0
2017,     ,550    ,CONCESSIONS ADMINISTRATIVES                       ,214000,0,214000,255571.77
2017,     ,761    ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,1764221,0,1764221,941065.91
2017,     ,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,2457814,0,2457814,41640.17
