#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2025,,76100  ,TRANSF DE CAPITAL DIPUTACIÓ DE BARCELONA          ,1357100,895000,2252100,15000
2025,,31905  ,CONTROL SANITARI GOSSOS                           ,59298,0,59298,68885.2
2025,,321    ,TAXA LLICÈNCIES D'OBRES                           ,546561,0,546561,427245.45
2025,,323    ,TAXA PERMISOS AMBIENTALS                          ,230891,0,230891,172978.78
2025,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,18712,0,18712,14343.5
2025,,326    ,RETIRADA DE VEHICLES                              ,160220,0,160220,101118.75
2025,,32901  ,MERCAT MUNICIPAL                                  ,31716,0,31716,12431.92
2025,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,2139,0,2139,414
2025,,331    ,TAXES GUALS                                       ,667028,0,667028,679006.61
2025,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1232000,0,1232000,1108805.5
2025,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,36000,0,36000,17547.48
2025,,335    ,TAXES VETLLADORS I CADIRES                        ,196466,0,196466,198019.65
2025,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,198099,0,198099,83643.05
2025,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,72762,0,72762,62113.8
2025,,33901  ,TAXES QUIOSCOS                                    ,89878,0,89878,91684.81
2025,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,41607,0,41607,5725
2025,,34901  ,HORTS LÚDICS                                      ,13813,0,13813,23958.38
2025,,34902  ,SERVEIS CULTURALS                                 ,6,28735.9,28741.9,28735.9
2025,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,0,6,855.5
2025,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,5608,0,5608,2712.73
2025,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,17470,0,17470,28287.79
2025,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,41671.81,41677.81,41262.72
2025,,34907  ,CESSIÓ D'ESPAIS MPALS RODATGES I REPORT FOTOGRAFIC,6600,0,6600,3000
2025,,34908  ,SERVEIS ACTIVITATS ENVELLIMENT ACTIU              ,89100,0,89100,19160.92
2025,,36000  ,VENDA MATERIAL REBUTJABLE                         ,22638,0,22638,11519.78
2025,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,0
2025,,36002  ,VENDA D'ELECTRICITAT                              ,44100.98,0,44100.98,17928.6
2025,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",437933,0,437933,69925.1
2025,,36004  ,VENDA ELECTRICITAT FOTOVOLTAIQUES AMB CONVENI     ,1,0,1,0
2025,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,26990,0,26990,32391.65
2025,,38901  ,REINTEGRAMENTS ANUNCIS                            ,100,0,100,0
2025,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,1,0,1,-14378.76
2025,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,10599,0,10599,10635.02
2025,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,21803936,0,21803936,21817414.72
2025,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,36514073,0,36514073,37522370.25
2025,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,0
2025,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2802458,0,2802458,2724741.17
2025,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1615909,0,1615909,1305601.46
2025,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,8234747,0,8234747,513985.35
2025,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",1457497,0,1457497,1054480.16
2025,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,526735,0,526735,-379.5
2025,,30901  ,VIGILÀNCIA ESPECIAL                               ,6538,0,6538,4074.75
2025,,311    ,RESIDÈNCIA D'AVIS                                 ,239786,0,239786,140321.26
2025,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,126148,0,126148,63321.65
2025,,312    ,ESCOLA BRESSOL                                    ,180534,0,180534,96822.42
2025,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,231000,0,231000,67210.53
2025,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,82500,0,82500,45961.85
2025,,31303  ,SERVEIS ESPORTIUS                                 ,2701347,0,2701347,1411266.32
2025,,720    ,TRANSFERENCIES DE CAPITAL ADMIN GENERAL DE L'ESTAT,0,0,0,0
2025,,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,0,20000,20000,25500
2025,,751    ,SUBV ORG AUTONOMOS I AGENCIES COMUNITAT AUTO      ,0,0,0,0
2025,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,1361800,0,1361800,1052480
2025,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,277714.04,277720.04,366857.39
2025,,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,26000,0,26000,4402.11
2025,,39120  ,MULTES CIRCULACIÓ                                 ,522775,0,522775,643060
2025,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,74682.61
2025,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,1843,0,1843,4529.28
2025,,39211  ,RECÀRREC CONSTRENYIMENT                           ,30871,0,30871,17999.8
2025,,393    ,INTERESSOS DE DEMORA                              ,31104,0,31104,38435.34
2025,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,43757,0,43757,31260.6
2025,,399    ,ALTRES INGRESOS DIVERSOS                          ,85000,0,85000,113733.77
2025,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,100,9495.87,9595.87,20086.6
2025,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,22348588,0,22348588,8770051.13
2025,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,54107,0,54107,0
2025,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,0,6,0
2025,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,422534.35,0,422534.35,0
2025,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,292327,0,292327,0
2025,,45002  ,SUBV. GENERALITAT ACCIO SOCIAL - RESTA CONTRACTE P,1528278,0,1528278,546288.35
2025,,45003  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD DEPENDÈNCIA  ,1314548,0,1314548,459147.52
2025,,45004  ,SUBV. GENERALITAT ACCIO SOCIAL - SUPORT SOCIAL    ,81259,0,81259,38598.24
2025,,45005  ,SUBV. GENERALITAT ACCIO SOCIAL - SERVEI ATENCIO DO,100552,0,100552,0
2025,,45006  ,SUBV. GENERALITAT ACCIO SOCIAL - ATENCIÓ PERS SENS,266539,0,266539,166587.13
2025,,45007  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD SOCIAL       ,313181,0,313181,21754.86
2025,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,1134375.51,1134381.51,1151441.96
2025,,450802 ,SUBV. GENERALITAT CULTURA                         ,497295,0,497295,56327.83
2025,,450803 ,SUBV. GENERALITAT TURISME                         ,169985,0,169985,0
2025,,450804 ,SUBV. GENERALITAT JOVENTUT                        ,19680,43519.34,63199.34,15315.19
2025,,45102  ,SUBV. DE L'AGENCIA D'HABITATGE DE CATALUNYA       ,6,0,6,18270
2025,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",6,0,6,0
2025,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,539149,0,539149,518148.04
2025,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,152558,10000,162558,139967.58
2025,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,28362,0,28362,0
2025,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,143534,0,143534,134777
2025,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",36010,0,36010,28055.57
2025,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,5857,0,5857,0
2025,,46108  ,"SUBV. DIPUTACIÓ CONVIVÈNCIA, CIVISME, COOP, FEMINI",130745,0,130745,65219.92
2025,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,6,0,6,0
2025,,46110  ,SUBV. DIPUTACIÓ - HABITATGE                       ,6,0,6,0
2025,,46111  ,SUBV. DIPUTACIÓ JOVENTUT                          ,83033,0,83033,100782.02
2025,,4641   ,TRANSF CORRENTS D'ÀREA METROPOLITANA FORMACIÓ-OCUP,6,206719.83,206725.83,226831.71
2025,,4643   ,ALTRES TRANSFERÈNCIES CORRENTS D'ÀREA METROPOLITAN,6,5060.95,5066.95,5060.93
2025,,4644   ,TRANSF CORRENTS D'AMB PLA DE BARRIS (BARRIS CREATI,0,60348.75,60348.75,60348.75
