#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2024,062  ,311  ,22700  ,NETEJA EDIFICI SALUT PÚBLICA                      ,062,31   ,22    ,51327,0,,29049.3
2024,012  ,920  ,489    ,BEQUES PERSONAL COL·LABORADOR                     ,012,920  ,489   ,40000,0,,15341.22
2024,061  ,3424 ,22102  ,CONSUM GAS CEM JULIO MÉNDEZ                       ,,3    ,221   ,63777,1589.89,,5601.98
2024,061  ,3425 ,22102  ,CONSUM GAS CEM FONDO D'EN PEIXO                   ,,3    ,221   ,261289,21301.29,,35435.42
2024,041  ,326  ,48910  ,TRANSF CORRENTS ESCOLA JAUME BALMES               ,041,326  ,48910 ,22456,0,,0
2024,012  ,920  ,22201  ,SERVEIS COMUNICACIÓ POSTALS                       ,012,92   ,22    ,100000,0,,73334.43
2024,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÈCNIC                          ",031,15   ,22    ,49200,0,,8971.17
2024,042  ,333  ,22100  ,ELECTRICITAT EDIFICIS CULTURA                     ,,3    ,221   ,577831,89818.64,,135366.46
2024,011  ,9201 ,226012 ,ATENCIONS AGERMANAMENTS                           ,011,92   ,22    ,14000,0,,5538.57
2024,0111 ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,011,491  ,4491  ,842738,0,,645000
2024,0111 ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,62815,0,,45312.81
2024,0111 ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,17829,0,,14108.99
2024,0111 ,920  ,216    ,MANTENIMENT EQUIPS INFORMÀTICS/PROGRAMARI         ,011,92   ,21    ,670000,6686.05,,258992.76
2024,0111 ,920  ,22002  ,MATERIAL INFORMÀTIC NO INVENTARIABLE              ,011,92   ,22    ,150000,0,,46187.28
2024,0111 ,920  ,22200  ,SERVEIS COMUNICACIÓ TELECOMUNICACIONS             ,011,92   ,22    ,175000,650.41,,180806.15
2024,0111 ,920  ,227062 ,ESTUDIS I TREBALLS TÈCNICS TIC                    ,011,92   ,22    ,45000,1016.4,,28669.76
2024,0111 ,920  ,227063 ,OFICINA TÈCNICA DESENVOLUPAMENT PROGRAMARI SITIC  ,011,92   ,22    ,539400,4535.69,,157465.55
2024,0111 ,920  ,227991 ,"PREST SERV INNOV DIGITAL, QUALITAT I PROJ ESTRATÈG",011,92   ,22    ,100000,0,,60025.68
2024,0111 ,920  ,227992 ,CONTR PREST SERVEIS SITIC                         ,011,92   ,22    ,120000,0,,0
2024,0111 ,920  ,626    ,MATERIAL INVENTARIABLE. EQUIPS PROCESOS INFORMÀTIC,011,920  ,626   ,250000,0,,25969.97
2024,0111 ,9202 ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,9    ,1     ,76748,0,,55420.76
2024,0111 ,9202 ,12001  ,SOUS DEL GRUP A2                                  ,,9    ,1     ,60916,0,,44098.75
2024,0111 ,9202 ,12003  ,SOUS DEL GRUP C1                                  ,,9    ,1     ,11646,0,,8550.68
2024,014  ,231  ,625    ,INV NOU MOBILIARI ALLOTJAMENT TEMPORAL EMERGENCIA ,014,231  ,625   ,0,80000,,0
2024,014  ,342  ,625    ,INV NOU MOBILIARI PATINÒDROM                      ,014,342  ,625   ,0,15000,,0
2024,0112 ,432  ,12100  ,COMPLEMENT DE DESTÍ                               ,,4    ,1     ,0,0,,944.35
2024,0112 ,432  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,4    ,1     ,0,0,,1975.57
2024,032  ,170  ,227994 ,TREBALLS TECNICS EFICIENCIA ENERGETICA            ,032,17   ,22    ,57542,0,,0
2024,032  ,1722 ,227992 ,DESPLEGAMENT OFICINA D'ENERGIA I CLIMA            ,032,17   ,22    ,135000,-3270.45,,58291.94
2024,031  ,920  ,22100  ,ELECTRICITAT EDIFICIS MPALS                       ,,9    ,221   ,329900,157434.67,,88594.55
2024,061  ,3424 ,22100  ,ELECTRICITAT CEM JULIO MÉNDEZ                     ,,3    ,221   ,28416,6566.2,,5523.7
2024,052  ,4312 ,22700  ,NETEJA MERCAT MUNICIPAL                           ,052,43   ,22    ,38318,0,,21686.49
2024,061  ,3412 ,226093 ,DESP NIT DE L'ESPORT                              ,061,34   ,22    ,8000,0,,7845.74
