#ejercicio,Org.,Prog.,Econ.,Denominación (CASTELLANO),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2017,21   ,322  ,622    ,IES ANTIGUA ESCOLA DEL PARC                        ,21 ,322  ,622   ,0,3410659,3410659,0
2017,62   ,171  ,6191   ,MEJORA PARQUES Y JARDINES,62 ,171  ,6191  ,0,1000000,1000000,0
2017,62   ,150  ,6391   ,MEJORA INSTALACIONES,62 ,150  ,6391  ,0,200000,200000,0
2017,62   ,165  ,6191   ,MEJORA ALUMBRADO PÚBLICA,62 ,165  ,6191  ,0,800000,800000,0
2017,41   ,336  ,489    ,BECA INVESTIGACIÓN HISTORIA LOCAL JAUME CODINA,41 ,336  ,489   ,0,3000,3000,0
2017,21   ,321  ,632    ,INVERSIÓN MEJORA ESCUELAS,21 ,321  ,632   ,0,1066867,1066867,0
2017,21   ,342  ,6321   ,MEJORA EQUIPAMIENTOS DEPORTIVOS,21 ,342  ,6321  ,0,3715213,3715213,0
2017,12.  ,150  ,600    ,EXPROP. TERRENOS PROLONG. C. SANFELIU (CAL SILET-CANAL,12 ,150  ,600   ,0,0,0,0
2017,21   ,170  ,48902  ,SUBVENCIONES AHORRO ENERGÉTICO,21 ,17   ,48    ,0,7825,7825,0
2017,62   ,933  ,632    ,MEJORA EQUIPAMIENTOS,62 ,933  ,632   ,0,750000,750000,0
2017,12.  ,150  ,622    ,ADQUISICIÓN LOCAL (SANT COSME),12 ,150  ,622   ,0,0,0,0
2017,44   ,1521 ,449    ,TRANSF CORR GESTIÓN ALQUILER VIVIENDA SOCIAL,44 ,1521 ,449   ,0,200000,200000,0
2017,13.  ,338  ,48901  ,TRANSF CORRIENTES ASSOC. GASTRONOMIA I TURISME,13.,338  ,48901 ,0,33500,33500,0
2017,41   ,924  ,48902  ,TRANSF CORR COOPERATIVA OBRERA VIVIENDAS,41 ,924  ,48902 ,0,14000,14000,0
2017,51   ,433  ,48901  ,"SUBV COMERCIANTES AV. VGE MONTSERRAT, OBRAS",51 ,433  ,4890  ,0,0,0,0
2017,44   ,233  ,780    ,TRANSF CAPITAL FUNDACIÓ RUBRICATUS                ,44 ,233  ,780   ,0,500000,500000,0
2017,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11.,491  ,4491  ,620425,0,620425,400000
2017,11.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,   ,9    ,1     ,65000,0,65000,32500.02
2017,11.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,14226,0,14226,7326.06
2017,11.  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,11 ,91   ,23    ,1900,0,1900,886.38
2017,11.  ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,11 ,91   ,23    ,7600,0,7600,4534.08
2017,11.  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,   ,9    ,1     ,20526,0,20526,10547.77
2017,11.  ,9201 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,   ,9    ,1     ,41736,0,41736,20867.98
2017,11.  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,14825,0,14825,0
2017,11.  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,9984,0,9984,4991.91
2017,11.  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,25388,0,25388,11563.9
2017,11.  ,9201 ,12006  ,TRIENIOS,   ,9    ,1     ,10010,0,10010,4492.64
2017,11.  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,26130,0,26130,8345.22
2017,11.  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,77966,0,77966,30876.51
2017,11.  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,   ,9    ,1     ,34864,0,34864,17313.63
2017,11.  ,9201 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,232,0,232,0
2017,11.  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,65664,0,65664,28680.81
2017,11.  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,11 ,92   ,22    ,50000,0,50000,12060.19
2017,11.  ,9201 ,226012 ,ATENCIONES HERMANAMIENTOS,11 ,92   ,22    ,15000,0,15000,0
2017,11.  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,11 ,92   ,22    ,11000,0,11000,0
2017,11.  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,11 ,92   ,48    ,3000,0,3000,0
2017,11.  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,   ,9    ,1     ,14825,0,14825,8120.51
2017,12.  ,931  ,12001  ,SUELDOS DEL GRUPO A2,   ,9    ,1     ,13036,0,13036,5110.94
2017,12.  ,931  ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,19968,0,19968,9911.1
2017,12.  ,931  ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,42517,0,42517,20811.82
2017,12.  ,931  ,12006  ,TRIENIOS,   ,9    ,1     ,24170,0,24170,11269.76
2017,12.  ,931  ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,55247,0,55247,26160.53
2017,12.  ,931  ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,164814,0,164814,88517.61
2017,12.  ,931  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,624,0,624,0
2017,12.  ,931  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,77313,0,77313,37790.37
2017,12.  ,932  ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,74122,0,74122,26531.94
2017,12.  ,932  ,12001  ,SUELDOS DEL GRUPO A2,   ,9    ,1     ,26072,0,26072,6517.8
2017,12.  ,932  ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,49920,0,49920,18751.07
2017,12.  ,932  ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,42313,0,42313,21587.36
2017,12.  ,932  ,12006  ,TRIENIOS,   ,9    ,1     ,45392,0,45392,20305.62
2017,12.  ,932  ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,95945,0,95945,35386.41
2017,12.  ,932  ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,224983,0,224983,81472.81
2017,12.  ,932  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,   ,9    ,1     ,1172,0,1172,597.15
2017,12.  ,932  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,142345,0,142345,57333.57
2017,12.  ,934  ,12000  ,SUELDOS DEL GRUPO A1,   ,9    ,1     ,14825,0,14825,7412.11
2017,12.  ,934  ,12003  ,SUELDOS DEL GRUPO C1,   ,9    ,1     ,9984,0,9984,4991.91
2017,12.  ,934  ,12004  ,SUELDOS DEL GRUPO C2,   ,9    ,1     ,16925,0,16925,4750.27
2017,12.  ,934  ,12006  ,TRIENIOS,   ,9    ,1     ,8646,0,8646,3265.48
2017,12.  ,934  ,12100  ,COMPLEMENTO DE DESTINO,   ,9    ,1     ,22812,0,22812,9564.2
2017,12.  ,934  ,12101  ,COMPLEMENTO ESPECÍFICO,   ,9    ,1     ,47508,0,47508,30405.28
2017,12.  ,934  ,16000  ,CUOTAS SEGURIDAD SOCIAL,   ,9    ,1     ,30883,0,30883,9275.87
2017,12.  ,934  ,22708  ,GASTOS RECAUDACIÓN ORGT,12.,934  ,22708 ,580000,0,580000,446708.38
