#ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2017,21   ,322  ,622    ,IES ANTIGUA ESCOLA DEL PARC                        ,21,322  ,622  ,0,3410659,3410659,86.8
2017,62   ,171  ,6191   ,MEJORA PARQUES Y JARDINES,62,171  ,6191 ,0,1000000,1000000,58346.36
2017,62   ,150  ,6391   ,MEJORA INSTALACIONES,62,150  ,6391 ,0,200000,200000,14219.91
2017,62   ,165  ,6191   ,MEJORA ALUMBRADO PÚBLICA,62,165  ,6191 ,0,800000,800000,57658.2
2017,41   ,336  ,489    ,BECA INVESTIGACIÓN HISTORIA LOCAL JAUME CODINA,41,336  ,489  ,0,3000,3000,3000
2017,21   ,321  ,632    ,INVERSIÓN MEJORA ESCUELAS,21,321  ,632  ,0,1266867,1266867,60651.79
2017,21   ,342  ,6321   ,MEJORA EQUIPAMIENTOS DEPORTIVOS,21,342  ,6321 ,0,3715213,3715213,252013.11
2017,12.  ,150  ,600    ,EXPROP. TERRENOS PROLONG. C. SANFELIU (CAL SILET-CANAL,12,150  ,600  ,0,180000,180000,0
2017,21   ,170  ,48902  ,SUBVENCIONES AHORRO ENERGÉTICO,21,17   ,48   ,0,7825,7825,0
2017,62   ,933  ,632    ,MEJORA EQUIPAMIENTOS,62,933  ,632  ,0,750000,750000,258429.67
2017,12.  ,150  ,622    ,ADQUISICIÓN LOCAL (SANT COSME),12,150  ,622  ,0,125100,125100,0
2017,44   ,1521 ,449    ,TRANSF CORR GESTIÓN ALQUILER VIVIENDA SOCIAL,44,1521 ,449  ,0,200000,200000,0
2017,13.  ,338  ,48901  ,TRANSF CORRIENTES ASSOC. GASTRONOMIA I TURISME,13,338  ,48901,0,41800,41800,25080
2017,41   ,924  ,48902  ,TRANSF CORR COOPERATIVA OBRERA VIVIENDAS,41,924  ,48902,0,14000,14000,8400
2017,51   ,433  ,48901  ,"SUBV COMERCIANTES AV. VGE MONTSERRAT, OBRAS",51,433  ,4890 ,0,200000,200000,131260.56
2017,44   ,233  ,780    ,TRANSF CAPITAL FUNDACIÓ RUBRICATUS                ,44,233  ,780  ,0,500000,500000,17750
2017,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11,491  ,4491 ,620425,0,620425,589000
2017,11.  ,912  ,10000  ,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,  ,9    ,1    ,65000,0,65000,65650.06
2017,11.  ,912  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,14226,0,14226,14652.12
2017,11.  ,912  ,23000  ,ÓRGANOS DE GOBIERNO-DIETAS,11,91   ,23   ,1900,0,1900,1201.57
2017,11.  ,912  ,23100  ,ÓRGANOS DE GOBIERNO-LOCOMOCIÓN,11,91   ,23   ,7600,1500,9100,6871.02
2017,11.  ,9201 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,  ,9    ,1    ,20526,0,20526,21307.92
2017,11.  ,9201 ,11001  ,RETRIBUCIONES COMPLEMENTARIAS PERSONAL EVENTUAL,  ,9    ,1    ,41736,0,41736,42153.16
2017,11.  ,9201 ,12000  ,SUELDOS DEL GRUPO A1,  ,9    ,1    ,14825,0,14825,0
2017,11.  ,9201 ,12003  ,SUELDOS DEL GRUPO C1,  ,9    ,1    ,9984,0,9984,10083.76
2017,11.  ,9201 ,12004  ,SUELDOS DEL GRUPO C2,  ,9    ,1    ,25388,0,25388,23033.28
2017,11.  ,9201 ,12006  ,TRIENIOS,  ,9    ,1    ,10010,0,10010,9358.33
2017,11.  ,9201 ,12100  ,COMPLEMENTO DE DESTINO,  ,9    ,1    ,26130,0,26130,16715.26
2017,11.  ,9201 ,12101  ,COMPLEMENTO ESPECÍFICO,  ,9    ,1    ,77966,0,77966,62731.95
2017,11.  ,9201 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,  ,9    ,1    ,34864,0,34864,35212.39
2017,11.  ,9201 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,  ,9    ,1    ,232,0,232,139.28
2017,11.  ,9201 ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,65664,0,65664,53210.42
2017,11.  ,9201 ,226011 ,ATENCIONES PROTOCOLARIAS,11,92   ,22   ,50000,0,50000,48599.71
2017,11.  ,9201 ,226012 ,ATENCIONES HERMANAMIENTOS,11,92   ,22   ,15000,0,15000,10347.73
2017,11.  ,9201 ,22699  ,GASTOS DIVERSOS ALCALDÍA,11,92   ,22   ,11000,0,11000,0
2017,11.  ,9201 ,489    ,TRANSF CORRIENTES ALCALDÍA,11,92   ,48   ,3000,-1500,1500,0
2017,11.  ,9202 ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,  ,9    ,1    ,14825,0,14825,15688.06
2017,12.  ,931  ,12001  ,SUELDOS DEL GRUPO A2,  ,9    ,1    ,13036,0,13036,10428.49
2017,12.  ,931  ,12003  ,SUELDOS DEL GRUPO C1,  ,9    ,1    ,19968,0,19968,17743.64
2017,12.  ,931  ,12004  ,SUELDOS DEL GRUPO C2,  ,9    ,1    ,42517,0,42517,42508.25
2017,12.  ,931  ,12006  ,TRIENIOS,  ,9    ,1    ,24170,0,24170,22253
2017,12.  ,931  ,12100  ,COMPLEMENTO DE DESTINO,  ,9    ,1    ,55247,0,55247,52325.03
2017,12.  ,931  ,12101  ,COMPLEMENTO ESPECÍFICO,  ,9    ,1    ,164814,0,164814,176880.27
2017,12.  ,931  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,  ,9    ,1    ,624,0,624,53.56
2017,12.  ,931  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,77313,0,77313,77178.42
2017,12.  ,932  ,12000  ,SUELDOS DEL GRUPO A1,  ,9    ,1    ,74122,0,74122,47295.36
2017,12.  ,932  ,12001  ,SUELDOS DEL GRUPO A2,  ,9    ,1    ,26072,0,26072,13166.02
2017,12.  ,932  ,12003  ,SUELDOS DEL GRUPO C1,  ,9    ,1    ,49920,0,49920,36747.82
2017,12.  ,932  ,12004  ,SUELDOS DEL GRUPO C2,  ,9    ,1    ,42313,0,42313,42871.94
2017,12.  ,932  ,12006  ,TRIENIOS,  ,9    ,1    ,45392,0,45392,38705.56
2017,12.  ,932  ,12100  ,COMPLEMENTO DE DESTINO,  ,9    ,1    ,95945,0,95945,67788.02
2017,12.  ,932  ,12101  ,COMPLEMENTO ESPECÍFICO,  ,9    ,1    ,224983,0,224983,163401.02
2017,12.  ,932  ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,  ,9    ,1    ,1172,0,1172,1470.93
2017,12.  ,932  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,142345,0,142345,104359.65
2017,12.  ,934  ,12000  ,SUELDOS DEL GRUPO A1,  ,9    ,1    ,14825,0,14825,14972.58
2017,12.  ,934  ,12003  ,SUELDOS DEL GRUPO C1,  ,9    ,1    ,9984,0,9984,10083.76
2017,12.  ,934  ,12004  ,SUELDOS DEL GRUPO C2,  ,9    ,1    ,16925,0,16925,12448.4
2017,12.  ,934  ,12006  ,TRIENIOS,  ,9    ,1    ,8646,0,8646,7415.61
2017,12.  ,934  ,12100  ,COMPLEMENTO DE DESTINO,  ,9    ,1    ,22812,0,22812,20723.41
2017,12.  ,934  ,12101  ,COMPLEMENTO ESPECÍFICO,  ,9    ,1    ,47508,0,47508,56339.99
2017,12.  ,934  ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,9    ,1    ,30883,0,30883,22975.98
2017,12.  ,934  ,22708  ,GASTOS RECAUDACIÓN ORGT,12,934  ,22708,580000,0,580000,421187.07
