#Ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,m,Obligaciones reconegudes
2023,051  ,433  ,48908  ,TRANSF CORRIENTES SECTOR RESTAURACIÓN,051,433  ,48908 ,50000,0,,0
2023,031  ,920  ,22700  ,LIMPIEZA EDIFICIOS MUNICIPALES,031,92   ,22    ,645250,0,,49959
2023,031  ,920  ,22799  ,CONTR PREST SERVICIOS INFRAES VARIAS,031,92   ,22    ,268150,1387.51,,75952.56
2023,031  ,920  ,633    ,INVERSIÓN EN MATERIAL INVENTARIABLE,031,920  ,633   ,50000,12594.89,,12594.89
2023,032  ,161  ,44901  ,TRANSF CORRIENTES RECIBOS APSA FAMILIAS VULNERABLES,032,161  ,44901 ,25000,0,,0
2023,032  ,161  ,44902  ,TRANSF CORRIENTES RECIBOS APSA COMPENSACIÓN ENERGÍA,032,161  ,44902 ,750000,0,,0
2023,032  ,170  ,11000  ,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,,1    ,1     ,74878,0,,16045.17
2023,032  ,170  ,12000  ,SUELDOS DEL GRUPO A1,,1    ,1     ,34100,0,,7729.86
2023,032  ,170  ,12001  ,SUELDOS DEL GRUPO A2,,1    ,1     ,14993,0,,3341.94
2023,032  ,170  ,12003  ,SUELDOS DEL GRUPO C1,,1    ,1     ,34449,0,,7527.7
2023,032  ,170  ,12004  ,SUELDOS DEL GRUPO C2,,1    ,1     ,29200,0,,9456.63
2023,032  ,170  ,12006  ,TRIENIOS,,1    ,1     ,20078,0,,4352.35
2023,032  ,170  ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,51356,0,,12272.09
2023,032  ,170  ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,126236,0,,30393.39
2023,032  ,170  ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,237779,0,,42397.29
2023,032  ,170  ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,183126,0,,31828.61
2023,032  ,170  ,209    ,CANON FOTOVOLTAICAS,032,170  ,209   ,1,0,,0
2023,032  ,170  ,22602  ,GASTOS DIFUSIÓN AMBIENTAL,032,17   ,22    ,15500,0,,300
2023,032  ,170  ,226021 ,GASTOS DIFUSIÓN PLAYA,032,17   ,22    ,4000,0,,0
2023,032  ,170  ,22699  ,GASTOS DIVERSOS CALIDAD AMBIENTAL,032,17   ,22    ,810,0,,0
2023,032  ,170  ,227991 ,CONTR PREST SERV PLAYA,032,17   ,22    ,25000,0,,0
2023,032  ,170  ,227992 ,CONTR PREST SERVICIOS EDUCACIÓN AMBIENTAL,032,17   ,22    ,138881,0,,0
2023,032  ,170  ,227993 ,ESTUDIOS Y TRABAJOS TÉCNICOS,032,17   ,22    ,35000,18089.5,,18089.5
2023,032  ,170  ,227994 ,TRABAJOS TÉCNICOS EFICIENCIA ENERGÉTICA,032,17   ,22    ,57542,0,,0
2023,032  ,170  ,46602  ,CUOTA MIEMBRO ASOC RED CLIMA Y RED BIODIVERSITAT,032,170  ,46602 ,1000,0,,0
2023,032  ,170  ,46603  ,CUOTA MIEMBRO ASOC MUNICIPIOS ENERGÍA PÚBLICA,032,170  ,46603 ,3277,0,,0
2023,061  ,3411 ,48913  ,CONVENIO CLUB TRIATLÓ,061,3411 ,48913 ,6000,2400,,0
2023,061  ,3411 ,48914  ,CONVENIO AE BASQUET PRATENC,061,3411 ,48914 ,11000,0,,0
2023,061  ,3411 ,48915  ,CONVENIO ESCUELA JAIME BALMES,061,3411 ,48915 ,7650,0,,0
2023,061  ,3411 ,48916  ,CONVENIO IE EL PRAT,061,3411 ,48916 ,4140,0,,0
2023,061  ,3411 ,48917  ,"CONVENIO JJEE BALONCESTO ""CB PRAT""",061,3411 ,48917 ,14400,5720,,4494.53
2023,061  ,3411 ,48918  ,CONVENIO CONSEJO DEPORTIVO (JJEE+SC),061,3411 ,48918 ,92000,66398,,0
2023,061  ,3411 ,48919  ,"CONVENIO ADECUACIÓN INS. ""CLUB AGILITY BAIX LLOBREGAT""",061,3411 ,48919 ,10000,4000,,3236.3
2023,061  ,3411 ,48920  ,CONVENIO AGRUPACIÓN CICLISTA,061,3411 ,48920 ,5000,2000,,2000
2023,061  ,3411 ,48921  ,CONVENIO UNIÓN EXCURSIONISTA DE CATALUÑA (UEC),061,3411 ,48921 ,5000,0,,0
2023,061  ,3411 ,48922  ,CONVENIO CLUB DE PATINAJE COBRA,061,3411 ,48922 ,12000,4800,,4800
2023,061  ,3411 ,48923  ,CONVENIO FEDERACIÓN CATALANA DE VELA,061,3411 ,48923 ,26000,57127,,57127
2023,061  ,3412 ,226093 ,GASTOS NOCHE DEL DEPORTE,061,34   ,22    ,10000,0,,4108.12
2023,061  ,3412 ,226094 ,GASTOS FIESTA DE LA ACTIVIDAD FÍSICA Y LA SALUD,061,34   ,22    ,6000,0,,0
2023,061  ,3412 ,226096 ,GASTOS FIESTA DE LA BICICLETA,061,34   ,22    ,12000,0,,0
2023,061  ,3412 ,227991 ,GASTOS CARRERA POPULAR,061,34   ,22    ,14000,0,,0
2023,061  ,3412 ,227993 ,CAMPAÑA NATACIÓN ESCOLAR CON EDUCACIÓN,061,34   ,22    ,18000,0,,3157.72
2023,061  ,342  ,203    ,RENTING MAQUINARIA FITNESS,061,34   ,20    ,75000,0,,0
2023,061  ,342  ,22101  ,CONSUMO AGUA DEPORTES,061,34   ,22    ,115230,0,,0
2023,061  ,342  ,22104  ,VESTUARIO PERSONAL DEPORTES,061,34   ,22    ,12100,0,,3193.31
2023,061  ,342  ,22199  ,DEPORTES-SUBM. DIVERSOS MATERIAL,061,34   ,22    ,32000,0,,6179.47
2023,061  ,342  ,22699  ,GASTOS DIVERSOS DEPORTES,061,34   ,22    ,3600,0,,600
