#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2023,,619    ,ALTRES INVERSIONS REALS                           ,0,0,0,10000
2023,,601    ,VENDA DE FINQUES RUSTIQUES                        ,0,0,0,780304.16
2023,,46111  ,SUBV DIPUTACIO COMERÇ                             ,0,12675,12675,12675
2023,,34906  ,SERVEIS CULTURALS T ARTESÀ (ARTS VIU)             ,6,95993.16,95999.16,115770.86
2023,,34907  ,CESSIÓ D'ESPAIS MPALS RODATGES I REPORT FOTOGRAFIC,1000,0,1000,3000
2023,,36000  ,VENDA MATERIAL REBUTJABLE                         ,49000,0,49000,27029
2023,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,17.36
2023,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,41896.17
2023,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",474000,0,474000,491606.74
2023,,36004  ,VENDA ELECTRICITAT FOTOVOLTAIQUES AMB CONVENI     ,1,0,1,0
2023,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,107668.63
2023,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2023,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,63592,0,63592,8800
2023,,39120  ,MULTES CIRCULACIÓ                                 ,475250,0,475250,835407.49
2023,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,143607.46
2023,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,6100,0,6100,5222.58
2023,,39211  ,RECÀRREC CONSTRENYIMENT                           ,42957,0,42957,42840.01
2023,,393    ,INTERESSOS DE DEMORA                              ,62332,0,62332,-38937.26
2023,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,28092,0,28092,51419.93
2023,,399    ,ALTRES INGRESOS DIVERSOS                          ,85000,313855.44,398855.44,1335784.95
2023,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,13700,0,13700,122944.2
2023,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,18229688,0,18229688,18013489.97
2023,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,1000,30660,31660,94449.89
2023,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,0,6,0
2023,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,397152,0,397152,423468.07
