#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2023,,34906  ,"SERVICIOS CULTURALES TEATRO ""ARTESÀ""",6,0,6,0
2023,,34907  ,CESIÓN DE ESPACIOS MUNICIPALES RODAJES Y REPORTAJES FOTOGRAFICOS,1000,0,1000,0
2023,,36000  ,VENTA MATERIAL RECHAZO                         ,49000,0,49000,8142
2023,,36001  ,VENTA DE PUBLICACIONES                             ,100,0,100,0
2023,,36002  ,VENTA DE ELECTRICIDAD                             ,40000,0,40000,10504.07
2023,,36003  ,"PRESTACIÓN SERVICIOS MEDIO AMBIENTE (PAPEL, VIDRIO, CART",474000,0,474000,15526.15
2023,,36004  ,VENTA ELECTRICIDAD FOTOVOLTAICA CON CONVENIO,1,0,1,0
2023,,389    ,REINTEGROS PRESUPUESTOS CERRADOS          ,5000,0,5000,17006.49
2023,,38901  ,REINTEGROS ANUNCIOS                            ,5000,0,5000,0
2023,,39100  ,MULTAS INFRACCIONES URBANISTICAS           ,63592,0,63592,500
2023,,39120  ,MULTAS CIRCULACIÓN                                 ,475250,0,475250,197500
2023,,39190  ,OTRAS MULTAS Y SANCIONES                          ,50000,0,50000,37216.2
2023,,39200  ,RECARGO DECLARACION EXTEMPORÁNEA                  ,6100,0,6100,0
2023,,39211  ,RECARGO APREMIO,42957,0,42957,9195.63
2023,,393    ,INTERESES DE DEMORA                              ,62332,0,62332,-196118.95
2023,,398    ,INDEMNIZACIONES DE SEGUROS NO VIDA     ,28092,0,28092,37755.11
2023,,399    ,OTROS INGRESOS DIVERSOS                          ,85000,0,85000,5155.51
2023,,39901  ,OTROS INGRESOS EJECUCIONES SUBSIDIARIAS           ,13700,0,13700,94369.49
2023,,42000  ,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO                ,18229688,0,18229688,4385018.97
2023,,42090  ,OTRAS TRANSFERENCIAS CORRIENTES DE LA AGE,1000,0,1000,0
2023,,441    ,TRANSFERENCIAS DE EMPRESAS ENTIDAD LOCAL,6,0,6,0
2023,,45000  ,FONDO COOPERACIÓN LOCAL CATALUÑA                   ,397152,0,397152,0
2023,,45001  ,OTRAS TRANSFERENCIAS DE LA GENERALITAT           ,203478,104053.61,307531.61,263369.98
2023,,45002  ,SUBV. GENERALITAT SERVICIOS SOCIALES/IGUALDAD        ,1385681,0,1385681,484740.18
2023,,45003  ,SUBV. GENERALITAT ACCIÓN SOCIAL-SAD DEPENDENCIA,1104679,0,1104679,0
2023,,45004  ,SUBV. GENERALITAT ACCIÓN SOCIAL-SOPORTE SOCIAL,81259,0,81259,0
2023,,45005  ,SUBV. GENERALITAT ACCIÓN SOCIAL-SERVICIO ATENCIÓN DOMICILIARIA,70520,0,70520,70520.12
2023,,45006  ,SUBV. GENERALITAT ACCIÓN SOCIAL-ATENCIÓN PERS SIN,266539,0,266539,0
2023,,45007  ,SUBV. GENERALITAT ACIÓN SOCIAL-SAD SOCIAL,283354,0,283354,0
2023,,45030  ,SUBV. GENERALITAT EDUCACIÓN                        ,1473037,0,1473037,381938.03
2023,,45050  ,SUBV. GENERALITAT OCUPACIÓN-DESARROLLO LOCAL  ,6,918143.79,918149.79,533466.41
2023,,450802 ,SUBVENCIONES GENERALITAT CULTURA-JUVENTUD          ,495928,0,495928,188712.55
2023,,450803 ,SUBVENCIONES GENERALITAT TURISMO,78189,0,78189,96576.75
2023,,45102  ,SUBV. DE LA AGENCIA DE VIVIENDA DE CATALUÑA,6,0,6,0
2023,,830    ,ANTICIPOS REINTEGRABLES PERSONAL                  ,60000,0,60000,7893.27
2023,,87000  ,REMANENTE TESORERIA GASTOS GENERALES,0,28286972.38,28286972.38,0
2023,,870100 ,REMANENTE TESORERIA GASTOS FINANCIAMIENTO AFECTADO,0,758970.37,758970.37,0
2023,,740    ,TRANFERENCIA DE CAPITAL PRAT NORD,3454490,4505543.7,7960033.7,0
2023,,87010  ,REMANENTE POR GASTOS AFECTADS,0,2178099.62,2178099.62,0
2023,,46110  ,SUBV. DIPUTACIÓN- VIVIENDA,6,0,6,29896.12
2023,,45300  ,"SUBV. SOCIEDADES, ENTIDADES PÚBLICAS Y OTRAS DEPENDIENTES CCAA",6,0,6,0
2023,,46100  ,SUBVENCIONES DIPUTACIÓN                             ,73717,0,73717,0
2023,,46101  ,SUBV. DIPUTACIÓN FORMACIÓN-OCUPACIÓN                 ,6,0,6,18891.43
2023,,46102  ,SUBV. DIPUTACIÓN SERVICIOS SOCIALES                   ,629770,0,629770,77327.76
2023,,46103  ,SUBV. DIPUTACIÓN EDUCACIÓN,115569,0,115569,0
2023,,46104  ,SUBV. DIPUTACIÓN DEPORTES                           ,46925,0,46925,4636.67
2023,,46105  ,SUBV. DIPUTACIÓN SALUD PÚBLICA                     ,162394,0,162394,42000
2023,,46106  ,"SUBV. DIPUTACIÓN, CULTURA-JUVENTUD                 ",129367,0,129367,90838.35
2023,,46107  ,SUBV. DIPUTACIÓN MEDIO AMBIENTE,6,0,6,0
2023,,46108  ,"SUBV. DIPUTACIÓN CONVIVENCIA, CIVISMO, COOP, FEMINI",91686,0,91686,0
2023,,46109  ,SUBV DIPUTACIÓN PROGRAMA COMPLEMENTARIO SOPORTE      ,6,0,6,0
2023,,462    ,TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS             ,6,0,6,0
2023,,4641   ,TRANSF CORRIENTES DEL ÁREA METROPOLITANA FORMACIÓN -OCUP,6,113484.1,113490.1,240432.59
2023,,4642   ,TRANSF CORRIENTES DEL ÁREA METROPOLITANA COHESIÓN SOCIAL,298432,0,298432,18999.88
2023,,4643   ,OTRAS TRANSFERENCIAS CORRIENTES DEL ÁREA METROPOLITANA,6,0,6,105539.77
2023,,4644   ,TRANSF CORRIENTES DEL ÁREA METROPOLITANA PLAN DE BARRIOS,6,354448.74,354454.74,0
2023,,465    ,TRANSFERENCIAS CORRIENTES ENTES COMARCALES             ,55000,0,55000,0
2023,,467    ,TRANSFERENCIAS CORRIENTES DE CONSORCIOS,13431,0,13431,0
2023,,470    ,SUBVENCIONES DE EMPRESAS                            ,5000,0,5000,0
2023,,480    ,SUBVENCIONES FORMACIÓN Y OCUPACIÓN                   ,6,0,6,73916
2023,,481    ,SUBVENCIONES INSTITUC Y FAMIL SIN ÁNIMO DE LUCRO,6,0,6,0
2023,,490    ,SUBV. FONDO SOCIAL EUROPEO,6,0,6,0
2023,,491    ,TRANFERENCIA FONDOS EUROPEOS MOVES,6,0,6,0
2023,,514    ,INTERESES DE SOCIEDADES MERCANTILES                ,169384,0,169384,0
2023,,52     ,INTERESES DE DEPÓSITOS                            ,6,0,6,0
2023,,541    ,PRODUCTO ALQUILERES INMUEBLES                    ,90000,0,90000,13467.56
2023,,550    ,CONCESIONES ADMINISTRATIVAS                       ,270000,0,270000,98009.15
2023,,559    ,OTRAS CONCESIONES Y APROVECHAMIENTOS,16330,0,16330,57554.18
2023,,75030  ,TRANSF CAPITAT GENERALITAT DE CATALUNYA-EDUCACIÓN,347735,0,347735,0
2023,,76100  ,TRANSF CAPITAL DIPUTACIÓN DE BARCELONA             ,209813,0,209813,0
2023,,76102  ,TRANSFERENCIA DE CAPITAL DIPUTACIÓN DE BARCELONA,6,0,6,80000
2023,,764    ,TRANSF CAPITAL AREA METROPOLITANA DE BARCELONA    ,1526168,0,1526168,0
